Quarter,Time,Down,ToGo,Location,DET,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Jason Baker kicks off 54 yards, returned by Reggie Swinton for 20 yards (tackle by Jimmy Wilkerson)",0.000,1.330
1,14:56,1,10,DET 36,0,0,Shawn Bryson up the middle for -1 yards (tackle by Vonnie Holliday),1.330,0.660
1,14:23,2,11,DET 35,0,0,Joey Harrington pass complete to Shawn Bryson for 7 yards (tackle by Scott Fujita),0.660,0.890
1,13:40,3,4,DET 42,0,0,"Penalty on Az-Zahir Hakim: False Start, 5 yards (no play)",0.890,0.230
1,13:20,3,9,DET 37,0,0,Joey Harrington pass complete to Mikhael Ricks for 12 yards (tackle by Jerome Woods),0.230,2.190
1,13:00,1,10,DET 49,0,0,Shawn Bryson up the middle for 12 yards (tackle by Jerome Woods and Greg Wesley),2.190,2.980
1,12:27,1,10,KAN 39,0,0,Shawn Bryson left end for 1 yard (tackle by Shawn Barber),2.980,2.580
1,11:41,2,9,KAN 38,0,0,Joey Harrington pass incomplete (defended by Greg Wesley),2.580,1.880
1,11:35,3,9,KAN 38,0,0,Joey Harrington pass incomplete intended for Mikhael Ricks,1.880,0.720
1,11:35,4,9,KAN 38,0,0,"Penalty on Jody Littleton: False Start, 5 yards (no play)",0.720,0.400
1,11:30,4,14,KAN 43,0,0,"Nick Harris punts 43 yards, touchback",0.400,-0.280
1,11:21,1,10,KAN 20,0,0,Priest Holmes left end for 8 yards (tackle by Earl Holmes and Bracy Walker),0.280,0.810
1,10:56,2,2,KAN 28,0,0,Trent Green pass complete to Eddie Kennison for 18 yards (tackle by Bracy Walker),0.810,1.990
1,10:16,1,10,KAN 46,0,0,Trent Green pass incomplete intended for Eddie Kennison,1.990,1.450
,,,,,,,"KAN challenged the ruling, and the play was upheld.",,
1,10:09,2,10,KAN 46,0,0,Priest Holmes up the middle for 11 yards (tackle by Brian Walker),1.450,2.720
