Unnamed: 0,CLE,TEN
First Downs,16,19
Rush-Yds-TDs,15-40-1,31-137-1
Cmp-Att-Yd-TD-INT,27-42-337-2-0,17-24-284-3-1
Sacked-Yards,6-36,2-14
Net Pass Yards,301,270
Total Yards,341,407
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,11-69,7-96
Third Down Conv.,3-14,7-13
Fourth Down Conv.,2-2,0-0
Time of Possession,28:59,31:01
