Unnamed: 0,WAS,NYG
First Downs,24,22
Rush-Yds-TDs,38-248-0,19-64-2
Cmp-Att-Yd-TD-INT,20-28-258-2-1,26-40-337-1-2
Sacked-Yards,3-26,1-8
Net Pass Yards,232,329
Total Yards,480,393
Fumbles-Lost,5-3,0-0
Turnovers,4,2
Penalties-Yards,7-55,3-30
Third Down Conv.,6-13,8-12
Fourth Down Conv.,3-3,0-0
Time of Possession,32:43,27:17
