Quarter,Time,Tm,Detail,WAS,NYG
1.0,2:13,Redskins,Kai Forbath 20 yard field goal,3,0
2.0,12:41,Giants,Andre Brown 1 yard rush (Lawrence Tynes kick),3,7
,8:45,Redskins,Santana Moss 26 yard pass from Robert Griffin III (Kai Forbath kick),10,7
,3:53,Giants,Lawrence Tynes 27 yard field goal,10,10
,1:49,Redskins,Kai Forbath 43 yard field goal,13,10
,0:02,Giants,Lawrence Tynes 39 yard field goal,13,13
4.0,12:55,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),13,20
,5:21,Redskins,Kai Forbath 45 yard field goal,16,20
,1:32,Redskins,Santana Moss 30 yard pass from Robert Griffin III (Kai Forbath kick),23,20
,1:13,Giants,Victor Cruz 77 yard pass from Eli Manning (Lawrence Tynes kick),23,27
