Quarter,Time,Down,ToGo,Location,BAL,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,CHI 20,0,0,Josh McCown pass complete short left to Brandon Marshall for no gain,0.280,-0.270
1,14:25,2,10,CHI 20,0,0,Matt Forte left tackle for 15 yards (tackle by James Ihedigbo),-0.270,1.270
1,13:51,1,10,CHI 35,0,0,"Josh McCown for 4 yards. Roberto Garza fumbles, recovered by Roberto Garza at CHI-CHI",1.270,0.720
1,13:51,2,10,CHI 35,0,0,Josh McCown sacked by Corey Graham for 0 yards,0.720,0.040
1,12:33,3,10,CHI 35,0,0,Josh McCown pass incomplete deep left intended for Alshon Jeffery,0.040,-1.040
1,12:29,4,10,CHI 35,0,0,"Adam Podlesh punts 35 yards, returned by Tandon Doss for 4 yards (tackle by Eric Weems)",-1.040,-1.200
1,12:14,1,10,BAL 34,0,0,Joe Flacco pass complete short left to Jacoby Jones for 9 yards (tackle by Zackary Bowman),1.200,1.870
1,11:49,2,1,BAL 43,0,0,Ray Rice left end for 47 yards (tackle by Major Wright),1.870,4.910
1,11:13,1,10,CHI 10,0,0,Ray Rice right guard for no gain (tackle by Chris Conte and Landon Cohen),4.910,4.190
1,10:43,2,10,CHI 10,0,0,"Joe Flacco pass incomplete short right intended for Ed Dickson. Penalty on Chris Conte: Defensive Pass Interference, 9 yards (no play)",4.190,6.970
1,10:36,1,1,CHI 1,0,0,Ricky Wagner for no gain (tackle by Khaseem Greene),6.970,5.910
1,10:07,2,1,CHI 1,0,0,Joe Flacco pass incomplete short right intended for Dallas Clark (defended by Tim Jennings),5.910,5.170
1,10:02,3,1,CHI 1,6,0,"Ray Rice right tackle for 1 yard, touchdown",5.170,7.000
1,10:02,,,CHI 2,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,10:02,,,BAL 35,7,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,9:58,1,10,CHI 20,7,0,Eben Britton for 3 yards (tackle by James Ihedigbo),0.280,0.140
1,9:20,2,7,CHI 23,7,0,Josh McCown pass incomplete short left intended for Alshon Jeffery (defended by Lardarius Webb),0.140,-0.560
,,,,,,,"BAL challenged the pass completion ruling, and the original play was overturned.",,
1,9:17,3,7,CHI 23,7,0,Josh McCown pass complete short left to Earl Bennett for 1 yard,-0.560,-1.770
1,8:55,4,6,CHI 24,7,0,"Adam Podlesh punts 51 yards, returned by Jacoby Jones for 3 yards (tackle by Michael Ford)",-1.770,-0.810
1,8:44,1,10,BAL 28,7,0,Joe Flacco pass incomplete short left intended for Ed Dickson,0.810,0.260
1,8:38,2,10,BAL 28,7,0,Ray Rice left tackle for 8 yards (tackle by Corey Wootton),0.260,0.630
1,7:56,3,2,BAL 36,7,0,Joe Flacco pass complete short middle to Dallas Clark for 17 yards (tackle by Chris Conte),0.630,2.460
1,7:21,1,10,CHI 47,7,0,Bernard Pierce left tackle for 3 yards (tackle by Corey Wootton),2.460,2.320
1,6:48,2,7,CHI 44,7,0,"Joe Flacco pass incomplete short left intended for Torrey Smith. Penalty on Zackary Bowman: Defensive Pass Interference, 7 yards, Penalty on Landon Cohen: Defensive Offside (Declined) (no play)",2.320,3.120
1,6:45,1,10,CHI 37,7,0,Joe Flacco pass complete short left to Torrey Smith for 3 yards (tackle by Zackary Bowman),3.120,2.980
1,6:18,2,7,CHI 34,7,0,Bernard Pierce left end for -4 yards (tackle by Zackary Bowman),2.980,1.750
1,5:40,3,11,CHI 38,7,0,Joe Flacco pass complete short left to Ray Rice for 4 yards (tackle by Zackary Bowman),1.750,1.060
1,4:56,4,7,CHI 34,10,0,Justin Tucker 52 yard field goal good,1.060,3.000
1,4:56,,,BAL 35,10,0,--,0.000,-1.140
1,4:46,1,10,CHI 33,10,0,Josh McCown pass incomplete short middle intended for Brandon Marshall,1.140,0.590
1,4:40,2,10,CHI 33,10,0,Matt Forte left guard for 4 yards (tackle by Terrell Suggs),0.590,0.430
1,4:07,3,6,CHI 37,10,0,Josh McCown pass incomplete short left intended for Matt Forte,0.430,-0.910
1,4:03,4,6,CHI 37,10,0,"Adam Podlesh punts 43 yards, out of bounds",-0.910,-0.280
1,3:54,1,10,BAL 20,10,0,Joe Flacco pass complete short left to Torrey Smith for 5 yards (tackle by Zackary Bowman),0.280,0.410
1,3:12,2,5,BAL 25,10,0,Joe Flacco pass complete short left to Ed Dickson for 16 yards (tackle by Zackary Bowman),0.410,1.660
1,2:33,1,10,BAL 41,10,0,Ray Rice right guard for 4 yards (tackle by Julius Peppers),1.660,1.660
