Unnamed: 0,BAL,CHI
First Downs,23,18
Rush-Yds-TDs,41-174-1,26-104-0
Cmp-Att-Yd-TD-INT,17-31-162-1-2,19-31-216-1-0
Sacked-Yards,3-19,2-1
Net Pass Yards,143,215
Total Yards,317,319
Fumbles-Lost,2-0,2-0
Turnovers,2,0
Penalties-Yards,5-46,13-111
Third Down Conv.,8-18,5-13
Fourth Down Conv.,1-2,0-0
Time of Possession,35:41,30:38
