Quarter,Time,Tm,Detail,BAL,CHI
1,9:58,Ravens,Ray Rice 1 yard rush (Justin Tucker kick),7,0
,4:51,Ravens,Justin Tucker 52 yard field goal,10,0
2,8:50,Bears,Robbie Gould 20 yard field goal,10,3
,8:38,Bears,David Bass 24 yard interception return (Robbie Gould kick),10,10
,4:08,Ravens,Torrey Smith 5 yard pass from Joe Flacco (Justin Tucker kick),17,10
,0:00,Bears,Robbie Gould 46 yard field goal,17,13
4,10:33,Bears,Matt Forte 14 yard pass from Josh McCown (Robbie Gould kick),17,20
,0:03,Ravens,Justin Tucker 21 yard field goal,20,20
OT,8:41,Bears,Robbie Gould 38 yard field goal,20,23
