Quarter,Time,Tm,Detail,HOU,JAX
1.0,3:39,Jaguars,Allen Hurns 4 yard pass from Blake Bortles (Josh Scobee kick),0,7
,1:22,Texans,Randy Bullock 44 yard field goal,3,7
2.0,11:45,Texans,Ryan Fitzpatrick 4 yard rush (Randy Bullock kick),10,7
,5:53,Jaguars,Josh Scobee 33 yard field goal,10,10
,1:09,Jaguars,Josh Scobee 37 yard field goal,10,13
3.0,3:23,Texans,Alfred Blue 1 yard rush (Randy Bullock kick),17,13
4.0,14:23,Texans,Arian Foster 1 yard rush (Randy Bullock kick),24,13
,8:39,Texans,Randy Bullock 44 yard field goal,27,13
