Unnamed: 0,TAM,MIN
First Downs,12,15
Rush-Yds-TDs,31-146-1,15-33-0
Cmp-Att-Yd-TD-INT,18-29-213-2-2,22-33-233-0-3
Sacked-Yards,2-14,3-18
Net Pass Yards,199,215
Total Yards,345,248
Fumbles-Lost,1-0,4-2
Turnovers,2,5
Penalties-Yards,13-99,9-70
Third Down Conv.,8-17,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,30:34,29:26
