Unnamed: 0,CHI,GNB
First Downs,13,17
Rush-Yds-TDs,20-44-0,38-97-1
Cmp-Att-Yd-TD-INT,17-40-256-1-3,22-33-210-1-1
Sacked-Yards,3-25,0-0
Net Pass Yards,231,210
Total Yards,275,307
Fumbles-Lost,2-2,1-0
Turnovers,5,1
Penalties-Yards,5-45,8-57
Third Down Conv.,5-17,5-17
Fourth Down Conv.,0-3,0-1
Time of Possession,24:36,35:24
