Quarter,Time,Tm,Detail,CHI,GNB
1.0,1:46,Bears,Marty Booker 61 yard pass from Kordell Stewart (Paul Edinger kick),7,0
,0:50,Bears,Lance Briggs 45 yard interception return (Paul Edinger kick),14,0
2.0,11:12,Packers,Ryan Longwell 24 yard field goal,14,3
,9:57,Packers,Ryan Longwell 38 yard field goal,14,6
,2:43,Packers,Javon Walker 22 yard pass from Brett Favre (Ryan Longwell kick),14,13
3.0,6:52,Packers,Ryan Longwell 35 yard field goal,14,16
,0:43,Packers,Ryan Longwell 45 yard field goal,14,19
4.0,9:16,Packers,Mike McKenzie 90 yard interception return (Bubba Franks pass from Brett Favre),14,27
,2:26,Packers,Ahman Green 2 yard rush (Ryan Longwell kick),14,34
,2:13,Bears,Jerry Azumah 88 yard kickoff return (Paul Edinger kick),21,34
