Quarter,Time,Down,ToGo,Location,NWE,SDG,Detail,EPB,EPA
1,3:15,1,10,SDG 20,3,0,"Ryan Mathews right end for 2 yards (tackle by Brandon Browner). Penalty on Brandon Browner: Face Mask (15 Yards), 15 yards",0.280,1.400
1,2:50,1,10,SDG 37,3,0,Philip Rivers pass incomplete deep left intended for Antonio Gates,1.400,0.860
1,2:41,2,10,SDG 37,3,0,Philip Rivers pass complete short right to Antonio Gates for 12 yards (tackle by Jonathan Casillas),0.860,2.190
1,2:06,1,10,SDG 49,3,0,Ryan Mathews up the middle for 1 yard (tackle by Jamie Collins and Sealver Siliga),2.190,1.780
1,1:25,2,9,,3,0,Philip Rivers pass incomplete short left intended for Antonio Gates,1.780,1.090
1,1:19,3,9,,3,0,Philip Rivers pass complete short middle to Ladarius Green for 11 yards (tackle by Darrelle Revis),1.090,2.980
1,0:36,1,10,NWE 39,3,0,Branden Oliver up the middle for 4 yards (tackle by Chris Jones),2.980,2.980
Quarter,Time,Down,ToGo,Location,NWE,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,NWE 35,3,0,Ryan Mathews right tackle for 17 yards (tackle by Devin McCourty),2.980,4.370
2,14:25,1,10,NWE 18,3,0,Ryan Mathews left end for 3 yards (tackle by Jamie Collins and Akeem Ayers),4.370,4.250
2,13:40,2,7,NWE 15,3,0,Philip Rivers pass incomplete short left intended for Malcom Floyd,4.250,3.460
2,13:36,3,7,NWE 15,3,6,"Philip Rivers pass complete short right to Malcom Floyd for 15 yards, touchdown",3.460,7.000
2,13:36,,,NWE 2,3,7,Nick Novak kicks extra point good,0.000,0.000
2,13:36,,,SDG 35,3,7,"Nick Novak kicks off 62 yards, returned by Danny Amendola for 22 yards (tackle by Chris Davis)",0.000,-0.610
2,13:24,1,10,NWE 25,3,7,Tom Brady pass complete short middle to Brandon LaFell for 19 yards (tackle by Eric Weddle),0.610,1.860
2,12:46,1,10,NWE 44,3,7,LeGarrette Blount left guard for no gain (tackle by Kavell Conner and Kendall Reyes),1.860,1.320
2,11:58,2,10,NWE 44,3,7,Tom Brady pass complete short left to Julian Edelman for 7 yards (tackle by Brandon Flowers),1.320,1.550
2,11:20,3,3,SDG 49,3,13,"Tom Brady pass complete short right to Brandon LaFell for 2 yards (tackle by Jahleel Addae). Brandon LaFell fumbles (forced by Jahleel Addae), recovered by Darrell Stuckey at SDG-47 and returned for 53 yards, touchdown",1.550,-7.000
2,11:06,,,NWE 2,3,14,Nick Novak kicks extra point good,0.000,0.000
2,11:06,,,SDG 35,3,14,"Nick Novak kicks off 57 yards, returned by Matt Slater for 18 yards (tackle by Darrell Stuckey)",0.000,-0.670
2,11:00,1,10,NWE 26,3,14,Tom Brady pass complete short middle to Julian Edelman for 8 yards (tackle by Andrew Gachkar),0.670,1.210
2,10:33,2,2,NWE 34,3,14,Tom Brady pass complete short left to Rob Gronkowski for 35 yards (tackle by Jahleel Addae),1.210,3.510
2,10:00,1,10,SDG 31,3,14,Tom Brady pass incomplete deep right intended for Tim Wright,3.510,2.970
2,9:55,2,10,SDG 31,3,14,"Tom Brady pass incomplete short right intended for Rob Gronkowski. Penalty on Jahleel Addae: Defensive Holding, 5 yards (no play)",2.970,3.840
2,9:49,1,10,SDG 26,3,14,Tom Brady pass incomplete deep left intended for Brandon LaFell,3.840,3.300
2,9:45,2,10,SDG 26,3,14,Tom Brady pass complete short left to Brandon LaFell for 11 yards,3.300,4.580
2,9:30,1,10,SDG 15,3,14,Tom Brady pass complete short left to Danny Amendola for 4 yards (tackle by Marcus Gilchrist),4.580,4.640
2,9:14,2,6,SDG 11,3,14,Tom Brady pass incomplete short left intended for Brandon LaFell (defended by Shareece Wright),4.640,4.640
2,9:10,2,6,SDG 11,3,14,Timeout #1 by San Diego Chargers,4.640,3.780
2,9:10,3,6,SDG 11,3,14,Tom Brady pass complete short left to Julian Edelman for 7 yards (tackle by Jahleel Addae),3.780,6.280
2,8:37,1,4,SDG 4,3,14,LeGarrette Blount up the middle for no gain (tackle by Melvin Ingram),6.280,5.340
2,7:53,2,4,SDG 4,3,14,Tom Brady pass incomplete short middle intended for Julian Edelman (defended by Andrew Gachkar),5.340,5.340
2,7:47,2,4,SDG 4,3,14,Timeout #1 by New England Patriots,5.340,4.490
2,7:47,3,4,SDG 4,3,14,Tom Brady pass incomplete short left intended for Shane Vereen (defended by Manti Te'o),4.490,3.030
2,7:41,4,4,SDG 4,6,14,Stephen Gostkowski 22 yard field goal good,3.030,3.000
2,7:41,,,NWE 35,6,14,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
2,7:38,1,10,SDG 20,6,14,Ryan Mathews up the middle for 2 yards (tackle by Patrick Chung and Sealver Siliga),0.280,0.000
2,6:59,2,8,SDG 22,6,14,"Philip Rivers pass complete short middle to Antonio Gates for 4 yards (tackle by Jonathan Casillas). Antonio Gates fumbles (forced by Jonathan Casillas), recovered by Antonio Gates at SDG-26",0.000,-0.160
2,6:13,3,4,SDG 26,6,14,Philip Rivers up the middle for 2 yards (tackle by Rob Ninkovich),-0.160,-1.500
2,5:36,4,2,SDG 28,6,14,"Mike Scifres punts, blocked by Brandon Bolden",-1.500,-3.910
2,5:31,1,10,SDG 25,6,14,LeGarrette Blount left tackle for 6 yards (tackle by Sean Lissemore and Melvin Ingram),3.910,4.200
2,5:01,2,4,SDG 19,6,14,LeGarrette Blount right tackle for 1 yard (tackle by Kendall Reyes and Donald Butler),4.200,3.660
2,4:18,3,3,SDG 18,6,14,Tom Brady left end for 4 yards (tackle by Corey Liuget and Manti Te'o),3.660,4.650
2,3:33,1,10,SDG 14,12,14,"Tom Brady pass complete short left to Rob Gronkowski for 14 yards, touchdown",4.650,7.000
2,3:33,,,SDG 2,13,14,Stephen Gostkowski kicks extra point good,0.000,0.000
2,3:33,,,NWE 35,13,14,"Stephen Gostkowski kicks off 73 yards, returned by Chris Davis for 25 yards (tackle by Logan Ryan)",0.000,0.060
2,3:22,1,10,SDG 17,13,14,Philip Rivers pass complete short right to Malcom Floyd for 11 yards (tackle by Brandon Browner),-0.060,0.810
2,2:56,1,10,SDG 28,13,14,"Ryan Mathews left tackle for no gain (tackle by Jamie Collins and Akeem Ayers). Penalty on Chad Rinehart: Offensive Holding, 10 yards (no play)",0.810,-0.040
2,2:28,1,20,SDG 18,13,14,Philip Rivers sacked by Jamie Collins for -9 yards,-0.040,-0.040
2,2:23,1,20,SDG 18,13,14,Timeout #2 by New England Patriots,-0.040,-2.170
2,2:23,2,29,SDG 9,13,14,"Ryan Mathews up the middle for 10 yards (tackle by Jamie Collins). Penalty on Kyle Arrington: Tripping, 10 yards",-2.170,0.870
2,2:00,1,10,SDG 29,13,14,Philip Rivers pass incomplete short left intended for Donald Brown,0.870,0.330
2,1:53,2,10,SDG 29,13,14,Philip Rivers pass complete short left to Donald Brown for 5 yards (tackle by Akeem Ayers),0.330,0.300
2,1:47,3,5,SDG 34,13,14,Philip Rivers pass incomplete short right intended for Eddie Royal,0.300,-1.110
2,1:40,4,5,SDG 34,13,14,"Nick Novak punts 27 yards, fair catch by Danny Amendola",-1.110,-1.530
2,1:32,1,10,NWE 39,13,14,Shane Vereen up the middle for 1 yard (tackle by Eric Weddle),1.530,1.120
2,1:14,2,9,NWE 40,13,14,Tom Brady pass incomplete short right intended for Julian Edelman (defended by Melvin Ingram),1.120,0.430
2,1:09,3,9,NWE 40,13,14,Tom Brady pass complete short middle to Rob Gronkowski for 11 yards (tackle by Eric Weddle),0.430,2.320
2,0:50,1,10,SDG 49,13,14,"Tom Brady pass incomplete deep left intended for Brandon LaFell. Penalty on Shareece Wright: Defensive Pass Interference, 17 yards (no play)",2.320,3.450
2,0:44,1,10,SDG 32,13,14,Tom Brady pass complete short left to Shane Vereen for 14 yards (tackle by Jahleel Addae),3.450,4.370
2,0:21,1,10,SDG 18,13,14,Tom Brady pass incomplete short right intended for Julian Edelman,4.370,3.800
2,0:18,2,10,SDG 18,13,14,Tom Brady pass incomplete short left intended for Rob Gronkowski is intercepted by Manti Te'o at SDG-4,3.800,0.380
2,0:10,1,10,SDG 4,13,14,Philip Rivers kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,NWE,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 35,13,14,"Nick Novak kicks off 67 yards, returned by Danny Amendola for 21 yards (tackle by Darrell Stuckey)",0.000,-0.150
3,14:55,1,10,NWE 19,13,14,Tom Brady pass complete short middle to LeGarrette Blount for no gain,0.150,-0.390
3,14:15,2,10,NWE 19,13,14,Tom Brady pass complete short left to Rob Gronkowski for 9 yards (tackle by Eric Weddle and Jarret Johnson),-0.390,0.100
3,13:35,3,1,NWE 28,13,14,LeGarrette Blount up the middle for -1 yards (tackle by Jarret Johnson and Eric Weddle),0.100,-1.570
3,12:53,4,2,NWE 27,13,14,Ryan Allen punts 60 yards,-1.570,0.320
3,12:43,1,10,SDG 13,13,14,Branden Oliver up the middle for -2 yards (tackle by Jamie Collins),-0.320,-0.930
3,12:14,2,12,SDG 11,13,14,Philip Rivers pass incomplete short left intended for Branden Oliver,-0.930,-1.650
3,12:05,3,12,SDG 11,13,14,Philip Rivers pass complete short middle to Donald Brown for 8 yards (tackle by Jamie Collins),-1.650,-2.140
3,11:43,4,4,SDG 19,13,14,"Nick Novak punts 33 yards, returned by Danny Amendola for no gain",-2.140,-2.130
3,11:33,1,10,NWE 48,13,14,Tom Brady pass incomplete short left intended for Brandon LaFell,2.130,1.580
3,11:27,2,10,NWE 48,13,14,LeGarrette Blount left tackle for 4 yards (tackle by Ricardo Mathews and Jahleel Addae),1.580,1.420
3,10:39,3,6,SDG 48,13,14,Tom Brady pass incomplete short middle intended for Tim Wright (defended by Jeremiah Attaochu),1.420,0.070
3,10:35,4,6,SDG 48,13,14,"Ryan Allen punts 38 yards, fair catch by Keenan Allen",0.070,0.380
3,10:26,1,10,SDG 10,13,14,Ryan Mathews left end for -2 yards (tackle by Rob Ninkovich and Alan Branch),-0.380,-0.930
3,9:44,2,12,SDG 8,13,14,Philip Rivers pass complete short right to Antonio Gates for 10 yards (tackle by Devin McCourty),-0.930,-0.480
3,9:05,3,2,SDG 18,13,14,Philip Rivers sacked by Rob Ninkovich for -7 yards,-0.480,-2.490
3,8:31,4,9,SDG 11,13,14,"Nick Novak punts 45 yards, returned by Julian Edelman for no gain",-2.490,-1.860
3,8:21,1,10,NWE 44,13,14,"Penalty on Daniel Connolly: False Start, 5 yards (no play)",1.860,1.530
3,8:21,1,15,NWE 39,13,14,Tom Brady pass complete short right to Rob Gronkowski for -6 yards (tackle by Andrew Gachkar and Marcus Gilchrist),1.530,-0.170
3,7:40,2,21,NWE 33,13,14,Tom Brady pass complete short right to Shane Vereen for 7 yards (tackle by Andrew Gachkar),-0.170,0.100
3,7:01,3,14,NWE 40,13,14,Tom Brady pass incomplete short left intended for Brandon LaFell (defended by Shareece Wright),0.100,-0.720
3,6:55,4,14,NWE 40,13,14,"Ryan Allen punts 49 yards, returned by Keenan Allen for 7 yards (tackle by Tavon Wilson). Penalty on Brian Tyms: Unsportsmanlike Conduct, 15 yards",-0.720,-1.140
3,6:44,1,10,SDG 33,13,14,"Philip Rivers pass incomplete deep left intended for Ladarius Green is intercepted by Devin McCourty at NWE-44 and returned for 56 yards. Penalty on Brandon Browner: Unnecessary Roughness, 15 yards (no play)",1.140,2.130
3,6:28,1,10,SDG 48,13,14,Philip Rivers pass complete short right to Ryan Mathews for 4 yards (tackle by Rob Ninkovich),2.130,2.120
3,6:01,2,6,NWE 48,13,14,Ryan Mathews left end for -6 yards (tackle by Kyle Arrington),2.120,0.630
3,5:18,3,12,SDG 46,13,14,Philip Rivers pass complete short left to Eddie Royal for 22 yards (tackle by Duron Harmon),0.630,3.450
3,4:55,1,10,NWE 32,13,14,"Philip Rivers pass incomplete deep left intended for Malcom Floyd. Penalty on Malcom Floyd: Offensive Pass Interference, 10 yards (no play)",3.450,2.790
3,4:49,1,20,NWE 42,13,14,Philip Rivers pass incomplete short middle intended for Keenan Allen is intercepted by Akeem Ayers at NWE-30,2.790,-0.940
3,4:43,1,10,NWE 30,13,14,LeGarrette Blount left end for -2 yards (tackle by Manti Te'o and Corey Liuget),0.940,0.120
3,4:02,2,12,NWE 28,13,14,Tom Brady pass complete short left to Rob Gronkowski for 6 yards (tackle by Brandon Flowers and Jarret Johnson),0.120,0.230
3,3:24,3,6,NWE 34,13,14,Tom Brady pass incomplete short right intended for Rob Gronkowski,0.230,-1.110
3,3:19,4,6,NWE 34,13,14,"Ryan Allen punts 56 yards, returned by Keenan Allen for no gain",-1.110,0.380
3,3:09,1,10,SDG 10,13,14,Philip Rivers pass incomplete short left intended for Branden Oliver,-0.380,-0.780
3,3:04,2,10,SDG 10,13,14,Philip Rivers pass complete deep right to Malcom Floyd for 28 yards (tackle by Brandon Browner),-0.780,1.470
3,2:21,1,10,SDG 38,13,14,Philip Rivers pass complete short left to Keenan Allen for 3 yards (tackle by Darrelle Revis),1.470,1.330
3,1:36,2,7,SDG 41,13,14,Branden Oliver up the middle for -1 yards (tackle by Alan Branch),1.330,0.500
3,0:56,3,8,SDG 40,13,14,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Devin McCourty),0.500,-0.720
3,0:50,4,8,SDG 40,13,14,"Nick Novak punts 51 yards, returned by Julian Edelman for 16 yards (tackle by Kavell Conner)",-0.720,-0.610
3,0:38,1,10,NWE 25,13,14,Tom Brady pass complete short right to Rob Gronkowski for 9 yards (tackle by Kavell Conner),0.610,1.280
3,0:09,2,1,NWE 34,13,14,Tom Brady pass complete short left to Rob Gronkowski for 9 yards (tackle by Eric Weddle and Jarret Johnson),1.280,1.800
Quarter,Time,Down,ToGo,Location,NWE,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 43,13,14,Julian Edelman left end for 4 yards (tackle by Ricardo Mathews and Corey Liuget),1.800,1.790
4,14:17,2,6,NWE 47,13,14,Tom Brady pass complete short right to Brandon LaFell for 9 yards (tackle by Shareece Wright),1.790,2.650
4,13:34,1,10,SDG 44,13,14,"Tom Brady pass complete short right to Rob Gronkowski for no gain. Penalty on Donald Butler: Defensive Holding, 5 yards (no play)",2.650,2.980
4,13:07,1,10,SDG 39,13,14,Tom Brady pass complete short left to Danny Amendola for -2 yards (tackle by Marcus Gilchrist),2.980,2.170
4,12:40,2,12,SDG 41,13,14,Tom Brady pass complete short left to Julian Edelman for 14 yards (tackle by Brandon Flowers and Jahleel Addae),2.170,3.780
4,12:05,1,10,SDG 27,13,14,LeGarrette Blount right tackle for -3 yards (tackle by Melvin Ingram and Corey Liuget),3.780,2.830
4,11:21,2,13,SDG 30,13,14,Tom Brady pass complete short middle to Julian Edelman for 10 yards (tackle by Donald Butler),2.830,3.470
4,10:44,3,3,SDG 20,13,14,Tom Brady pass incomplete short right intended for Brandon LaFell,3.470,2.220
4,10:34,4,3,SDG 20,16,14,Stephen Gostkowski 38 yard field goal good,2.220,3.000
4,10:34,,,NWE 35,16,14,"Stephen Gostkowski kicks off 60 yards, returned by Donald Brown for 8 yards (tackle by Matt Slater)",0.000,0.320
4,10:29,1,10,SDG 13,16,14,Philip Rivers pass complete short left to Antonio Gates for 4 yards (tackle by Kyle Arrington and Jamie Collins),-0.320,-0.300
4,9:54,2,6,SDG 17,16,14,Philip Rivers pass complete short right to Keenan Allen for no gain,-0.300,-0.940
4,9:12,3,6,SDG 17,16,14,Philip Rivers pass incomplete deep left intended for Eddie Royal,-0.940,-2.320
4,9:05,4,6,SDG 17,16,14,"Nick Novak punts 46 yards, returned by Julian Edelman for 4 yards (tackle by Donald Brown). Penalty on Malcolm Butler: Offensive Holding, 10 yards",-2.320,-1.000
4,8:53,1,10,NWE 31,22,14,"Tom Brady pass complete short middle to Julian Edelman for 69 yards, touchdown",1.000,7.000
4,8:53,,,SDG 2,23,14,Stephen Gostkowski kicks extra point good,0.000,0.000
4,8:53,,,NWE 35,23,14,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
4,8:41,1,10,SDG 20,23,14,Philip Rivers pass complete short middle to Donald Brown for 24 yards (tackle by Devin McCourty and Brandon Browner),0.280,1.860
4,7:56,1,10,SDG 44,23,14,Philip Rivers pass incomplete short left intended for Malcom Floyd,1.860,1.320
4,7:49,2,10,SDG 44,23,14,Philip Rivers sacked by Chris Jones and Sealver Siliga for -1 yards,1.320,0.500
4,7:06,3,11,SDG 43,23,14,Philip Rivers right end for 7 yards (tackle by Devin McCourty),0.500,-0.060
4,6:28,4,4,,23,14,"Nick Novak punts 38 yards, fair catch by Danny Amendola",-0.060,0.350
4,6:18,1,10,NWE 12,23,14,LeGarrette Blount up the middle for 1 yard (tackle by Corey Liuget and Kavell Conner),-0.350,-0.700
4,5:36,2,9,NWE 13,23,14,Tom Brady pass complete short middle to Julian Edelman for 7 yards (tackle by Andrew Gachkar and Manti Te'o),-0.700,-0.480
4,4:53,3,2,NWE 20,23,14,Tom Brady up the middle for 5 yards (tackle by Jahleel Addae),-0.480,0.610
4,4:04,1,10,NWE 25,23,14,LeGarrette Blount up the middle for -2 yards (tackle by Melvin Ingram),0.610,0.610
4,4:02,1,10,NWE 25,23,14,Timeout #1 by San Diego Chargers,0.610,-0.210
4,4:02,2,12,NWE 23,23,14,"Tom Brady pass incomplete deep left intended for Shane Vereen. Penalty on Andrew Gachkar: Illegal Contact, 5 yards (no play)",-0.210,0.810
4,3:57,1,10,NWE 28,23,14,LeGarrette Blount right tackle for 23 yards (tackle by Marcus Gilchrist),0.810,0.810
4,3:43,1,10,NWE 28,23,14,Timeout #2 by San Diego Chargers,0.810,2.320
4,3:43,1,10,SDG 49,23,14,LeGarrette Blount right guard for 1 yard (tackle by Kavell Conner and Donald Butler),2.320,2.320
4,3:38,1,10,SDG 49,23,14,Timeout #3 by San Diego Chargers,2.320,1.920
4,3:37,2,9,SDG 48,23,14,LeGarrette Blount right guard for -1 yards (tackle by Corey Liuget),1.920,1.090
4,2:56,3,10,SDG 49,23,14,Tom Brady pass complete short left to Danny Amendola for 5 yards (tackle by Andrew Gachkar),1.090,0.330
4,2:13,4,5,SDG 44,23,14,"Ryan Allen punts 44 yards, touchback",0.330,-0.280
4,2:05,1,10,SDG 20,23,14,Philip Rivers pass incomplete deep right intended for Malcom Floyd,0.280,-0.270
4,1:59,2,10,SDG 20,23,14,Philip Rivers pass complete short right to Eddie Royal for 8 yards (tackle by Kyle Arrington),-0.270,0.100
4,1:54,3,2,SDG 28,23,14,Philip Rivers pass complete short right to Donald Brown for -3 yards (tackle by Tavon Wilson),0.100,-1.700
4,1:24,4,5,SDG 25,23,14,Philip Rivers pass complete short left to Antonio Gates for 4 yards (tackle by Tavon Wilson),-1.700,-3.640
4,1:17,1,10,SDG 29,23,14,Tom Brady kneels for -1 yards,3.640,2.970
4,0:39,2,11,SDG 30,23,14,Tom Brady kneels for -1 yards,2.970,2.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
