Unnamed: 0,NWE,SDG
First Downs,24,13
Rush-Yds-TDs,28-87-0,17-53-0
Cmp-Att-Yd-TD-INT,28-44-317-2-1,20-33-189-1-1
Sacked-Yards,1-7,4-26
Net Pass Yards,310,163
Total Yards,397,216
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,6-70,8-61
Third Down Conv.,7-16,4-13
Fourth Down Conv.,0-0,0-1
Time of Possession,34:33,25:27
