Unnamed: 0,MIN,GNB
First Downs,21,20
Rush-Yds-TDs,36-196-2,23-84-1
Cmp-Att-Yd-TD-INT,16-29-212-1-3,21-35-295-2-2
Sacked-Yards,1-6,0-0
Net Pass Yards,206,295
Total Yards,402,379
Fumbles-Lost,1-0,1-0
Turnovers,3,2
Penalties-Yards,6-40,2-20
Third Down Conv.,6-14,6-11
Fourth Down Conv.,2-3,1-3
Time of Possession,31:04,28:56
