Quarter,Time,Tm,Detail,NWE,BUF
1.0,1:30,Patriots,Stephen Gostkowski 50 yard field goal,3,0
2.0,6:26,Patriots,Stephen Gostkowski 31 yard field goal,6,0
,3:05,Bills,Stephen Hauschka 49 yard field goal,6,3
,0:15,Patriots,Stephen Gostkowski 39 yard field goal,9,3
3.0,9:02,Patriots,Rex Burkhead 1 yard rush (Stephen Gostkowski kick),16,3
,1:08,Patriots,Rex Burkhead 14 yard rush (Stephen Gostkowski kick),23,3
