Unnamed: 0,NWE,BUF
First Downs,23,16
Rush-Yds-TDs,35-191-2,26-183-0
Cmp-Att-Yd-TD-INT,21-30-258-0-1,15-34-115-0-1
Sacked-Yards,3-14,4-30
Net Pass Yards,244,85
Total Yards,435,268
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,9-66,3-34
Third Down Conv.,5-12,5-13
Fourth Down Conv.,0-0,0-3
Time of Possession,34:01,25:59
