Quarter,Time,Tm,Detail,ATL,KAN
2.0,3:35,Falcons,Hayden Hurst 5 yard pass from Matt Ryan (Younghoe Koo kick),7,0
,0:30,Chiefs,Travis Kelce 4 yard pass from Patrick Mahomes (Harrison Butker kick),7,7
4.0,14:08,Chiefs,Harrison Butker 53 yard field goal,7,10
,4:33,Falcons,Laquon Treadwell 5 yard pass from Matt Ryan (Younghoe Koo kick),14,10
,1:55,Chiefs,Demarcus Robinson 25 yard pass from Patrick Mahomes (Harrison Butker kick),14,17
