Unnamed: 0,ATL,KAN
First Downs,23,23
Rush-Yds-TDs,23-90-0,21-117-0
Cmp-Att-Yd-TD-INT,27-35-300-2-0,24-45-278-2-2
Sacked-Yards,4-23,0-0
Net Pass Yards,277,278
Total Yards,367,395
Fumbles-Lost,4-1,0-0
Turnovers,1,2
Penalties-Yards,7-45,6-41
Third Down Conv.,6-12,5-13
Fourth Down Conv.,0-0,1-2
Time of Possession,33:12,26:48
