Quarter,Time,Down,ToGo,Location,ATL,KAN,Detail,EPB,EPA
1,7:17,2,6,ATL 39,0,0,Ito Smith left guard for 3 yards (tackle by Mike Pennel),1.260,0.960
1,6:38,3,3,ATL 42,0,0,Matt Ryan pass complete short right to Russell Gage for 3 yards (tackle by L'Jarius Sneed),0.960,1.930
1,5:58,1,10,ATL 45,0,0,"Matt Ryan pass complete short right to Hayden Hurst for 8 yards (tackle by Charvarius Ward). Penalty on Calvin Ridley: Illegal Shift, 5 yards (no play)",1.930,1.600
1,5:31,1,15,ATL 40,0,0,Matt Ryan pass complete short middle to Hayden Hurst for 15 yards (tackle by Daniel Sorensen),1.600,2.590
1,4:47,1,10,KAN 45,0,0,Ito Smith left end for 4 yards (tackle by Tanoh Kpassagnon),2.590,2.580
1,4:12,2,6,KAN 41,0,0,Calvin Ridley left end for -7 yards (tackle by Willie Gay),2.580,0.960
1,3:32,3,13,KAN 48,0,0,"Penalty on Kaleb McGary: False Start, 5 yards (no play)",0.960,0.300
1,3:13,3,18,ATL 47,0,0,"Matt Ryan sacked by Alex Okafor for -1 yards. Matt Ryan fumbles (forced by Alex Okafor), recovered by Matt Ryan at ATL-46",0.300,-0.320
1,2:27,4,19,ATL 46,0,0,"Sterling Hofrichter punts 44 yards, returned by Mecole Hardman for no gain (tackle by Tyler Hall)",-0.320,0.380
1,2:17,1,10,KAN 10,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for 31 yards (tackle by Ricardo Allen),-0.380,1.660
1,1:39,1,10,KAN 41,0,0,Le'Veon Bell right end for no gain (tackle by Deion Jones),1.660,1.120
1,1:05,2,10,KAN 41,0,0,Le'Veon Bell left guard for 3 yards (tackle by Foyesade Oluokun),1.120,0.830
1,0:28,3,7,KAN 44,0,0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,0.830,-0.460
1,0:23,4,7,KAN 44,0,0,Tommy Townsend punts 52 yards downed by Antonio Hamilton,-0.460,0.380
1,0:11,1,10,ATL 4,0,0,Todd Gurley up the middle for 5 yards (tackle by Tanoh Kpassagnon),-0.380,-0.420
Quarter,Time,Down,ToGo,Location,ATL,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,ATL 9,0,0,Matt Ryan pass complete short right to Keith Smith for 7 yards (tackle by Willie Gay),-0.420,-0.140
2,14:18,1,10,ATL 16,0,0,Brian Hill left guard for no gain (tackle by Willie Gay),-0.140,-0.660
2,13:35,2,10,ATL 16,0,0,Matt Ryan pass incomplete deep left intended for Calvin Ridley,-0.660,-1.320
2,13:29,3,10,ATL 16,0,0,Matt Ryan sacked by L'Jarius Sneed for -10 yards,-1.320,-2.490
2,12:54,4,20,ATL 6,0,0,"Sterling Hofrichter punts 49 yards, returned by Mecole Hardman for no gain (tackle by Brian Hill)",-2.490,-1.930
2,12:45,1,10,KAN 45,0,0,Patrick Mahomes pass complete short right to Darrel Williams for 5 yards (tackle by Deion Jones),1.930,2.060
2,12:06,2,5,KAN 50,0,0,Patrick Mahomes pass incomplete deep right intended for Mecole Hardman,2.060,1.360
2,11:59,3,5,KAN 50,0,0,Patrick Mahomes pass complete short left to Mecole Hardman for 4 yards (tackle by Kendall Sheffield and Grady Jarrett),1.360,0.200
2,11:17,4,1,ATL 46,0,0,Darrel Williams up the middle for 11 yards (tackle by Deion Jones),0.200,3.250
2,10:39,1,10,ATL 35,0,0,"Penalty on Travis Kelce: False Start, 5 yards (no play)",3.250,2.920
2,10:21,1,15,ATL 40,0,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,2.920,2.030
2,10:15,2,15,ATL 40,0,0,Patrick Mahomes pass complete short left to Darrel Williams for 13 yards (tackle by Deion Jones),2.030,3.070
2,9:30,3,2,ATL 27,0,0,Darrel Williams up the middle for 1 yard (tackle by Grady Jarrett and Foyesade Oluokun),3.070,1.890
2,8:54,4,1,ATL 26,0,0,Sammy Watkins pass deep left intended for Patrick Mahomes is intercepted by Keanu Neal at ATL-2 and returned for no gain,1.890,0.380
2,8:44,1,10,ATL 2,0,0,Todd Gurley right end for 6 yards (tackle by Daniel Sorensen),-0.380,-0.340
2,8:07,2,4,ATL 8,0,0,Matt Ryan pass complete short right to Keith Smith for 7 yards (tackle by Ben Niemann),-0.340,-0.220
2,7:28,1,10,ATL 15,0,0,"Matt Ryan pass complete short left to Ito Smith for 5 yards (tackle by Ben Niemann). Ito Smith fumbles, ball out of bounds at ATL-20 (forced by Ben Niemann)",-0.220,0.080
2,6:57,2,5,ATL 20,0,0,Brian Hill right end for 3 yards (tackle by Derrick Nnadi),0.080,-0.390
2,6:17,3,2,ATL 23,0,0,Matt Ryan pass complete short right to Todd Gurley for 8 yards (tackle by Willie Gay),-0.390,1.000
2,5:41,1,10,ATL 31,0,0,Brian Hill left guard for 4 yards (tackle by Michael Danna),1.000,1.000
2,5:05,2,6,ATL 35,0,0,Matt Ryan pass complete short left to Calvin Ridley for 54 yards (tackle by Daniel Sorensen),1.000,4.840
2,4:18,1,10,KAN 11,0,0,Brian Hill left guard for 6 yards (tackle by Omari Cobb),4.840,5.280
2,3:40,2,4,KAN 5,6,0,"Matt Ryan pass complete short middle to Hayden Hurst for 5 yards, touchdown",5.280,7.000
2,3:35,,,KAN 15,7,0,Younghoe Koo kicks extra point good,0.000,0.000
2,3:35,,,ATL 35,7,0,"Younghoe Koo kicks off 64 yards, returned by Mecole Hardman for 21 yards (tackle by Edmond Robinson)",0.000,0.410
2,3:28,1,10,KAN 22,7,0,Patrick Mahomes pass complete short right to Le'Veon Bell for 9 yards (tackle by Charles Harris),0.410,1.080
2,2:49,2,1,KAN 31,7,0,Patrick Mahomes pass complete short right to Sammy Watkins for 9 yards (tackle by AJ Terrell),1.080,1.600
2,2:09,1,10,KAN 40,7,0,Patrick Mahomes pass complete short left to Sammy Watkins for 5 yards (tackle by Isaiah Oliver),1.600,1.730
2,2:00,2,5,KAN 45,7,0,Patrick Mahomes pass complete short left to Travis Kelce for 11 yards (tackle by Foyesade Oluokun),1.730,2.650
2,1:43,1,10,ATL 44,7,0,Patrick Mahomes left end for 13 yards (tackle by Keanu Neal),2.650,3.510
2,1:35,1,10,ATL 31,7,0,Patrick Mahomes pass incomplete short right intended for Mecole Hardman,3.510,2.970
2,1:31,2,10,ATL 31,7,0,Patrick Mahomes right end for 9 yards (tackle by Deion Jones),2.970,3.470
2,1:03,,,,,,Timeout #1 by Atlanta Falcons,,
2,1:03,3,1,ATL 22,7,0,Patrick Mahomes pass complete short right to Travis Kelce for 2 yards (tackle by Deion Jones),3.470,4.240
2,0:54,,,,,,Timeout #1 by Kansas City Chiefs,,
2,0:54,1,10,ATL 20,7,0,Patrick Mahomes pass incomplete short left,4.240,3.690
2,0:49,2,10,ATL 20,7,0,Patrick Mahomes pass complete short right to Darrel Williams for 9 yards (tackle by Keanu Neal),3.690,4.590
2,0:44,3,1,ATL 11,7,0,Darrel Williams right guard for 7 yards (tackle by Ricardo Allen and Foyesade Oluokun),4.590,6.280
2,0:35,,,,,,Timeout #2 by Kansas City Chiefs,,
2,0:35,1,4,ATL 4,7,6,"Patrick Mahomes pass complete short right to Travis Kelce for 4 yards, touchdown",6.280,7.000
2,0:30,,,ATL 15,7,7,Harrison Butker kicks extra point good,0.000,0.000
2,0:30,,,KAN 35,7,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,0:30,1,10,ATL 25,7,7,Matt Ryan kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,ATL,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,7,7,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,7,7,Le'Veon Bell right end for 3 yards (tackle by Mykal Walker),0.610,0.470
3,14:25,2,7,KAN 28,7,7,"Penalty on Foyesade Oluokun: Neutral Zone Infraction, 5 yards (no play)",0.470,1.140
3,14:08,2,2,KAN 33,7,7,Le'Veon Bell right guard for 6 yards (tackle by John Cominsky),1.140,1.530
3,13:31,1,10,KAN 39,7,7,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,1.530,0.990
3,13:24,2,10,KAN 39,7,7,Patrick Mahomes pass complete short left to Mecole Hardman for 11 yards (tackle by Kendall Sheffield),0.990,2.260
3,12:55,1,10,KAN 50,7,7,Patrick Mahomes pass complete short left to Deon Yelder for 12 yards (tackle by Kendall Sheffield),2.260,3.050
3,12:16,1,10,ATL 38,7,7,Mecole Hardman left end for 20 yards (tackle by Sharrod Neasman),3.050,4.370
3,11:39,1,10,ATL 18,7,7,Le'Veon Bell left guard for 11 yards (tackle by Kendall Sheffield and Mykal Walker),4.370,5.600
3,10:52,1,7,ATL 7,7,7,Patrick Mahomes pass incomplete short left intended for Travis Kelce,5.600,4.760
3,10:47,2,7,ATL 7,7,7,Patrick Mahomes pass incomplete short left intended for Le'Veon Bell,4.760,3.810
3,10:42,3,7,ATL 7,7,7,"Patrick Mahomes pass short middle intended for Travis Kelce is intercepted by Foyesade Oluokun at ATL-1 and returned for 51 yards. Foyesade Oluokun fumbles, ball out of bounds at KC-48 (forced by Tyreek Hill)",3.810,-2.390
3,10:26,1,10,KAN 48,7,7,Matt Ryan sacked by Frank Clark for -9 yards,2.390,0.630
3,9:46,2,19,ATL 43,7,7,Matt Ryan sacked by Chris Jones for -3 yards,0.630,-0.430
3,9:01,3,22,ATL 40,7,7,Matt Ryan pass complete short right to Hayden Hurst for 7 yards (tackle by Charvarius Ward),-0.430,-0.260
3,8:30,4,15,ATL 47,7,7,"Sterling Hofrichter punts 43 yards, returned by Mecole Hardman for 11 yards (tackle by Edmond Robinson)",-0.260,-0.340
3,8:19,1,10,KAN 21,7,7,Patrick Mahomes pass complete short right to Tyreek Hill for 13 yards (tackle by Deion Jones),0.340,1.200
3,7:44,1,10,KAN 34,7,7,Patrick Mahomes pass incomplete short right intended for Darrel Williams,1.200,0.660
3,7:36,2,10,KAN 34,7,7,Patrick Mahomes pass incomplete short right,0.660,-0.030
3,7:31,3,10,KAN 34,7,7,Patrick Mahomes pass incomplete short middle intended for Darrel Williams,-0.030,-1.110
3,7:24,4,10,KAN 34,7,7,Tommy Townsend punts 58 yards out of bounds,-1.110,0.380
3,7:14,1,10,ATL 8,7,7,Ito Smith left guard for 6 yards (tackle by Mike Pennel),-0.380,-0.320
3,6:41,2,4,ATL 14,7,7,Ito Smith right end for 3 yards (tackle by Alex Okafor),-0.320,-0.370
3,5:59,3,1,ATL 17,7,7,Todd Gurley left end for 3 yards (tackle by Darius Harris),-0.370,0.280
3,5:26,1,10,ATL 20,7,7,Ito Smith left end for 2 yards (tackle by Willie Gay and Mike Pennel),0.280,0.000
3,4:46,2,8,ATL 22,7,7,"Penalty on Matt Hennessy: False Start, 5 yards (no play)",0.000,-0.790
3,4:30,2,13,ATL 17,7,7,Ito Smith left end for 1 yard (tackle by Willie Gay),-0.790,-1.330
3,3:50,3,12,ATL 18,7,7,"Matt Ryan pass incomplete short right intended for Hayden Hurst. Penalty on Daniel Sorensen: Defensive Pass Interference, 11 yards (no play)",-1.330,0.870
3,3:45,1,10,ATL 29,7,7,Matt Ryan pass complete short left to Hayden Hurst for 3 yards (tackle by Willie Gay),0.870,0.730
3,3:04,2,7,ATL 32,7,7,"Ito Smith left end for 3 yards (tackle by Tyrann Mathieu and Derrick Nnadi). Penalty on Matt Hennessy: Offensive Holding, 10 yards (no play)",0.730,-0.620
3,2:35,2,17,ATL 22,7,7,Matt Ryan pass incomplete short middle intended for Hayden Hurst,-0.620,-1.290
3,2:28,3,17,ATL 22,7,7,Matt Ryan pass complete short middle to Todd Gurley for no gain (tackle by L'Jarius Sneed),-1.290,-1.900
3,1:50,4,17,ATL 22,7,7,"Sterling Hofrichter punts 50 yards, returned by Mecole Hardman for 9 yards (tackle by Sharrod Neasman and Mykal Walker)",-1.900,-1.400
3,1:39,1,10,KAN 37,7,7,Darrel Williams up the middle for 4 yards (tackle by John Cominsky and Steven Means),1.400,1.400
3,1:05,2,6,KAN 41,7,7,Patrick Mahomes pass incomplete short right intended for Sammy Watkins,1.400,0.700
3,1:00,3,6,KAN 41,7,7,"Penalty on Mecole Hardman: False Start, 5 yards (no play)",0.700,0.040
3,1:00,3,11,KAN 36,7,7,Patrick Mahomes pass complete deep middle to Travis Kelce for 26 yards (tackle by Keanu Neal). Penalty on Dante Fowler: Defensive Offside (Declined),0.040,3.050
3,0:22,1,10,ATL 38,7,7,Darrel Williams up the middle for 3 yards (tackle by Deion Jones),3.050,2.910
Quarter,Time,Down,ToGo,Location,ATL,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,ATL 35,7,7,Patrick Mahomes pass incomplete short right intended for Sammy Watkins (defended by Jacob Tuioti-Mariner),2.910,2.210
4,14:55,3,7,ATL 35,7,7,Patrick Mahomes pass complete short left to Darrel Williams for no gain (tackle by Dante Fowler and Foyesade Oluokun),2.210,0.970
4,14:13,4,7,ATL 35,7,10,Harrison Butker 53 yard field goal good,0.970,3.000
4,14:08,,,KAN 35,7,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,14:08,1,10,ATL 25,7,10,Matt Ryan pass complete short right to Calvin Ridley for 15 yards (tackle by Daniel Sorensen),0.610,1.600
4,13:39,1,10,ATL 40,7,10,Matt Ryan pass complete deep right to Hayden Hurst for 17 yards (tackle by Charvarius Ward). Penalty on Darius Harris: Illegal Contact (Declined),1.600,2.720
4,13:22,1,10,KAN 43,7,10,Brian Hill up the middle for 2 yards (tackle by Darius Harris),2.720,2.450
4,12:44,2,8,KAN 41,7,10,Matt Ryan pass complete short right to Laquon Treadwell for 6 yards (tackle by L'Jarius Sneed),2.450,2.540
4,12:10,3,2,KAN 35,7,10,Matt Ryan pass complete short right to Luke Stocker for 9 yards (tackle by Daniel Sorensen),2.540,3.840
4,11:30,1,10,KAN 26,7,10,Matt Ryan pass complete short middle to Brian Hill for 6 yards (tackle by Darius Harris),3.840,4.110
4,10:50,2,4,KAN 20,7,10,"Matt Ryan pass complete short left to Brandon Powell for 2 yards (tackle by Willie Gay and L'Jarius Sneed). Brandon Powell fumbles (forced by Willie Gay), recovered by Darius Harris at KC-18 and returned for 15 yards (tackle by Luke Stocker)",4.110,-1.140
4,10:39,1,10,KAN 33,7,10,Darrel Williams right guard for 11 yards (tackle by Tyeler Davison),1.140,1.860
4,10:05,1,10,KAN 44,7,10,Darrel Williams right guard for 2 yards (tackle by Tyeler Davison and Mykal Walker),1.860,1.590
4,9:27,2,8,KAN 46,7,10,Patrick Mahomes pass complete short left to Demarcus Robinson for 4 yards (tackle by Kendall Sheffield),1.590,1.420
4,8:44,3,4,KAN 50,7,10,Darrel Williams left end for 1 yard (tackle by Keanu Neal),1.420,0.000
4,8:06,4,3,ATL 49,7,10,Tommy Townsend punts 24 yards out of bounds,0.000,-0.610
4,7:58,1,10,ATL 25,7,10,"Ito Smith right guard for 9 yards (tackle by Alex Okafor). Penalty on Matt Hennessy: Offensive Holding, 10 yards (no play)",0.610,-0.410
4,7:35,1,20,ATL 15,7,10,Matt Ryan pass complete deep left to Calvin Ridley for 31 yards (tackle by Daniel Sorensen),-0.410,1.990
4,7:06,1,10,ATL 46,7,10,Brian Hill left guard for 17 yards (tackle by Charvarius Ward),1.990,3.120
4,6:34,1,10,KAN 37,7,10,Brian Hill up the middle for 4 yards (tackle by Darius Harris),3.120,3.110
4,5:58,2,6,KAN 33,7,10,Matt Ryan pass complete short right to Brian Hill for 2 yards (tackle by L'Jarius Sneed),3.110,2.680
4,5:21,3,4,KAN 31,7,10,Matt Ryan pass complete short left to Russell Gage for 9 yards (tackle by L'Jarius Sneed),2.680,4.110
4,4:47,1,10,KAN 22,7,10,Matt Ryan pass complete short right to Brian Hill for 17 yards (tackle by Daniel Sorensen),4.110,6.060
4,4:40,1,5,KAN 5,7,10,Matt Ryan pass incomplete short left intended for Calvin Ridley,6.060,5.150
4,4:37,2,5,KAN 5,13,10,"Matt Ryan pass complete short left to Laquon Treadwell for 5 yards, touchdown",5.150,7.000
4,4:33,,,KAN 15,14,10,Younghoe Koo kicks extra point good,0.000,0.000
4,4:33,,,ATL 35,14,10,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
4,4:33,1,10,KAN 25,14,10,Patrick Mahomes pass incomplete short left,0.610,0.060
4,4:26,2,10,KAN 25,14,10,Patrick Mahomes pass incomplete short left intended for Mecole Hardman,0.060,-0.620
4,4:18,3,10,KAN 25,14,10,"Patrick Mahomes pass complete short middle to Travis Kelce for 29 yards (tackle by Isaiah Oliver). Penalty on Tyreek Hill: Illegal Block Above the Waist, 10 yards",-0.620,1.860
4,4:08,1,10,KAN 44,14,10,Darrel Williams left end for 3 yards (tackle by Foyesade Oluokun),1.860,1.720
4,3:46,2,7,KAN 47,14,10,Patrick Mahomes pass complete short left to Travis Kelce for 16 yards (tackle by Kendall Sheffield),1.720,3.120
4,3:26,1,10,ATL 37,14,10,Patrick Mahomes pass complete short left to Mecole Hardman for 9 yards (tackle by Kendall Sheffield),3.120,3.790
4,2:48,2,1,ATL 28,14,10,Darrel Williams left guard for 3 yards (tackle by Charles Harris),3.790,3.910
4,2:07,1,10,ATL 25,14,10,Patrick Mahomes pass incomplete deep right intended for Tyreek Hill (defended by AJ Terrell),3.910,3.360
4,2:01,2,10,ATL 25,14,16,"Patrick Mahomes pass complete deep left to Demarcus Robinson for 25 yards, touchdown",3.360,7.000
4,1:55,,,ATL 15,14,17,Harrison Butker kicks extra point good,0.000,0.000
4,1:55,,,KAN 35,14,17,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,1:55,1,10,ATL 25,14,17,"Matt Ryan pass incomplete short right intended for Hayden Hurst. Penalty on Charvarius Ward: Defensive Holding, 5 yards (no play)",0.610,0.940
4,1:49,1,10,ATL 30,14,17,Matt Ryan pass complete short right to Russell Gage for 12 yards (tackle by Charvarius Ward),0.940,1.730
4,1:27,1,10,ATL 42,14,17,Matt Ryan pass complete deep right to Calvin Ridley for 21 yards,1.730,3.120
4,1:23,1,10,KAN 37,14,17,Matt Ryan pass complete short left to Calvin Ridley for 9 yards (tackle by Bashaud Breeland),3.120,3.790
4,1:00,2,1,KAN 28,14,17,Matt Ryan pass incomplete deep left intended for Calvin Ridley,3.790,3.070
4,0:54,3,1,KAN 28,14,17,Todd Gurley up the middle for 2 yards (tackle by Willie Gay),3.070,3.840
4,0:33,1,10,KAN 26,14,17,"Matt Ryan pass incomplete deep right intended for Calvin Ridley. Penalty on Alex Okafor: Defensive Offside, 5 yards. Penalty on Alex Okafor: Defensive Too Many Men on Field, 5 yards (no play)",3.840,4.570
4,0:27,1,5,KAN 21,14,17,Matt Ryan pass incomplete short middle intended for Russell Gage,4.570,3.970
4,0:23,2,5,KAN 21,14,17,Matt Ryan pass incomplete middle,3.970,3.270
4,0:19,3,5,KAN 21,14,17,Matt Ryan pass incomplete deep left intended for Calvin Ridley,3.270,2.110
4,0:14,4,5,KAN 21,14,17,Younghoe Koo 39 yard field goal no good,2.110,-0.870
4,0:09,1,10,KAN 29,14,17,Patrick Mahomes kneels for -1 yards,0.870,0.190
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
