Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,Wendell Smallwood left guard for 7 yards (tackle by Tashaun Gipson),0.610,1.010
1,14:20,2,3,PHI 32,0,0,Carson Wentz pass incomplete short left intended for Nelson Agholor (defended by Malik Jackson),1.010,0.300
1,14:16,3,3,PHI 32,0,0,Carson Wentz pass complete short middle to Carson Wentz for 4 yards (tackle by Dante Fowler),0.300,1.330
1,13:44,1,10,PHI 36,0,0,Wendell Smallwood right guard for 1 yard (tackle by Ronnie Harrison and Marcell Dareus),1.330,0.930
1,13:03,2,9,PHI 37,0,0,"Penalty on Jason Kelce: False Start, 5 yards (no play)",0.930,0.250
1,12:42,2,14,PHI 32,0,0,Carson Wentz pass incomplete short left intended for Zach Ertz (defended by Quenton Meeks),0.250,-0.430
1,12:37,3,14,PHI 32,0,0,Carson Wentz pass complete deep middle to Jordan Matthews for 31 yards (tackle by Quenton Meeks),-0.430,3.120
1,12:08,1,10,JAX 37,0,0,"Carson Wentz sacked by Marcell Dareus for no gain. Carson Wentz fumbles (forced by Marcell Dareus), recovered by Telvin Smith at JAC-33 and returned for 5 yards (tackle by Carson Wentz). Penalty on Ronnie Harrison: Offensive Holding, 10 yards",3.120,-0.810
1,11:55,1,10,JAX 28,0,0,"Blake Bortles aborted snap, recovered by Blake Bortles at JAC-26 and returned for -2 yards",0.810,-0.010
1,11:22,2,12,JAX 26,0,0,Blake Bortles pass complete short middle to David Grinnage for 5 yards (tackle by Nigel Bradham),-0.010,-0.030
1,10:44,3,7,JAX 31,0,0,Blake Bortles right guard for 10 yards (tackle by Malcolm Jenkins),-0.030,1.660
1,10:08,1,10,JAX 41,0,0,Blake Bortles right end for 9 yards (tackle by Kamu Grugier-Hill),1.660,2.340
1,9:35,2,1,JAX 50,0,0,Dede Westbrook right end for 9 yards (tackle by Jordan Hicks),2.340,2.850
1,8:57,1,10,PHI 41,0,0,Carlos Hyde left guard for 7 yards (tackle by Kamu Grugier-Hill and Jordan Hicks),2.850,3.250
1,8:16,2,3,PHI 34,0,0,Carlos Hyde right guard for 2 yards (tackle by Josh Sweat),3.250,2.810
1,7:36,3,1,PHI 32,0,0,Carlos Hyde up the middle for -1 yards (tackle by Avonte Maddox),2.810,1.200
1,6:56,4,2,PHI 33,0,3,Josh Lambo 50 yard field goal good,1.200,3.000
1,6:50,,,JAX 35,0,3,"Josh Lambo kicks off 62 yards, returned by DeAndre Carter for no gain (tackle by Lerentee McCray)",0.000,-0.280
1,6:45,1,10,PHI 14,0,3,Corey Clement right tackle for 5 yards (tackle by Calais Campbell),-0.280,-0.040
1,6:06,2,5,PHI 19,0,3,Carson Wentz pass complete short left to Corey Clement for -1 yards (tackle by Abry Jones),-0.040,-0.920
1,5:23,3,6,PHI 18,0,3,Carson Wentz pass complete short right to Alshon Jeffery for 6 yards (tackle by Jalen Ramsey),-0.920,0.540
1,4:38,1,10,PHI 24,0,3,Josh Adams right end for 4 yards (tackle by Telvin Smith),0.540,0.540
1,3:56,2,6,PHI 28,0,3,Carson Wentz left guard for 9 yards (tackle by Yannick Ngakoue),0.540,1.400
1,3:07,1,10,PHI 37,0,3,Carson Wentz pass complete deep left to Nelson Agholor for 39 yards (tackle by Quenton Meeks),1.400,3.970
1,2:16,1,10,JAX 24,0,3,Josh Adams left end for 1 yard (tackle by Marcell Dareus),3.970,3.570
1,1:33,2,9,JAX 23,0,3,Carson Wentz pass deep middle intended for Joshua Perkins is intercepted by Jalen Ramsey at JAC-0 and returned for no gain,3.570,-0.280
1,1:27,1,10,JAX 20,0,3,Blake Bortles pass complete short middle to T.J. Yeldon for 3 yards (tackle by Malcolm Jenkins),0.280,0.140
1,0:49,2,7,JAX 23,0,3,Carlos Hyde right guard for -1 yards (tackle by Fletcher Cox and Jalen Mills),0.140,-0.690
1,0:10,3,8,JAX 22,0,3,Blake Bortles sacked by Chris Long for -8 yards,-0.690,-2.470
Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,16,JAX 14,0,3,"Logan Cooke punts 53 yards, returned by DeAndre Carter for no gain (tackle by Blair Brown). Penalty on Rasul Douglas: Offensive Holding, 10 yards",-2.470,-0.480
2,14:48,1,10,PHI 23,0,3,Carson Wentz pass complete short right to Zach Ertz for 6 yards (tackle by Leon Jacobs),0.480,0.740
2,14:12,2,4,PHI 29,0,3,Wendell Smallwood left guard for 1 yard (tackle by Calais Campbell and Myles Jack),0.740,0.170
2,13:32,3,3,PHI 30,0,3,Josh Adams right guard for 5 yards (tackle by Telvin Smith and Myles Jack),0.170,1.270
2,12:50,1,10,PHI 35,0,3,Carson Wentz pass complete short left to Nelson Agholor for 10 yards (tackle by Telvin Smith),1.270,1.930
2,12:09,1,10,PHI 45,0,3,Carson Wentz pass incomplete short left intended for Zach Ertz,1.930,1.380
