Unnamed: 0,PHI,JAX
First Downs,22,16
Rush-Yds-TDs,28-133-0,17-70-0
Cmp-Att-Yd-TD-INT,21-30-286-3-1,24-41-286-1-0
Sacked-Yards,4-24,4-21
Net Pass Yards,262,265
Total Yards,395,335
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,4-36,5-45
Third Down Conv.,7-12,6-14
Fourth Down Conv.,0-0,1-2
Time of Possession,32:38,27:22
