Quarter,Time,Tm,Detail,PHI,JAX
1.0,6:50,Jaguars,Josh Lambo 50 yard field goal,0,3
2.0,7:43,Eagles,Jake Elliott 31 yard field goal,3,3
,2:43,Jaguars,Josh Lambo 57 yard field goal,3,6
,0:29,Eagles,Dallas Goedert 32 yard pass from Carson Wentz (Jake Elliott kick),10,6
3.0,8:39,Eagles,Wendell Smallwood 36 yard pass from Carson Wentz (Jake Elliott kick),17,6
,4:33,Jaguars,Dede Westbrook 11 yard pass from Blake Bortles (pass failed),17,12
4.0,13:10,Jaguars,Josh Lambo 33 yard field goal,17,15
,9:55,Eagles,Zach Ertz 5 yard pass from Carson Wentz (Jake Elliott kick),24,15
,6:57,Jaguars,Josh Lambo 24 yard field goal,24,18
