Quarter,Time,Tm,Detail,STL,HOU
1.0,5:59,Rams,Cory Harkey 2 yard pass from Sam Bradford (Greg Zuerlein kick),7,0
2.0,13:22,Rams,Greg Zuerlein 42 yard field goal,10,0
,8:21,Texans,Randy Bullock 20 yard field goal,10,3
,2:43,Rams,Lance Kendricks 2 yard pass from Sam Bradford (Greg Zuerlein kick),17,3
,0:49,Texans,Randy Bullock 35 yard field goal,17,6
3.0,7:42,Rams,Brian Quick 4 yard pass from Sam Bradford (Greg Zuerlein kick),24,6
,7:36,Rams,Daren Bates 11 yard fumble return (Greg Zuerlein kick),31,6
,0:36,Rams,Alec Ogletree 98 yard interception return (Greg Zuerlein kick),38,6
4.0,3:15,Texans,Ben Tate 1 yard rush (Randy Bullock kick),38,13
