Unnamed: 0,STL,HOU
First Downs,15,27
Rush-Yds-TDs,25-99-0,30-153-1
Cmp-Att-Yd-TD-INT,12-16-117-3-0,27-38-284-0-2
Sacked-Yards,0-0,5-17
Net Pass Yards,117,267
Total Yards,216,420
Fumbles-Lost,0-0,3-2
Turnovers,0,4
Penalties-Yards,9-74,7-95
Third Down Conv.,3-7,6-14
Fourth Down Conv.,0-0,2-3
Time of Possession,24:50,35:10
