Quarter,Time,Down,ToGo,Location,STL,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Randy Bullock kicks off 62 yards, returned by Benny Cunningham for 30 yards (tackle by Shiloh Keo)",0.000,-1.140
1,14:53,1,10,STL 33,0,0,Zac Stacy up the middle for no gain (tackle by Antonio Smith),1.140,0.590
1,14:19,2,10,STL 33,0,0,Zac Stacy right guard for 2 yards (tackle by Whitney Mercilus and Joe Mays),0.590,0.170
1,14:19,3,8,STL 35,0,0,"Penalty on J.J. Watt: Encroachment, 5 yards (no play)",0.170,0.830
1,13:19,3,3,STL 40,0,0,Sam Bradford pass incomplete short middle intended for Chris Givens,0.830,-0.720
1,12:50,4,3,STL 40,0,0,"Johnny Hekker punts 47 yards, out of bounds",-0.720,0.320
1,12:11,1,10,HOU 13,0,0,Arian Foster right guard for 18 yards (tackle by Trumaine Johnson and Rodney McLeod),-0.320,1.000
1,11:39,1,10,HOU 31,0,0,Arian Foster left guard for 2 yards (tackle by Kendall Langford and Alec Ogletree),1.000,0.730
1,11:06,2,8,HOU 33,0,0,Arian Foster up the middle for 11 yards (tackle by Trumaine Johnson),0.730,1.860
1,10:28,1,10,HOU 44,0,0,Arian Foster left tackle for -2 yards (tackle by Eugene Sims),1.860,1.050
1,9:47,2,12,HOU 42,0,0,Matt Schaub pass incomplete short right intended for Arian Foster,1.050,0.370
1,9:42,3,12,HOU 42,0,0,"Matt Schaub pass complete short left to Arian Foster for 8 yards (tackle by Alec Ogletree). Penalty on Duane Brown: Face Mask (15 Yards), 15 yards (no play)",0.370,-1.620
1,9:16,3,27,HOU 27,0,0,Arian Foster left end for 4 yards (tackle by Alec Ogletree),-1.620,-1.310
1,9:00,4,23,HOU 31,0,0,Shane Lechler punts 34 yards,-1.310,-1.270
1,8:47,1,10,STL 35,0,0,Sam Bradford pass incomplete short left intended for Lance Kendricks,1.270,0.720
1,8:43,2,10,STL 35,0,0,"Sam Bradford pass incomplete deep right intended for Brian Quick. Penalty on Antonio Smith: Roughing the Passer (Declined), Penalty on Kareem Jackson: Defensive Pass Interference, 40 yards (no play)",0.720,3.910
1,8:33,1,10,HOU 25,0,0,Zac Stacy up the middle for no gain (tackle by Danieal Manning),3.910,3.360
1,7:57,2,10,HOU 25,0,0,Sam Bradford pass complete short left to Chris Givens for 13 yards (tackle by Danieal Manning),3.360,4.780
1,7:19,1,10,HOU 12,0,0,Zac Stacy up the middle for 6 yards (tackle by Brooks Reed and Brian Cushing),4.780,5.210
1,6:42,2,4,HOU 6,0,0,Zac Stacy up the middle for 4 yards (tackle by Ed Reed and Johnathan Joseph),5.210,6.740
1,6:05,1,2,HOU 2,6,0,"Sam Bradford pass complete short right to Cory Harkey for 2 yards, touchdown",6.740,7.000
1,6:05,,,HOU 2,7,0,Greg Zuerlein kicks extra point good,0.000,0.000
1,6:05,,,STL 35,7,0,"Greg Zuerlein kicks off 71 yards, returned by Danieal Manning for 18 yards (tackle by Darian Stewart)",0.000,0.350
1,5:52,1,10,HOU 12,7,0,Matt Schaub sacked by Michael Brockers for -1 yards,-0.350,-0.850
1,5:15,2,11,HOU 11,7,0,Matt Schaub pass complete short middle to DeAndre Hopkins for 22 yards (tackle by Trumaine Johnson),-0.850,1.140
1,4:37,1,10,HOU 33,7,0,Matt Schaub pass complete short left to Greg Jones for 4 yards (tackle by Janoris Jenkins and Jo-Lonn Dunbar),1.140,1.130
1,4:09,2,6,HOU 37,7,0,"Arian Foster right end for 3 yards (tackle by James Laurinaitis). Penalty on Derek Newton: Offensive Holding, 10 yards",1.130,0.190
1,3:49,2,13,HOU 30,7,0,"Matt Schaub pass complete short right to Ben Tate for 10 yards (tackle by Trumaine Johnson and Alec Ogletree). Penalty on STL: Personal Foul, 15 yards",0.190,2.590
1,3:39,1,10,STL 45,7,0,Ben Tate left tackle for no gain (tackle by Michael Brockers),2.590,2.040
1,2:33,2,10,STL 45,7,0,Matt Schaub pass complete short middle to Andre Johnson for 19 yards (tackle by Alec Ogletree),2.040,3.840
1,2:01,1,10,STL 26,7,0,"Matt Schaub pass complete short middle to DeAndre Hopkins for 12 yards (tackle by Alec Ogletree). DeAndre Hopkins fumbles (forced by Alec Ogletree), recovered by James Laurinaitis at STL-14 and returned for 43 yards (tackle by Brandon Brooks)",3.840,-2.720
1,1:44,1,10,HOU 43,7,0,Zac Stacy up the middle for 7 yards (tackle by Brian Cushing and Joe Mays),2.720,3.120
1,1:06,2,3,HOU 36,7,0,Sam Bradford pass complete short left to Tavon Austin for 3 yards (tackle by Kareem Jackson),3.120,3.380
1,0:26,1,10,HOU 33,7,0,Zac Stacy right tackle for 2 yards (tackle by Whitney Mercilus and Jared Crick),3.380,3.110
Quarter,Time,Down,ToGo,Location,STL,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,HOU 31,7,0,Sam Bradford pass complete short right to Chris Givens for 7 yards (tackle by Brooks Reed),3.110,3.340
2,14:32,3,1,HOU 24,7,0,"Penalty on Chris Williams: False Start, 5 yards (no play)",3.340,2.680
2,14:11,3,6,HOU 29,7,0,Sam Bradford pass complete short right to Zac Stacy for 5 yards (tackle by D.J. Swearinger),2.680,2.020
2,13:26,4,1,HOU 24,10,0,Greg Zuerlein 42 yard field goal good,2.020,3.000
2,13:26,,,STL 35,10,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
2,13:22,1,10,HOU 20,10,0,Arian Foster left end for 12 yards (tackle by Darian Stewart),0.280,1.070
2,12:49,1,10,HOU 32,10,0,Matt Schaub pass complete short right to DeAndre Hopkins for 13 yards (tackle by Darian Stewart),1.070,1.930
2,12:12,1,10,HOU 45,10,0,Arian Foster right guard for 23 yards (tackle by Rodney McLeod),1.930,3.450
2,11:30,1,10,STL 32,10,0,Arian Foster up the middle for 22 yards (tackle by Alec Ogletree),3.450,4.910
2,10:48,1,10,STL 10,10,0,Arian Foster right end for 5 yards (tackle by Chris Long),4.910,5.150
2,10:05,2,5,STL 5,10,0,Ben Tate up the middle for 1 yard (tackle by Eugene Sims),5.150,4.490
2,9:21,3,4,STL 4,10,0,"Penalty on Derek Newton: False Start, 5 yards (no play)",4.490,3.360
2,9:00,3,9,STL 9,10,0,Matt Schaub pass complete short left to Keshawn Martin for 7 yards (tackle by Janoris Jenkins),3.360,3.250
2,8:24,4,2,STL 2,10,3,Randy Bullock 20 yard field goal good,3.250,3.000
2,8:24,,,HOU 35,10,3,"Randy Bullock kicks off 73 yards, touchback",0.000,-0.280
2,8:21,1,10,STL 20,10,3,Sam Bradford pass incomplete deep middle intended for Chris Givens,0.280,0.280
2,8:14,1,10,STL 20,10,3,Timeout #1 by St. Louis Rams,0.280,-0.270
2,8:14,2,10,STL 20,10,3,Daryl Richardson up the middle for no gain (tackle by Antonio Smith),-0.270,-0.960
2,7:35,3,10,STL 20,10,3,Sam Bradford pass complete short right to Daryl Richardson for 18 yards (tackle by Danieal Manning),-0.960,1.470
2,7:04,1,10,STL 38,10,3,Daryl Richardson left guard for 4 yards (tackle by Terrell McClain and Brian Cushing),1.470,1.460
2,7:04,2,6,STL 42,10,3,"Penalty on Terrell McClain: Encroachment, 5 yards (no play)",1.460,2.140
2,6:07,2,1,STL 47,10,3,Zac Stacy up the middle for 8 yards (tackle by Ed Reed),2.140,2.590
2,5:25,1,10,HOU 45,10,3,"Sam Bradford right end for 4 yards (tackle by Whitney Mercilus). Penalty on Brian Cushing: Unnecessary Roughness, 15 yards",2.590,3.840
