Unnamed: 0,BAL,ARI
First Downs,21,22
Rush-Yds-TDs,29-130-3,32-129-1
Cmp-Att-Yd-TD-INT,18-27-157-1-0,25-37-208-2-2
Sacked-Yards,4-19,2-27
Net Pass Yards,138,181
Total Yards,268,310
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,6-45,6-70
Third Down Conv.,4-11,5-12
Fourth Down Conv.,0-0,0-2
Time of Possession,29:39,30:21
