Quarter,Time,Tm,Detail,BAL,ARI
1.0,8:05,Cardinals,Joshua Dobbs 1 yard rush (Matt Prater kick),0,7
,2:38,Ravens,Mark Andrews 5 yard pass from Lamar Jackson (Justin Tucker kick),7,7
2.0,0:20,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),14,7
3.0,0:40,Ravens,Gus Edwards 7 yard rush (Justin Tucker kick),21,7
4.0,9:27,Ravens,Justin Tucker 48 yard field goal,24,7
,6:32,Cardinals,Trey McBride 17 yard pass from Joshua Dobbs (Joshua Dobbs run),24,15
,2:51,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),31,15
,1:14,Cardinals,Marquise Brown 1 yard pass from Joshua Dobbs (pass failed),31,21
,0:26,Cardinals,Matt Prater 47 yard field goal,31,24
