Quarter,Time,Down,ToGo,Location,ARI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ARI 20,0,0,Drew Stanton pass complete deep right to Michael Floyd for 19 yards (tackle by Prince Amukamara),0.280,1.530
1,14:30,1,10,ARI 39,0,0,Drew Stanton pass incomplete short left intended for John Carlson,1.530,0.990
1,14:23,2,10,ARI 39,0,0,Jonathan Dwyer left guard for no gain (tackle by Jacquian Williams and Johnathan Hankins),0.990,0.300
1,13:38,3,10,ARI 39,0,0,Drew Stanton pass complete short middle to Larry Fitzgerald for 17 yards (tackle by Dominique Rodgers-Cromartie and Antrel Rolle),0.300,2.650
1,13:02,1,10,NYG 44,0,0,Andre Ellington left end for 22 yards (tackle by Dominique Rodgers-Cromartie and Stevie Brown),2.650,4.110
1,12:23,1,10,NYG 22,0,0,Drew Stanton pass incomplete short left intended for Andre Ellington,4.110,3.560
1,12:13,2,10,NYG 22,0,0,Drew Stanton sacked by Jason Pierre-Paul for -7 yards,3.560,1.950
1,11:27,3,17,NYG 29,0,0,"Penalty on Drew Stanton: Delay of Game (Declined), Penalty on Jameel McClain: Unnecessary Roughness, 15 yards (no play)",1.950,4.650
1,11:22,1,10,NYG 14,0,0,Drew Stanton pass incomplete short left intended for Andre Ellington (defended by Jason Pierre-Paul),4.650,4.000
1,11:17,2,10,NYG 14,0,0,"Drew Stanton pass incomplete short right intended for Larry Fitzgerald. Penalty on Dominique Rodgers-Cromartie: Illegal Contact, 5 yards (no play)",4.000,5.140
1,11:12,1,9,NYG 9,0,0,Jonathan Dwyer left end for 1 yard (tackle by Prince Amukamara and Jason Pierre-Paul),5.140,5.140
1,10:41,1,9,NYG 9,0,0,Timeout #1 by Arizona Cardinals,5.140,4.570
1,10:41,2,8,NYG 8,0,0,Drew Stanton pass complete short middle to Larry Fitzgerald for 7 yards (tackle by Jon Beason),4.570,5.170
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
1,10:34,3,1,NYG 1,6,0,"Jonathan Dwyer up the middle for 1 yard, touchdown",5.170,7.000
1,10:34,,,NYG 2,7,0,Chandler Catanzaro kicks extra point good,0.000,0.000
1,10:34,,,ARI 35,7,0,"Chandler Catanzaro kicks off 72 yards, returned by Quintin Demps for 29 yards (tackle by Kenny Demens)",0.000,-0.410
1,10:13,1,10,NYG 22,7,0,Rashad Jennings left guard for 3 yards (tackle by Calais Campbell),0.410,0.270
1,9:47,2,7,NYG 25,7,0,Eli Manning pass complete short right to Rueben Randle for 10 yards (tackle by Rashad Johnson),0.270,1.270
1,9:16,1,10,NYG 35,7,0,Eli Manning pass complete short middle to Jerrel Jernigan for 11 yards (tackle by Antonio Cromartie),1.270,1.990
1,8:45,1,10,NYG 46,7,0,Rashad Jennings left tackle for 3 yards (tackle by Kevin Minter and Larry Foote),1.990,1.860
1,8:14,2,7,NYG 49,7,0,Eli Manning pass complete short right to Rashad Jennings for 19 yards (tackle by Tony Jefferson),1.860,3.450
1,7:50,1,10,ARI 32,7,0,Eli Manning pass complete short middle to Andre Williams for 3 yards (tackle by Larry Foote),3.450,3.310
1,7:18,2,7,ARI 29,7,0,Andre Williams left guard for -1 yards (tackle by Calais Campbell and Larry Foote),3.310,2.480
1,6:46,3,8,ARI 30,7,0,Eli Manning pass incomplete short middle intended for Victor Cruz is intercepted by Sam Acho at ARI-26 and returned for 3 yards,2.480,-0.870
1,6:38,1,10,ARI 29,7,0,Drew Stanton sacked by Robert Ayers for -7 yards,0.870,-0.620
1,5:57,2,17,ARI 22,7,0,Drew Stanton pass complete short right to John Brown for 3 yards (tackle by Jon Beason and Antrel Rolle),-0.620,-0.890
1,5:11,3,14,ARI 25,7,0,Andre Ellington right end for 15 yards (tackle by Prince Amukamara and Antrel Rolle),-0.890,1.600
1,4:29,1,10,ARI 40,7,0,Jonathan Dwyer right end for 20 yards (tackle by Prince Amukamara),1.600,2.920
1,3:58,1,10,NYG 40,7,0,Jonathan Dwyer right tackle for 1 yard (tackle by Prince Amukamara and Antrel Rolle),2.920,2.510
1,3:20,2,9,NYG 39,7,0,Andre Ellington right tackle for -1 yards (tackle by Jason Pierre-Paul),2.510,1.680
1,2:37,3,10,NYG 40,7,0,"Drew Stanton pass incomplete short right intended for Andre Ellington. Penalty on Prince Amukamara: Illegal Contact, 5 yards (no play)",1.680,3.250
1,2:29,1,10,NYG 35,7,0,Drew Stanton pass incomplete deep left intended for Larry Fitzgerald (defended by Antrel Rolle),3.250,2.700
1,2:24,2,10,NYG 35,7,0,Jonathan Dwyer left guard for 4 yards (tackle by Damontre Moore),2.700,2.540
1,1:44,3,6,NYG 31,7,0,Drew Stanton pass incomplete short right intended for Larry Fitzgerald,2.540,2.540
1,1:36,3,6,NYG 31,7,0,Timeout #2 by Arizona Cardinals,2.540,1.340
