Quarter,Time,Tm,Detail,ARI,NYG
1.0,10:18,Cardinals,Jonathan Dwyer 1 yard rush (Chandler Catanzaro kick),7,0
,1:31,Cardinals,Chandler Catanzaro 49 yard field goal,10,0
2.0,0:37,Giants,Rueben Randle 7 yard pass from Eli Manning (Josh Brown kick),10,7
3.0,2:03,Giants,Daniel Fells 1 yard pass from Eli Manning (Josh Brown kick),10,14
4.0,11:38,Cardinals,Chandler Catanzaro 37 yard field goal,13,14
,10:10,Cardinals,Ted Ginn Jr. 71 yard punt return (run failed),19,14
,9:11,Cardinals,Chandler Catanzaro 32 yard field goal,22,14
,1:13,Cardinals,Chandler Catanzaro 33 yard field goal,25,14
