Unnamed: 0,ARI,NYG
First Downs,21,24
Rush-Yds-TDs,28-124-1,27-81-0
Cmp-Att-Yd-TD-INT,14-29-167-0-0,26-39-277-2-2
Sacked-Yards,4-25,2-17
Net Pass Yards,142,260
Total Yards,266,341
Fumbles-Lost,0-0,2-2
Turnovers,0,4
Penalties-Yards,7-71,9-70
Third Down Conv.,5-13,6-12
Fourth Down Conv.,0-0,0-1
Time of Possession,27:31,32:29
