Quarter,Time,Tm,Detail,TAM,ATL
1.0,9:53,Buccaneers,Leonard Fournette 3 yard pass from Tom Brady (Ryan Succop kick),7,0
,6:40,Falcons,Mike Davis 17 yard rush (Younghoe Koo kick),7,7
,4:23,Buccaneers,Cameron Brate 3 yard pass from Tom Brady (Ryan Succop kick failed),13,7
2.0,8:39,Falcons,Younghoe Koo 21 yard field goal,13,10
,4:54,Buccaneers,Rob Gronkowski 27 yard pass from Tom Brady (Ryan Succop kick),20,10
,0:22,Falcons,Marlon Davidson 3 yard interception return (Younghoe Koo kick),20,17
3.0,0:29,Buccaneers,Rob Gronkowski 11 yard pass from Tom Brady (Ryan Succop kick),27,17
4.0,1:49,Buccaneers,Ryan Succop 31 yard field goal,30,17
