Unnamed: 0,TAM,ATL
First Downs,25,21
Rush-Yds-TDs,17-57-0,23-121-1
Cmp-Att-Yd-TD-INT,38-51-368-4-1,30-41-297-0-0
Sacked-Yards,0-0,5-38
Net Pass Yards,368,259
Total Yards,425,380
Fumbles-Lost,0-0,5-1
Turnovers,1,1
Penalties-Yards,3-15,6-39
Third Down Conv.,8-13,9-17
Fourth Down Conv.,1-1,0-0
Time of Possession,27:14,32:46
