Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Younghoe Koo kicks off 65 yards, touchback.",,
1,15:00,1,10,TAM 25,0,0,Tom Brady pass complete short left to Leonard Fournette for 15 yards (tackle by Deion Jones),,
1,14:26,1,10,TAM 40,0,0,Tom Brady pass incomplete short middle intended for Chris Godwin,,
1,14:23,2,10,TAM 40,0,0,Tom Brady pass complete short middle to Chris Godwin for 5 yards (tackle by Foyesade Oluokun),,
1,13:50,3,5,TAM 45,0,0,Tom Brady pass complete short right to Chris Godwin for 11 yards (tackle by Duron Harmon),,
1,13:26,1,10,ATL 44,0,0,Tom Brady pass complete short right to Leonard Fournette for no gain (tackle by Foyesade Oluokun),,
1,12:58,2,10,ATL 44,0,0,Tom Brady pass incomplete deep middle intended for Rob Gronkowski,,
1,12:54,3,10,ATL 44,0,0,Tom Brady pass complete short left to Chris Godwin for 6 yards (tackle by AJ Terrell),,
1,12:08,4,4,ATL 38,0,0,Tom Brady pass complete short left to Leonard Fournette for 6 yards (tackle by Deion Jones),,
1,11:42,1,10,ATL 32,0,0,Tom Brady pass complete short left to Mike Evans for 3 yards (tackle by Fabian Moreau),,
1,11:17,2,7,ATL 29,0,0,Tom Brady pass complete short middle to Mike Evans for 15 yards (tackle by Fabian Moreau),,
1,10:53,1,10,ATL 14,0,0,Tom Brady pass complete short right to Chris Godwin for 7 yards (tackle by Foyesade Oluokun),,
1,10:23,2,3,ATL 7,0,0,Tom Brady pass complete short left to Chris Godwin for 4 yards (tackle by Duron Harmon),,
1,10:00,1,3,ATL 3,6,0,"Tom Brady pass complete short right to Leonard Fournette for 3 yards, touchdown",,
1,9:53,,,ATL 15,7,0,Ryan Succop kicks extra point good,,
1,9:53,,,TAM 35,7,0,"Bradley Pinion kicks off 65 yards, touchback.",,
1,9:53,1,10,ATL 25,7,0,Cordarrelle Patterson left end for 7 yards (tackle by Antoine Winfield and Andrew Adams),,
1,9:08,2,3,ATL 32,7,0,Matt Ryan pass complete short left to Kyle Pitts for no gain (tackle by Jamel Dean and Andrew Adams),,
1,8:39,3,3,ATL 32,7,0,Matt Ryan pass complete short middle to Olamide Zaccheaus for 6 yards (tackle by Lavonte David),,
1,8:06,1,10,ATL 38,7,0,Matt Ryan pass complete short right to Cordarrelle Patterson for 6 yards (tackle by Devin White),,
1,7:35,2,4,ATL 44,7,0,Cordarrelle Patterson left tackle for 39 yards (tackle by Shaquil Barrett and Carlton Davis),,
1,6:44,1,10,TAM 17,7,6,"Mike Davis left tackle for 17 yards, touchdown",,
1,6:40,,,TAM 15,7,7,Younghoe Koo kicks extra point good,,
1,6:40,,,ATL 35,7,7,"Younghoe Koo kicks off 65 yards, touchback.",,
1,6:40,1,10,TAM 25,7,7,Leonard Fournette right tackle for 3 yards (tackle by Deion Jones and Brandon Copeland),,
1,6:06,2,7,TAM 28,7,7,Tom Brady pass complete deep left to Chris Godwin for 25 yards (tackle by Richie Grant),,
1,5:29,1,10,ATL 47,7,7,Tom Brady pass incomplete short left intended for Mike Evans,,
1,5:26,2,10,ATL 47,7,7,Tom Brady pass complete deep right to Mike Evans for 36 yards,,
1,5:14,1,10,ATL 11,7,7,Leonard Fournette right guard for 4 yards (tackle by Foyesade Oluokun and Grady Jarrett),,
1,4:34,2,6,ATL 7,7,7,"Tom Brady pass incomplete short right intended for Rob Gronkowski. Penalty on Duron Harmon: Defensive Holding, 4 yards (accepted) (no play)",,
1,4:30,1,3,ATL 3,13,7,"Tom Brady pass complete short right to Cameron Brate for 3 yards, touchdown",,
1,4:23,,,ATL 15,13,7,Ryan Succop kicks extra point no good,,
1,4:23,,,TAM 35,13,7,"Bradley Pinion kicks off 65 yards, touchback.",,
1,4:23,1,10,ATL 25,13,7,Matt Ryan pass complete short middle to Kyle Pitts for 12 yards (tackle by Devin White),,
1,3:44,1,10,ATL 37,13,7,Cordarrelle Patterson right end for 6 yards (tackle by Devin White and William Gholston),,
1,3:01,2,4,ATL 43,13,7,Matt Ryan pass incomplete deep right intended for Tajae Sharpe,,
1,2:57,3,4,ATL 43,13,7,Matt Ryan sacked by Ndamukong Suh for -5 yards,,
1,2:13,4,9,ATL 38,13,7,"Thomas Morstead punts 43 yards, returned by Giovani Bernard for 1 yard (tackle by Olamide Zaccheaus)",,
1,2:05,1,10,TAM 20,13,7,Ronald Jones up the middle for 2 yards (tackle by Deion Jones),,
1,1:39,2,8,TAM 22,13,7,Tom Brady pass complete short left to Ronald Jones for no gain (tackle by Richie Grant),,
1,0:55,3,8,TAM 22,13,7,Tom Brady pass incomplete short middle intended for Rob Gronkowski,,
1,0:51,4,8,TAM 22,13,7,"Bradley Pinion punts 60 yards, returned by Avery Williams for 7 yards. Avery Williams fumbles (forced by Grant Stuard), recovered by Avery Williams at ATL-25 (tackle by Grant Stuard)",,
1,0:39,1,10,ATL 25,13,7,Cordarrelle Patterson left guard for 5 yards (tackle by William Gholston and Ndamukong Suh),,
Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,ATL 30,13,7,Matt Ryan pass incomplete deep left intended for Kyle Pitts (defended by Carlton Davis),,
2,14:55,3,5,ATL 30,13,7,"Penalty on Jake Matthews: False Start, 5 yards (accepted) (no play)",,
2,14:55,3,10,ATL 25,13,7,Matt Ryan pass complete deep left to Russell Gage for 19 yards (tackle by Lavonte David),,
2,14:23,1,10,ATL 44,13,7,Mike Davis left end for 1 yard (tackle by Joe Tryon-Shoyinka and William Gholston),,
2,13:43,2,9,ATL 45,13,7,Matt Ryan pass incomplete deep left intended for Cordarrelle Patterson,,
2,13:38,3,9,ATL 45,13,7,Matt Ryan pass complete short right to Kyle Pitts for 29 yards (tackle by Ross Cockrell),,
2,12:59,1,10,TAM 26,13,7,Matt Ryan pass complete short right to Kyle Pitts for 7 yards (tackle by Carlton Davis),,
2,12:18,2,3,TAM 19,13,7,Cordarrelle Patterson right tackle for 5 yards (tackle by Cam Gill),,
2,11:38,1,10,TAM 14,13,7,Matt Ryan sacked by Cam Gill for -8 yards,,
2,10:59,2,18,TAM 22,13,7,Mike Davis right guard for 11 yards (tackle by Antoine Winfield and Ross Cockrell),,
2,10:14,,,,,,Timeout #1 by Atlanta Falcons,,
2,10:14,3,7,TAM 11,13,7,Matt Ryan pass complete short left to Russell Gage for 10 yards (tackle by Ross Cockrell),,
2,9:37,1,1,TAM 1,13,7,Matt Ryan pass incomplete short right. Penalty on Anthony Nelson: Roughing the Passer (accepted) (no play),,
2,9:33,1,1,TAM 1,13,7,Matt Ryan pass incomplete short right intended for Tajae Sharpe,,
2,9:27,2,1,TAM 1,13,7,"Matt Ryan aborted snap, recovered by Matt Ryan at TB-3 and returned for -2 yards",,
2,8:45,3,3,TAM 3,13,7,Matt Ryan pass incomplete short left intended for Cordarrelle Patterson (defended by Jamel Dean),,
2,8:41,4,3,TAM 3,13,10,Younghoe Koo 21 yard field goal good,,
2,8:39,,,ATL 35,13,10,"Younghoe Koo kicks off 65 yards, touchback.",,
2,8:39,1,10,TAM 25,13,10,Leonard Fournette right tackle for 2 yards (tackle by Dante Fowler and Brandon Copeland),,
2,8:10,2,8,TAM 27,13,10,Tom Brady pass incomplete short middle intended for Rob Gronkowski,,
2,8:07,3,8,TAM 27,13,10,Tom Brady pass complete short left to Mike Evans for 15 yards (tackle by Fabian Moreau),,
2,7:33,1,10,TAM 42,13,10,Tom Brady pass complete short right to Chris Godwin for 6 yards (tackle by Grady Jarrett and Deion Jones),,
2,7:02,2,4,TAM 48,13,10,"Leonard Fournette left tackle for no gain. Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) (no play)",,
2,6:43,2,14,TAM 38,13,10,Tom Brady pass complete short left to Chris Godwin for 17 yards (tackle by Darren Hall),,
2,6:16,1,10,ATL 45,13,10,Tom Brady pass complete short left to Leonard Fournette for 12 yards (tackle by Deion Jones),,
2,5:46,1,10,ATL 33,13,10,Leonard Fournette left tackle for 6 yards (tackle by Brandon Copeland and Foyesade Oluokun),,
2,5:05,2,4,ATL 27,13,10,Tom Brady pass incomplete short right intended for Breshad Perriman (defended by AJ Terrell),,
2,5:01,3,4,ATL 27,19,10,"Tom Brady pass complete short middle to Rob Gronkowski for 27 yards, touchdown",,
2,4:54,,,ATL 15,20,10,Ryan Succop kicks extra point good,,
2,4:54,,,TAM 35,20,10,"Bradley Pinion kicks off 65 yards, touchback.",,
2,4:54,1,10,ATL 25,20,10,Matt Ryan sacked by Vita Vea for -8 yards,,
