Unnamed: 0,MIN,SFO
First Downs,7,21
Rush-Yds-TDs,10-21-0,47-186-2
Cmp-Att-Yd-TD-INT,21-29-172-1-1,11-19-131-1-1
Sacked-Yards,6-46,2-9
Net Pass Yards,126,122
Total Yards,147,308
Fumbles-Lost,4-1,1-1
Turnovers,2,2
Penalties-Yards,1-15,5-38
Third Down Conv.,2-12,5-12
Fourth Down Conv.,0-2,0-1
Time of Possession,21:33,38:27
