Quarter,Time,Tm,Detail,MIN,SFO
1.0,9:30,49ers,Kendrick Bourne 3 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,7
,5:23,Vikings,Stefon Diggs 41 yard pass from Kirk Cousins (Dan Bailey kick),7,7
2.0,7:10,49ers,Tevin Coleman 1 yard rush (Robbie Gould kick),7,14
,0:31,Vikings,Dan Bailey 39 yard field goal,10,14
3.0,10:42,49ers,Robbie Gould 35 yard field goal,10,17
,4:54,49ers,Tevin Coleman 2 yard rush (Robbie Gould kick),10,24
4.0,14:13,49ers,Robbie Gould 21 yard field goal,10,27
