Quarter,Time,Down,ToGo,Location,MIN,SFO,Detail,EPB,EPA
1,6:51,1,10,SFO 49,0,7,Kirk Cousins pass complete short middle to Dalvin Cook for 4 yards (tackle by Fred Warner),2.320,2.320
1,6:11,2,6,SFO 45,0,7,Dalvin Cook right tackle for 4 yards (tackle by K'Waun Williams and Dre Greenlaw),2.320,2.150
1,5:30,3,2,SFO 41,6,7,"Kirk Cousins pass complete deep left to Stefon Diggs for 41 yards, touchdown",2.150,7.000
1,5:23,,,SFO 15,7,7,Dan Bailey kicks extra point good,0.000,0.000
1,5:23,,,MIN 35,7,7,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,5:23,1,10,SFO 25,7,7,Raheem Mostert left end for 6 yards (tackle by Eric Wilson),0.610,0.870
1,4:44,2,4,SFO 31,7,7,Raheem Mostert right tackle for 4 yards (tackle by Linval Joseph and Danielle Hunter),0.870,1.270
1,4:05,1,10,SFO 35,7,7,Raheem Mostert right tackle for 3 yards (tackle by Anthony Barr),1.270,1.130
1,3:29,2,7,SFO 38,7,7,Raheem Mostert up the middle for 10 yards (tackle by Harrison Smith),1.130,2.130
1,2:55,1,10,SFO 48,7,7,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,2.130,1.580
1,2:51,2,10,SFO 48,7,7,Matt Breida right end for no gain (tackle by Danielle Hunter and Andrew Sendejo),1.580,0.890
1,2:07,3,10,SFO 48,7,7,Jimmy Garoppolo pass complete deep right to Kendrick Bourne for 16 yards (tackle by Andrew Sendejo),0.890,3.180
1,1:18,,,,,,Timeout #1 by San Francisco 49ers,,
1,1:18,1,10,MIN 36,7,7,Jimmy Garoppolo sacked by Danielle Hunter for -9 yards,3.180,1.420
1,0:34,2,19,MIN 45,7,7,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by Eric Kendricks),1.420,0.760
1,0:30,3,19,MIN 45,7,7,"Penalty on Mike McGlinchey: False Start, 5 yards (no play)",0.760,0.100
1,0:30,3,24,SFO 50,7,7,Jimmy Garoppolo sacked by Stephen Weatherly for no gain,0.100,-0.060
Quarter,Time,Down,ToGo,Location,MIN,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,24,SFO 50,7,7,"Mitch Wishnowsky punts 38 yards, muffed catch by Marcus Sherels, recovered by Marcus Sherels at MIN-12, returned by Marcus Sherels for no gain (tackle by Tarvarius Moore)",-0.060,0.350
2,14:52,1,10,MIN 12,7,7,Kirk Cousins sacked by Arik Armstead for -8 yards,-0.350,-1.360
2,14:13,2,18,MIN 4,7,7,Alexander Mattison up the middle for 3 yards (tackle by Solomon Thomas),-1.360,-2.010
2,13:30,3,15,MIN 7,7,7,Dalvin Cook left end for 3 yards (tackle by Emmanuel Moseley),-2.010,-2.490
2,12:57,4,12,MIN 10,7,7,"Britton Colquitt punts 61 yards, returned by Richie James for 18 yards (tackle by Stephen Weatherly)",-2.490,-2.060
2,12:45,1,10,SFO 47,7,7,Jimmy Garoppolo pass incomplete short right intended for Kendrick Bourne (defended by Trae Waynes),2.060,1.520
2,12:39,2,10,SFO 47,7,7,Raheem Mostert up the middle for 3 yards (tackle by Everson Griffen and Eric Kendricks),1.520,1.220
2,12:03,3,7,SFO 50,7,7,"Penalty on Deebo Samuel: False Start, 5 yards (no play)",1.220,0.560
2,11:39,3,12,SFO 45,7,7,Jimmy Garoppolo pass complete short left to Deebo Samuel for 14 yards (tackle by Anthony Barr and Xavier Rhodes),0.560,2.850
2,10:49,1,10,MIN 41,7,7,Deebo Samuel left end for 6 yards (tackle by Xavier Rhodes),2.850,3.120
2,10:33,2,4,MIN 35,7,7,Tevin Coleman right end for 5 yards (tackle by Linval Joseph),3.120,3.580
2,9:51,1,10,MIN 30,7,7,Tevin Coleman left end for 7 yards (tackle by Anthony Harris),3.580,3.980
2,9:05,2,3,MIN 23,7,7,Tevin Coleman up the middle for 4 yards (tackle by Everson Griffen),3.980,4.310
2,8:19,1,10,MIN 19,7,7,Jimmy Garoppolo pass complete short left to Deebo Samuel for 18 yards (tackle by Xavier Rhodes and Harrison Smith),4.310,6.970
2,7:51,1,1,MIN 1,7,7,Jimmy Garoppolo up the middle for no gain (tackle by Eric Kendricks),6.970,5.910
2,7:13,2,1,MIN 1,7,13,"Tevin Coleman left tackle for 1 yard, touchdown",5.910,7.000
2,7:10,,,MIN 15,7,14,Robbie Gould kicks extra point good,0.000,0.000
2,7:10,,,SFO 35,7,14,"Mitch Wishnowsky kicks off 61 yards, returned by Ameer Abdullah for 39 yards (tackle by Jimmie Ward)",0.000,1.800
2,7:02,1,10,MIN 43,7,14,Dalvin Cook right tackle for no gain (tackle by Nick Bosa),1.800,1.250
2,6:29,2,10,MIN 43,7,14,Kirk Cousins pass complete short middle to Dalvin Cook for 1 yard (tackle by Jaquiski Tartt),1.250,0.690
2,5:44,3,9,MIN 44,7,14,Kirk Cousins pass complete short middle to Kyle Rudolph for 3 yards (tackle by Emmanuel Moseley),0.690,-0.260
2,4:54,4,6,MIN 47,7,14,"Britton Colquitt punts 45 yards, returned by Richie James for no gain (tackle by Kris Boyd)",-0.260,0.380
2,4:45,1,10,SFO 8,7,14,Tevin Coleman up the middle for 1 yard (tackle by Anthony Barr),-0.380,-0.710
2,4:06,2,9,SFO 9,7,14,Raheem Mostert right end for 8 yards (tackle by Danielle Hunter),-0.710,-0.370
2,3:29,3,1,SFO 17,7,14,Jimmy Garoppolo up the middle for 2 yards (tackle by Eric Kendricks and Linval Joseph),-0.370,0.150
2,2:49,1,10,SFO 19,7,14,Jimmy Garoppolo pass short right intended for Deebo Samuel is intercepted by Eric Kendricks at SF-33 and returned for 4 yards,0.150,-3.640
2,2:41,1,10,SFO 29,7,14,Kirk Cousins pass complete short right to Dalvin Cook for 4 yards (tackle by Sheldon Day),3.640,3.640
2,2:00,2,6,SFO 25,7,14,Kirk Cousins pass complete short left to Adam Thielen for 9 yards (tackle by Richard Sherman),3.640,4.510
2,1:26,1,10,SFO 16,7,14,Kirk Cousins pass complete short left to Dalvin Cook for -1 yards (tackle by Sheldon Day),4.510,3.770
2,0:47,2,11,SFO 17,7,14,Kirk Cousins pass incomplete short left intended for Stefon Diggs,3.770,3.020
2,0:44,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:44,3,11,SFO 17,7,14,Kirk Cousins sacked by Dee Ford for -4 yards,3.020,2.060
2,0:36,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:36,4,15,SFO 21,10,14,Dan Bailey 39 yard field goal good,2.060,3.000
2,0:31,,,MIN 35,10,14,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,0:31,1,10,SFO 25,10,14,Jimmy Garoppolo kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,MIN,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,10,14,"Dan Bailey kicks off 65 yards, returned by Richie James for 22 yards (tackle by Mike Boone). Penalty on Holton Hill: Unnecessary Roughness, 15 yards",0.000,1.400
3,14:56,1,10,SFO 37,10,14,Raheem Mostert up the middle for 5 yards (tackle by Linval Joseph),1.400,1.530
3,14:36,2,5,SFO 42,10,14,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel (defended by Xavier Rhodes),1.530,0.830
3,14:32,3,5,SFO 42,10,14,Jimmy Garoppolo pass complete deep middle to Kendrick Bourne for 21 yards (tackle by Xavier Rhodes),0.830,3.120
3,13:42,1,10,MIN 37,10,14,Tevin Coleman left guard for 5 yards (tackle by Anthony Barr),3.120,3.250
3,13:04,2,5,MIN 32,10,14,Tevin Coleman right tackle for 7 yards (tackle by Linval Joseph),3.250,3.910
3,12:18,1,10,MIN 25,10,14,Tevin Coleman left tackle for 6 yards (tackle by Anthony Harris),3.910,4.200
3,11:36,2,4,MIN 19,10,14,Raheem Mostert up the middle for 2 yards (tackle by Everson Griffen and Jaleel Johnson),4.200,3.850
3,10:54,3,2,MIN 17,10,14,Jimmy Garoppolo pass incomplete short right,3.850,2.440
3,10:47,4,2,MIN 17,10,17,Robbie Gould 35 yard field goal good,2.440,3.000
3,10:42,,,SFO 35,10,17,"Mitch Wishnowsky kicks off 63 yards, returned by Ameer Abdullah for 31 yards (tackle by Elijah Lee)",0.000,1.140
3,10:35,1,10,MIN 33,10,17,Dalvin Cook up the middle for 1 yard (tackle by Nick Bosa),1.140,0.730
3,10:01,2,9,MIN 34,10,17,Kirk Cousins pass incomplete short right intended for Dalvin Cook (defended by Nick Bosa),0.730,0.040
3,9:56,3,9,MIN 34,10,17,"Kirk Cousins pass short right intended for Adam Thielen is intercepted by Richard Sherman at MIN-42 and returned for 13 yards. Penalty on Nick Bosa: Unnecessary Roughness, 15 yards",0.040,-2.650
3,9:49,1,10,MIN 44,10,17,Tevin Coleman up the middle for 4 yards (tackle by Harrison Smith and Eric Wilson),2.650,2.650
3,9:09,2,6,MIN 40,10,17,Tevin Coleman up the middle for 6 yards (tackle by Danielle Hunter and Anthony Harris),2.650,3.310
3,8:27,1,10,MIN 34,10,17,Tevin Coleman right tackle for 6 yards (tackle by Eric Wilson and Linval Joseph),3.310,3.580
3,7:47,2,4,MIN 28,10,17,Raheem Mostert up the middle for 7 yards (tackle by Eric Wilson),3.580,4.170
3,7:03,1,10,MIN 21,10,17,Raheem Mostert right tackle for 4 yards (tackle by Eric Wilson),4.170,4.200
3,6:21,2,6,MIN 17,10,17,Raheem Mostert left tackle for 4 yards (tackle by Eric Wilson),4.200,4.240
3,5:39,3,2,MIN 13,10,17,Tevin Coleman up the middle for 11 yards (tackle by Anthony Harris),4.240,6.740
3,4:57,1,2,MIN 2,10,23,"Tevin Coleman right guard for 2 yards, touchdown",6.740,7.000
3,4:54,,,MIN 15,10,24,Robbie Gould kicks extra point good,0.000,0.000
3,4:54,,,SFO 35,10,24,"Mitch Wishnowsky kicks off 66 yards, returned by Ameer Abdullah for 29 yards (tackle by Mark Nzeocha)",0.000,0.810
3,4:49,1,10,MIN 28,10,24,Kirk Cousins pass complete short left to Adam Thielen for 5 yards (tackle by Emmanuel Moseley),0.810,0.940
3,4:23,2,5,MIN 33,10,24,Kirk Cousins pass complete short middle to Kyle Rudolph for 1 yard (tackle by Fred Warner),0.940,0.370
3,3:44,3,4,MIN 34,10,24,Kirk Cousins pass incomplete deep left intended for Kyle Rudolph (defended by Emmanuel Moseley),0.370,-1.110
3,3:37,4,4,MIN 34,10,24,Britton Colquitt punts 49 yards downed by Ameer Abdullah,-1.110,0.060
3,3:26,1,10,SFO 17,10,24,Tevin Coleman left guard for 6 yards (tackle by Eric Wilson),-0.060,0.350
3,2:49,2,4,SFO 23,10,24,Tevin Coleman right guard for 3 yards (tackle by Eric Kendricks),0.350,-0.120
3,2:05,3,1,SFO 26,10,24,Tevin Coleman up the middle for no gain (tackle by Ifeadi Odenigbo),-0.120,-1.630
3,1:14,4,1,SFO 26,10,24,"Mitch Wishnowsky punts 56 yards, muffed catch by Marcus Sherels, recovered by Raheem Mostert at MIN-10 (tackle by Marcus Sherels)",-1.630,4.910
3,1:05,1,10,MIN 10,10,24,Raheem Mostert left guard for 2 yards (tackle by Eric Kendricks),4.910,4.570
3,0:29,2,8,MIN 8,10,24,Jimmy Garoppolo pass complete short right to George Kittle for 4 yards (tackle by Eric Wilson),4.570,4.490
Quarter,Time,Down,ToGo,Location,MIN,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,MIN 4,10,24,Jimmy Garoppolo pass complete short middle to George Kittle for 1 yard (tackle by Harrison Smith),4.490,3.040
4,14:17,4,3,MIN 3,10,27,Robbie Gould 21 yard field goal good,3.040,3.000
4,14:13,,,SFO 35,10,27,"Mitch Wishnowsky kicks off 61 yards, returned by Ameer Abdullah for 30 yards (tackle by Tarvarius Moore)",0.000,1.200
4,14:07,1,10,MIN 34,10,27,Kirk Cousins pass incomplete short right intended for Adam Thielen,1.200,0.660
4,14:03,2,10,MIN 34,10,27,Kirk Cousins pass complete short middle to Garrett Bradbury for 2 yards (tackle by Anthony Zettel),0.660,0.230
4,13:21,3,8,MIN 36,10,27,Kirk Cousins sacked by Nick Bosa for -7 yards,0.230,-1.440
4,12:50,4,15,MIN 29,10,27,"Britton Colquitt punts 57 yards, fair catch by Richie James at SF-14",-1.440,0.280
4,12:42,1,10,SFO 14,10,27,Tevin Coleman left tackle for 2 yards (tackle by Anthony Barr and Eric Kendricks),-0.280,-0.510
4,11:55,2,8,SFO 16,10,27,Tevin Coleman up the middle for 4 yards (tackle by Eric Kendricks and Harrison Smith),-0.510,-0.680
4,11:11,3,4,SFO 20,10,27,Jimmy Garoppolo pass incomplete short right intended for Kendrick Bourne,-0.680,-2.030
4,11:08,4,4,SFO 20,10,27,"Mitch Wishnowsky punts 36 yards, fair catch by Marcus Sherels at MIN-44",-2.030,-1.860
4,11:00,1,10,MIN 44,10,27,Dalvin Cook left tackle for 6 yards (tackle by Dre Greenlaw),1.860,2.130
4,10:37,2,4,MIN 50,10,27,"Kirk Cousins pass complete short right to Dalvin Cook for -2 yards (tackle by Dre Greenlaw). Dalvin Cook fumbles (forced by Dre Greenlaw), recovered by Dalvin Cook at MIN-48",2.130,1.160
4,9:52,3,6,MIN 48,10,27,"Kirk Cousins sacked by DeForest Buckner for -8 yards. Kirk Cousins fumbles (forced by DeForest Buckner), recovered by Kirk Cousins at MIN-40",1.160,-0.720
4,9:06,4,14,MIN 40,10,27,"Britton Colquitt punts 39 yards, fair catch by Richie James at SF-21",-0.720,-0.340
4,8:59,1,10,SFO 21,10,27,Tevin Coleman up the middle for 8 yards (tackle by Harrison Smith),0.340,0.880
4,8:13,2,2,SFO 29,10,27,Tevin Coleman right end for 11 yards (tackle by Anthony Harris),0.880,1.600
4,7:25,1,10,SFO 40,10,27,Tevin Coleman up the middle for 4 yards (tackle by Linval Joseph),1.600,1.590
4,6:39,2,6,SFO 44,10,27,Matt Breida right end for no gain (tackle by Eric Kendricks),1.590,0.890
4,5:51,3,6,SFO 44,10,27,Matt Breida up the middle for 5 yards (tackle by Anthony Barr),0.890,-0.130
4,5:04,4,1,SFO 49,10,27,"Penalty on Jimmy Garoppolo: Delay of Game, 5 yards (no play)",-0.130,-0.460
4,4:41,4,6,SFO 44,10,27,"Mitch Wishnowsky punts 56 yards, touchback.",-0.460,-0.280
4,4:32,1,10,MIN 20,10,27,Kirk Cousins pass complete short left to Stefon Diggs for 16 yards (tackle by Nick Bosa),0.280,1.330
4,4:09,1,10,MIN 36,10,27,Kirk Cousins pass incomplete short middle intended for Dalvin Cook,1.330,0.790
4,4:05,2,10,MIN 36,10,27,Kirk Cousins pass complete short left to Irv Smith Jr. for 15 yards (tackle by Emmanuel Moseley),0.790,2.320
4,3:43,1,10,SFO 49,10,27,Kirk Cousins pass complete short middle to Dalvin Cook for 2 yards (tackle by Fred Warner),2.320,2.050
4,3:21,2,8,SFO 47,10,27,Kirk Cousins pass complete short left to Adam Thielen for 7 yards (tackle by Emmanuel Moseley),2.050,2.280
4,2:53,3,1,SFO 40,10,27,Dalvin Cook left tackle for no gain (tackle by Nick Bosa and Fred Warner),2.280,0.590
4,2:35,,,,,,Timeout #1 by San Francisco 49ers,,
4,2:35,4,1,SFO 40,10,27,Kirk Cousins pass incomplete deep left intended for Stefon Diggs (defended by Emmanuel Moseley),0.590,-1.600
4,2:29,1,10,SFO 40,10,27,Matt Breida up the middle for 6 yards (tackle by Shamar Stephen),1.600,1.860
4,2:00,2,4,SFO 46,10,27,Matt Breida right end for 2 yards (tackle by Shamar Stephen),1.860,1.420
4,1:54,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:54,3,2,SFO 48,10,27,Matt Breida up the middle for 1 yard (tackle by Xavier Rhodes and Eric Wilson),1.420,-0.130
4,1:49,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:49,4,1,SFO 49,10,27,"Matt Breida up the middle for 1 yard (tackle by Anthony Barr). Matt Breida fumbles (forced by Anthony Barr), recovered by Anthony Barr at SF-49 (tackle by Matt Breida)",-0.130,-2.260
4,1:45,1,10,MIN 50,10,27,Kirk Cousins pass complete short left to Adam Thielen for 17 yards (tackle by Ahkello Witherspoon),2.260,3.380
4,1:22,1,10,SFO 33,10,27,Kirk Cousins sacked by Solomon Thomas for -11 yards,3.380,1.350
4,1:18,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:18,2,21,SFO 44,10,27,Kirk Cousins sacked by Nick Bosa for -8 yards,1.350,-0.360
4,0:49,3,29,MIN 48,10,27,Kirk Cousins pass complete short right to Ameer Abdullah for 7 yards (tackle by Fred Warner and K'Waun Williams),-0.360,0.270
4,0:26,4,22,SFO 45,10,27,Kirk Cousins pass complete deep middle to Irv Smith Jr. for 21 yards (tackle by Jimmie Ward),0.270,-0.540
4,0:16,1,10,SFO 24,10,27,Jimmy Garoppolo kneels for -1 yards,0.540,-0.140
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
