Quarter,Time,Tm,Detail,SEA,PHI
1.0,3:37,Eagles,Jeremy Maclin 1 yard pass from Mark Sanchez (Cody Parkey kick),0,7
2.0,14:17,Seahawks,Russell Wilson 26 yard rush (Stephen Hauschka kick),7,7
,0:02,Seahawks,Stephen Hauschka 44 yard field goal,10,7
3.0,14:03,Seahawks,Marshawn Lynch 15 yard pass from Russell Wilson (Stephen Hauschka kick),17,7
,12:09,Eagles,Zach Ertz 35 yard pass from Mark Sanchez (Cody Parkey kick),17,14
,9:01,Seahawks,Doug Baldwin 23 yard pass from Russell Wilson (Stephen Hauschka kick),24,14
