Unnamed: 0,SEA,PHI
First Downs,28,9
Rush-Yds-TDs,46-188-1,22-57-0
Cmp-Att-Yd-TD-INT,22-37-263-2-0,10-20-96-2-1
Sacked-Yards,2-11,3-14
Net Pass Yards,252,82
Total Yards,440,139
Fumbles-Lost,2-2,2-1
Turnovers,2,2
Penalties-Yards,8-67,4-69
Third Down Conv.,7-16,2-11
Fourth Down Conv.,0-1,1-1
Time of Possession,41:56,18:04
