Quarter,Time,Tm,Detail,DEN,SDG
1.0,8:59,Chargers,Nick Novak 32 yard field goal,0,3
,8:16,Chargers,Antonio Gates 15 yard pass from Philip Rivers (Nick Novak kick),0,10
2.0,6:00,Chargers,Quentin Jammer 80 yard interception return (Nick Novak kick),0,17
,0:24,Chargers,Antonio Gates 11 yard pass from Philip Rivers (Nick Novak kick),0,24
3.0,10:56,Broncos,Demaryius Thomas 29 yard pass from Peyton Manning (Matt Prater kick),7,24
,4:41,Broncos,Tony Carter 65 yard defensive fumble return (Matt Prater kick),14,24
4.0,13:33,Broncos,Eric Decker 7 yard pass from Peyton Manning (Matt Prater kick),21,24
,9:03,Broncos,Brandon Stokley 21 yard pass from Peyton Manning (Matt Prater kick),28,24
,2:05,Broncos,Chris Harris Jr. 46 yard interception return (Matt Prater kick),35,24
