Quarter,Time,Down,ToGo,Location,DEN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Matt Prater kicks off 73 yards, returned by Richard Goodman for 38 yards (tackle by Tony Carter)",0.000,0.940
1,14:52,1,10,SDG 30,0,0,"Ryan Mathews right guard for 1 yard (tackle by Keith Brooking and Kevin Vickerson). Penalty on Von Miller: Illegal Use of Hands, 5 yards",0.940,1.330
1,14:29,1,10,SDG 36,0,0,Philip Rivers pass incomplete deep middle intended for Robert Meachem,1.330,0.790
1,14:25,2,10,SDG 36,0,0,Ryan Mathews left end for -1 yards (tackle by Champ Bailey),0.790,-0.030
1,13:43,3,11,SDG 35,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates,-0.030,-1.040
1,13:38,4,11,SDG 35,0,0,Mike Scifres punts 51 yards,-1.040,0.280
1,13:26,1,10,DEN 14,0,0,Willis McGahee left tackle for 1 yard (tackle by Aubrayo Franklin and Takeo Spikes),-0.280,-0.640
1,12:54,2,9,DEN 15,0,0,Peyton Manning pass complete short right to Demaryius Thomas for 8 yards (tackle by Eric Weddle and Quentin Jammer),-0.640,-0.320
1,12:21,3,1,DEN 23,0,0,Willis McGahee left tackle for -1 yards (tackle by Shaun Phillips),-0.320,-1.900
1,11:41,4,2,DEN 22,0,0,"Britton Colquitt punts 56 yards, returned by Eddie Royal for 6 yards (tackle by Wesley Woodyard)",-1.900,-0.810
1,11:28,1,10,SDG 28,0,0,Philip Rivers pass complete short right to Robert Meachem for 9 yards (tackle by Chris Harris),0.810,1.480
1,10:55,2,1,SDG 37,0,0,Ryan Mathews left end for -1 yards (tackle by Elvis Dumervil),1.480,0.630
1,10:11,3,2,SDG 36,0,0,Philip Rivers pass incomplete short left intended for Eddie Royal,0.630,-0.980
1,10:06,4,2,SDG 36,0,0,"Mike Scifres punts 47 yards, muffed catch by Trindon Holliday, recovered by Dante Rosario and returned for no gain",-0.980,4.440
1,9:55,1,10,DEN 17,0,0,Ryan Mathews right end for 4 yards (tackle by Wesley Woodyard and Nate Irving),4.440,4.500
1,9:13,2,6,DEN 13,0,0,Philip Rivers pass incomplete short left intended for Antonio Gates,4.500,3.680
1,9:07,3,6,DEN 13,0,0,Philip Rivers pass incomplete short left intended for Ronnie Brown,3.680,2.590
1,9:03,4,6,DEN 13,0,3,Nick Novak 32 yard field goal good,2.590,3.000
1,8:59,,,SDG 35,0,3,"Nick Novak kicks off 50 yards, returned by Omar Bolden for 4 yards (tackle by Darrell Stuckey). Omar Bolden fumbles (forced by Darrell Stuckey), recovered by Corey Lynch at DEN-19 (tackle by Rahim Moore)",0.000,-4.310
1,8:56,1,10,DEN 19,0,3,Ryan Mathews up the middle for 4 yards (tackle by Elvis Dumervil),4.310,4.350
1,8:23,2,6,DEN 15,0,9,"Philip Rivers pass complete short left to Antonio Gates for 15 yards, touchdown",4.350,7.000
1,8:23,,,DEN 2,0,10,"Nick Novak kicks extra point good. Penalty on Jeromey Clary: Face Mask (15 Yards), 15 yards",0.000,0.000
1,8:16,,,SDG 20,0,10,"Nick Novak kicks off 71 yards, returned by Omar Bolden for 20 yards (tackle by Atari Bigby). Penalty on Chris Gronkowski: Offensive Holding, 10 yards",0.000,0.150
1,8:09,1,10,DEN 19,0,10,Willis McGahee left tackle for 5 yards (tackle by Atari Bigby and Antoine Cason),0.150,0.340
1,7:43,2,5,DEN 24,0,10,Peyton Manning pass complete short right to Eric Decker for 6 yards (tackle by Marcus Gilchrist),0.340,0.940
1,7:28,1,10,DEN 30,0,10,Willis McGahee up the middle for -3 yards (tackle by Eric Weddle and Donald Butler),0.940,-0.010
1,7:00,2,13,DEN 27,0,10,Peyton Manning pass complete short left to Joel Dreessen for 3 yards (tackle by Jarret Johnson),-0.010,-0.300
1,6:36,3,10,DEN 30,0,10,Peyton Manning pass incomplete short right intended for Eric Decker,-0.300,-1.370
1,6:32,4,10,DEN 30,0,10,"Britton Colquitt punts 48 yards, returned by Eddie Royal for 1 yard (tackle by Matt Willis)",-1.370,-0.480
1,6:22,1,10,SDG 23,0,10,Ryan Mathews right tackle for 7 yards (tackle by Justin Bannan and Keith Brooking),0.480,0.880
1,5:48,2,3,SDG 30,0,10,Ryan Mathews left guard for no gain (tackle by Justin Bannan and Kevin Vickerson),0.880,0.170
1,5:06,3,3,SDG 30,0,10,"Penalty on Philip Rivers: False Start, 5 yards (no play)",0.170,-0.490
1,4:40,3,8,SDG 25,0,10,Philip Rivers pass complete deep middle to Malcom Floyd for 25 yards (tackle by Jim Leonhard),-0.490,2.260
1,3:58,1,10,,0,10,Philip Rivers pass complete deep right to Antonio Gates for 23 yards (tackle by Mike Adams),2.260,3.780
1,3:12,1,10,DEN 27,0,10,"Ryan Mathews left tackle for no gain (tackle by Champ Bailey). Penalty on Mike Harris: Offensive Holding, 10 yards (no play)",3.780,3.120
1,2:40,1,20,DEN 37,0,10,Philip Rivers pass complete short right to Ryan Mathews for 9 yards (tackle by Champ Bailey),3.120,3.100
1,1:57,2,11,DEN 28,0,10,Ryan Mathews up the middle for no gain (tackle by Danny Trevathan),3.100,2.410
1,1:13,3,11,DEN 28,0,10,"Penalty on Randy McMichael: False Start, 5 yards (no play)",2.410,1.750
1,0:50,3,16,DEN 33,0,10,"Philip Rivers pass complete short right to Eddie Royal for 13 yards (tackle by Jim Leonhard). Penalty on Antonio Gates: Offensive Pass Interference, 9 yards (no play)",1.750,0.560
1,0:21,3,25,DEN 42,0,10,Philip Rivers pass complete short right to Ronnie Brown for 6 yards (tackle by Wesley Woodyard),0.560,0.880
Quarter,Time,Down,ToGo,Location,DEN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,19,DEN 36,0,10,Mike Scifres punts 33 yards,0.880,0.380
2,14:50,1,10,DEN 3,0,10,Peyton Manning pass complete short left to Joel Dreessen for 5 yards (tackle by Demorrio Williams),-0.380,-0.420
2,14:27,2,5,DEN 8,0,10,Peyton Manning pass complete short left to Willis McGahee for 1 yard (tackle by Eric Weddle),-0.420,-0.720
2,13:51,3,4,DEN 9,0,10,Peyton Manning pass complete short left to Willis McGahee for 31 yards (tackle by Atari Bigby),-0.720,1.600
2,13:19,1,10,DEN 40,0,10,Peyton Manning pass complete short right to Brandon Stokley for 12 yards (tackle by Takeo Spikes and Atari Bigby),1.600,2.390
2,12:57,1,10,SDG 48,0,10,"Penalty on Dan Koppen: Offensive Holding, 10 yards (no play)",2.390,1.730
2,12:45,1,20,DEN 42,0,10,Ronnie Hillman right tackle for 3 yards (tackle by Shaun Phillips and Melvin Ingram),1.730,0.900
2,12:16,2,17,DEN 45,0,10,Peyton Manning pass incomplete short left intended for Eric Decker,0.900,0.230
2,12:10,3,17,DEN 45,0,10,Peyton Manning pass complete short left to Eric Decker for 9 yards (tackle by Marcus Gilchrist),0.230,0.200
2,11:28,4,8,SDG 46,0,10,"Britton Colquitt punts 34 yards, muffed catch by Eric Weddle, recovered by Eric Weddle and returned for no gain",0.200,0.350
2,11:19,1,10,SDG 12,0,10,Ryan Mathews up the middle for 2 yards (tackle by Justin Bannan),-0.350,-0.610
2,10:41,2,8,SDG 14,0,10,"Penalty on Philip Rivers: False Start, 5 yards (no play)",-0.610,-1.000
2,10:15,2,13,SDG 9,0,10,Ryan Mathews up the middle for 3 yards (tackle by Derek Wolfe and Wesley Woodyard),-1.000,-1.420
2,9:30,3,10,SDG 12,0,10,"Penalty on Von Miller: Neutral Zone Infraction, 5 yards (no play)",-1.420,-0.840
2,9:28,3,5,SDG 17,0,10,"Philip Rivers pass complete short left to Antonio Gates for 12 yards (tackle by Mike Adams). Penalty on Mike Adams: Unnecessary Roughness, 15 yards",-0.840,1.860
2,8:51,1,10,SDG 44,0,10,"Philip Rivers pass incomplete deep middle intended for Antonio Gates is intercepted by Jim Leonhard at DEN-10. Penalty on Jim Leonhard: Delay of Game, 5 yards",1.860,0.380
2,8:41,1,10,DEN 5,0,10,Peyton Manning pass complete short left to Willis McGahee for 10 yards (tackle by Eric Weddle),-0.380,-0.220
2,8:15,1,10,DEN 15,0,10,Willis McGahee up the middle for no gain (tackle by Jarret Johnson),-0.220,-0.710
