Unnamed: 0,JAX,TEN
First Downs,9,22
Rush-Yds-TDs,8-8-0,34-102-2
Cmp-Att-Yd-TD-INT,24-40-221-0-4,20-31-191-0-0
Sacked-Yards,3-37,4-30
Net Pass Yards,184,161
Total Yards,192,263
Fumbles-Lost,0-0,1-0
Turnovers,4,0
Penalties-Yards,9-79,2-15
Third Down Conv.,5-13,6-15
Fourth Down Conv.,1-2,0-0
Time of Possession,23:03,36:57
