Quarter,Time,Tm,Detail,JAX,TEN
1,10:03,Titans,D'Onta Foreman 5 yard rush (Randy Bullock kick),0,7
2,3:10,Titans,Randy Bullock 44 yard field goal,0,10
3,2:51,Titans,Ryan Tannehill 5 yard rush (Randy Bullock kick),0,17
4,2:20,Titans,Randy Bullock 29 yard field goal,0,20
