Quarter,Time,Down,ToGo,Location,ARI,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,ARI 20,0,0,Chris Wells right guard for 6 yards (tackle by Patrick Chung),0.280,0.540
1,14:26,2,4,ARI 26,0,0,Chris Wells up the middle for 3 yards (tackle by Chandler Jones),0.540,0.230
1,13:51,3,1,ARI 29,0,0,Kevin Kolb up the middle for 2 yards (tackle by Vince Wilfork and Jerod Mayo),0.230,1.000
1,13:11,1,10,ARI 31,0,0,Kevin Kolb pass incomplete short left intended for Todd Heap,1.000,0.460
1,13:04,2,10,ARI 31,0,0,Kevin Kolb pass complete short middle to LaRod Stephens-Howling for 10 yards (tackle by Jerod Mayo),0.460,1.660
1,12:26,1,10,ARI 41,0,0,Patrick Peterson left end for 17 yards (tackle by Patrick Chung),1.660,2.790
1,12:03,1,10,NWE 42,0,0,Chris Wells left tackle for no gain (tackle by Kyle Love),2.790,2.240
1,11:21,2,10,NWE 42,0,0,Kevin Kolb pass complete short left to Ryan Williams for 3 yards (tackle by Sterling Moore),2.240,1.950
1,10:40,3,7,NWE 39,0,0,Kevin Kolb pass complete short middle to Early Doucet for 12 yards (tackle by Steve Gregory and Kyle Arrington),1.950,3.780
1,10:12,1,10,NWE 27,0,0,Chris Wells left tackle for 3 yards (tackle by Jerod Mayo and Chandler Jones),3.780,3.640
1,9:34,2,7,NWE 24,0,0,Kevin Kolb pass complete short middle to Larry Fitzgerald for 4 yards (tackle by Brandon Spikes),3.640,3.470
1,8:50,3,3,NWE 20,0,0,Kevin Kolb pass incomplete short right intended for Todd Heap,3.470,2.220
1,8:47,4,3,NWE 20,3,0,Jay Feely 38 yard field goal good,2.220,3.000
1,8:42,,,ARI 35,3,0,"Jay Feely kicks off 65 yards, returned by Devin McCourty for 21 yards (tackle by Reggie Walker)",0.000,0.340
1,8:37,1,10,NWE 21,3,0,Tom Brady pass incomplete short right intended for Aaron Hernandez is intercepted by Patrick Peterson at NWE-36,0.340,-3.180
1,8:31,1,10,NWE 36,3,0,Chris Wells up the middle for 2 yards (tackle by Kyle Love),3.180,2.910
1,7:57,2,8,NWE 34,3,0,Kevin Kolb pass incomplete deep right intended for Larry Fitzgerald,2.910,0.000
1,7:51,,,,3,0,Timeout #1 by Arizona Cardinals,0.000,2.210
1,7:51,3,8,NWE 34,3,0,"Penalty on Vince Wilfork: Encroachment, 5 yards (no play)",2.210,2.870
1,7:51,3,3,NWE 29,3,0,Kevin Kolb pass incomplete deep right intended for Todd Heap,2.870,1.580
1,7:47,4,3,NWE 29,6,0,Jay Feely 47 yard field goal good,1.580,3.000
1,7:42,,,ARI 35,6,0,"Jay Feely kicks off 65 yards, returned by Devin McCourty for 25 yards (tackle by Rashad Johnson)",0.000,0.610
1,7:34,1,10,NWE 25,6,0,Stevan Ridley left guard for 1 yard (tackle by Sam Acho and Calais Campbell),0.610,0.200
1,7:03,2,9,NWE 26,6,0,Tom Brady pass complete short right to Julian Edelman for 6 yards (tackle by William Gay),0.200,0.300
1,6:38,3,3,NWE 32,6,0,Danny Woodhead up the middle for 3 yards (tackle by Daryl Washington),0.300,1.270
1,6:02,1,10,NWE 35,6,0,Danny Woodhead left guard for 3 yards (tackle by Darnell Dockett),1.270,1.130
1,5:35,2,7,NWE 38,6,0,Stevan Ridley for 1 yard,1.130,0.560
1,5:06,3,6,NWE 39,6,0,Tom Brady pass complete short left to Rob Gronkowski for 9 yards (tackle by Jamell Fleming and Daryl Washington),0.560,2.130
1,4:36,1,10,NWE 48,6,0,Tom Brady pass complete short left to Stevan Ridley for 16 yards (tackle by Paris Lenon),2.130,3.180
1,3:52,1,10,ARI 36,6,0,Stevan Ridley left guard for 1 yard (tackle by Calais Campbell),3.180,2.770
1,3:13,2,9,ARI 35,6,0,Tom Brady pass complete short left to Brandon Lloyd for 2 yards (tackle by Kerry Rhodes),2.770,2.350
1,2:37,3,7,ARI 33,6,0,"Tom Brady pass incomplete deep middle intended for Brandon Lloyd. Penalty on Quentin Groves: Encroachment, 5 yards (no play)",2.350,3.010
1,2:31,3,2,ARI 28,6,0,Tom Brady pass incomplete deep left intended for Brandon Lloyd,3.010,1.700
1,2:27,4,2,ARI 28,6,3,Stephen Gostkowski 46 yard field goal good,1.700,3.000
1,2:22,,,NWE 35,6,3,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,0.280
1,2:22,1,10,ARI 20,6,3,Ryan Williams up the middle for 2 yards (tackle by Brandon Spikes),0.280,0.000
1,1:52,2,8,ARI 22,6,3,Kevin Kolb pass complete short right to Todd Heap for 6 yards (tackle by Kyle Arrington and Devin McCourty),0.000,0.100
1,1:07,3,2,ARI 28,6,3,Kevin Kolb sacked by Rob Ninkovich for 0 yards,0.100,-1.500
1,0:33,4,2,ARI 28,6,3,"Dave Zastudil punts 44 yards, fair catch by Julian Edelman",-1.500,-0.810
1,0:27,1,10,NWE 28,6,3,Stevan Ridley right end for 20 yards (tackle by Daryl Washington),0.810,2.130
1,0:02,1,10,NWE 48,6,3,Stevan Ridley right tackle for 1 yard (tackle by Paris Lenon),2.130,1.720
Quarter,Time,Down,ToGo,Location,ARI,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
