Unnamed: 0,ARI,NWE
First Downs,16,25
Rush-Yds-TDs,32-102-1,28-90-0
Cmp-Att-Yd-TD-INT,15-27-140-1-0,28-46-316-1-1
Sacked-Yards,2-0,4-19
Net Pass Yards,140,297
Total Yards,242,387
Fumbles-Lost,2-2,0-0
Turnovers,2,1
Penalties-Yards,5-39,8-60
Third Down Conv.,4-14,5-15
Fourth Down Conv.,0-0,0-0
Time of Possession,28:19,31:41
