Unnamed: 0,DEN,MIN
First Downs,20,19
Rush-Yds-TDs,33-124-1,18-37-1
Cmp-Att-Yd-TD-INT,18-40-278-1-1,29-35-319-3-0
Sacked-Yards,2-8,5-35
Net Pass Yards,270,284
Total Yards,394,321
Fumbles-Lost,0-0,4-2
Turnovers,1,2
Penalties-Yards,6-35,5-49
Third Down Conv.,5-18,5-12
Fourth Down Conv.,4-4,2-2
Time of Possession,36:43,23:17
