Quarter,Time,Tm,Detail,DEN,MIN
1.0,11:32,Broncos,Brandon McManus 47 yard field goal,3,0
,4:39,Broncos,Troy Fumagalli 3 yard pass from Brandon Allen (Brandon McManus kick),10,0
2.0,12:21,Broncos,Andy Janovich 1 yard rush (Brandon McManus kick),17,0
,1:06,Broncos,Brandon McManus 29 yard field goal,20,0
3.0,11:29,Vikings,Irv Smith Jr. 10 yard pass from Kirk Cousins (Dan Bailey kick),20,7
,4:23,Broncos,Brandon McManus 41 yard field goal,23,7
4.0,13:25,Vikings,Dalvin Cook 3 yard rush (pass failed),23,13
,10:21,Vikings,Stefon Diggs 54 yard pass from Kirk Cousins (Dan Bailey kick),23,20
,6:01,Vikings,Kyle Rudolph 32 yard pass from Kirk Cousins (Dan Bailey kick),23,27
