Quarter,Time,Down,ToGo,Location,DEN,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DEN 25,0,0,"Brandon Allen pass incomplete deep right intended for Courtland Sutton. Penalty on Tim Patrick: Illegal Formation, 5 yards (no play)",0.610,0.280
1,14:54,1,15,DEN 20,0,0,Phillip Lindsay right tackle for 11 yards (tackle by Andrew Sendejo and Eric Kendricks),0.280,0.870
1,14:13,2,4,DEN 31,0,0,Brandon Allen pass complete deep right to Noah Fant for 31 yards (tackle by Andrew Sendejo),0.870,3.050
1,13:37,1,10,MIN 38,0,0,Phillip Lindsay left end for 2 yards (tackle by Trae Waynes),3.050,2.780
1,13:01,2,8,MIN 36,0,0,Phillip Lindsay left guard for 4 yards (tackle by Anthony Barr),2.780,2.610
1,12:18,3,4,MIN 32,0,0,Brandon Allen pass complete short middle to Noah Fant for 3 yards (tackle by Xavier Rhodes),2.610,1.620
1,11:36,4,1,MIN 29,3,0,Brandon McManus 47 yard field goal good,1.620,3.000
1,11:32,,,DEN 35,3,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,11:32,1,10,MIN 25,3,0,Dalvin Cook left tackle for 3 yards (tackle by Mike Purcell),0.610,0.470
1,11:17,2,7,MIN 28,3,0,Kirk Cousins pass complete short left to C.J. Ham for 6 yards (tackle by Davontae Harris),0.470,0.560
1,10:52,3,1,MIN 34,3,0,C.J. Ham up the middle for no gain (tackle by Alexander Johnson),0.560,-1.110
1,10:10,4,1,MIN 34,3,0,"Britton Colquitt punts 46 yards, fair catch by Diontae Spencer at DEN-20",-1.110,-0.280
1,10:02,1,10,DEN 20,3,0,Brandon Allen pass incomplete short right intended for Courtland Sutton. Penalty on Elijah Wilkinson: Illegal Formation (Declined),0.280,-0.270
1,9:57,2,10,DEN 20,3,0,Phillip Lindsay right end for -1 yards (tackle by Jaleel Johnson),-0.270,-1.140
1,9:15,3,11,DEN 19,3,0,Brandon Allen pass incomplete short right,-1.140,-2.140
1,9:12,4,11,DEN 19,3,0,Colby Wadman punts 36 yards downed by Casey Kreiter,-2.140,-1.930
1,9:03,1,10,MIN 45,3,0,Dalvin Cook left tackle for 4 yards (tackle by Von Miller),1.930,1.920
1,8:23,2,6,MIN 49,3,0,Kirk Cousins pass complete short right to Olabisi Johnson for 2 yards (tackle by Davontae Harris),1.920,1.490
1,7:47,3,4,DEN 49,3,0,Kirk Cousins pass complete short right to Dalvin Cook for 2 yards (tackle by Von Miller),1.490,0.130
1,7:08,4,2,DEN 47,3,0,"Britton Colquitt punts 37 yards, fair catch by Diontae Spencer at DEN-10",0.130,0.380
1,7:02,1,10,DEN 10,3,0,Royce Freeman up the middle for 10 yards (tackle by Jaleel Johnson),-0.380,0.280
1,6:25,1,10,DEN 20,3,0,Brandon Allen pass complete deep left to Courtland Sutton for 48 yards (tackle by Xavier Rhodes),0.280,3.450
1,5:35,1,10,MIN 32,3,0,Royce Freeman up the middle for 5 yards (tackle by Everson Griffen),3.450,3.580
1,5:00,2,5,MIN 27,3,0,"Brandon Allen pass incomplete deep left intended for Courtland Sutton. Penalty on Xavier Rhodes: Defensive Pass Interference, 24 yards (no play)",3.580,6.510
1,4:55,1,3,MIN 3,3,0,Brandon Allen pass incomplete short left intended for Noah Fant,6.510,5.530
1,4:50,2,3,MIN 3,3,0,Brandon Allen pass incomplete short right intended for Courtland Sutton (defended by Xavier Rhodes),5.530,4.720
1,4:43,3,3,MIN 3,9,0,"Brandon Allen pass complete short middle to Troy Fumagalli for 3 yards, touchdown",4.720,7.000
1,4:39,,,MIN 15,10,0,Brandon McManus kicks extra point good,0.000,0.000
1,4:39,,,DEN 35,10,0,"Brandon McManus kicks off 66 yards, returned by Ameer Abdullah for 23 yards (tackle by Josey Jewell)",0.000,0.410
1,4:35,1,10,MIN 22,10,0,Kirk Cousins pass complete short left to Irv Smith Jr. for 4 yards (tackle by Duke Dawson),0.410,0.410
1,4:25,2,6,MIN 26,10,0,Kirk Cousins pass complete short right to Olabisi Johnson for 6 yards (tackle by Davontae Harris),0.410,1.070
1,3:53,1,10,MIN 32,10,0,Dalvin Cook up the middle for 1 yard (tackle by Kareem Jackson),1.070,0.660
1,3:16,2,9,MIN 33,10,0,Kirk Cousins pass incomplete short left intended for Dalvin Cook,0.660,-0.030
1,3:12,3,9,MIN 33,10,0,"Penalty on Pat Elflein: False Start, 5 yards (no play)",-0.030,-0.690
1,3:12,3,14,MIN 28,10,0,Kirk Cousins sacked by Von Miller for -7 yards,-0.690,-1.960
1,2:34,4,21,MIN 21,10,0,"Britton Colquitt punts 48 yards, fair catch by Diontae Spencer at DEN-31 Penalty on DEN: Running Into the Kicker (Declined)",-1.960,-1.000
1,2:27,1,10,DEN 31,10,0,Courtland Sutton pass complete deep right to Tim Patrick for 38 yards (tackle by Trae Waynes),1.000,3.510
1,1:41,1,10,MIN 31,10,0,Courtland Sutton right end for 9 yards (tackle by Stephen Weatherly),3.510,4.180
1,1:03,2,1,MIN 22,10,0,Phillip Lindsay up the middle for 6 yards (tackle by Harrison Smith),4.180,4.510
1,0:22,1,10,MIN 16,10,0,Brandon Allen pass incomplete short right intended for Tim Patrick,4.510,3.900
1,0:18,2,10,MIN 16,10,0,Phillip Lindsay right end for 8 yards (tackle by Anthony Barr),3.900,4.620
Quarter,Time,Down,ToGo,Location,DEN,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,MIN 8,10,0,Royce Freeman right guard for 1 yard (tackle by Eric Kendricks and Armon Watts),4.620,3.010
2,14:13,,,,,,Timeout #1 by Denver Broncos,,
2,14:13,4,1,MIN 7,10,0,Courtland Sutton left end for 1 yard (tackle by Andrew Sendejo),3.010,5.830
2,13:30,1,6,MIN 6,10,0,Phillip Lindsay left tackle for 5 yards (tackle by Harrison Smith and Eric Wilson),5.830,5.910
2,12:51,2,1,MIN 1,10,0,Royce Freeman up the middle for no gain (tackle by Eric Kendricks and Everson Griffen),5.910,5.170
2,12:28,3,1,MIN 1,16,0,"Andy Janovich up the middle for 1 yard, touchdown",5.170,7.000
2,12:21,,,MIN 15,17,0,Brandon McManus kicks extra point good,0.000,0.000
2,12:21,,,DEN 35,17,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,12:21,1,10,MIN 25,17,0,Alexander Mattison left guard for -1 yards (tackle by Mike Purcell),0.610,-0.070
2,11:49,2,11,MIN 24,17,0,Alexander Mattison left end for 6 yards (tackle by Davontae Harris),-0.070,0.040
2,11:21,3,5,MIN 30,17,0,Kirk Cousins pass complete short middle to Irv Smith Jr. for 6 yards (tackle by Todd Davis),0.040,1.330
2,10:48,1,10,MIN 36,17,0,Alexander Mattison left tackle for no gain (tackle by Mike Purcell),1.330,0.790
2,10:17,2,10,MIN 36,17,0,"Kirk Cousins pass complete deep left to Stefon Diggs for 34 yards (tackle by Kareem Jackson). Penalty on Riley Reiff: Offensive Holding, 10 yards (no play)",0.790,-0.560
2,9:46,2,20,MIN 26,17,0,Dalvin Cook up the middle for 1 yard (tackle by Dre'Mont Jones and Duke Dawson),-0.560,-1.090
