Unnamed: 0,ATL,CAR
First Downs,12,17
Rush-Yds-TDs,31-52-0,36-129-0
Cmp-Att-Yd-TD-INT,12-20-152-1-1,18-24-167-0-0
Sacked-Yards,0-0,3-13
Net Pass Yards,152,154
Total Yards,204,283
Fumbles-Lost,3-1,2-0
Turnovers,2,0
Penalties-Yards,4-25,4-35
Third Down Conv.,6-13,5-15
Fourth Down Conv.,0-1,0-2
Time of Possession,26:04,33:56
