Quarter,Time,Tm,Detail,ATL,CAR
2.0,4:49,Falcons,Cordarrelle Patterson 2 yard pass from Desmond Ridder (Younghoe Koo kick),7,0
,0:22,Panthers,Eddy Pineiro 34 yard field goal,7,3
4.0,13:32,Panthers,Eddy Pineiro 25 yard field goal,7,6
,0:00,Panthers,Eddy Pineiro 23 yard field goal,7,9
