Quarter,Time,Down,ToGo,Location,LAC,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Nick Novak kicks off 62 yards, returned by Ryan Switzer for 18 yards (tackle by Jatavis Brown)",0.000,-0.340
1,14:54,1,10,DAL 21,0,0,Alfred Morris right tackle for 5 yards (tackle by Denzel Perryman and Hayes Pullard),0.340,0.480
1,14:11,2,5,DAL 26,0,0,Ryan Switzer right end for -4 yards (tackle by Melvin Ingram),0.480,-0.760
1,13:34,3,9,DAL 22,0,0,Dak Prescott pass complete short left to Jason Witten for 8 yards (tackle by Desmond King),-0.760,-1.370
1,13:07,4,1,DAL 30,0,0,"Chris Jones punts 57 yards, out of bounds",-1.370,0.320
1,12:58,1,10,LAC 13,0,0,Philip Rivers pass complete deep left to Hunter Henry for 17 yards (tackle by Orlando Scandrick),-0.320,0.940
1,12:22,1,10,LAC 30,0,0,Melvin Gordon right guard for -3 yards (tackle by Justin Durant),0.940,-0.010
1,11:47,2,13,LAC 27,0,0,Melvin Gordon left guard for 3 yards (tackle by Maliek Collins and Demarcus Lawrence),-0.010,-0.300
1,11:02,3,10,LAC 30,0,0,Philip Rivers pass complete deep middle to Travis Benjamin for 46 yards (tackle by Xavier Woods),-0.300,3.970
1,10:15,1,10,DAL 24,0,0,"Penalty on Joe Barksdale: False Start, 5 yards (no play)",3.970,3.640
1,9:55,1,15,DAL 29,0,0,Philip Rivers pass incomplete deep left intended for Keenan Allen,3.640,2.760
1,9:49,2,15,DAL 29,0,0,Philip Rivers pass complete short middle to Keenan Allen for 12 yards (tackle by Byron Jones),2.760,3.750
1,9:09,3,3,DAL 17,0,0,Philip Rivers pass incomplete short left intended for Keenan Allen,3.750,2.410
1,9:03,4,3,DAL 17,0,0,Nick Novak 35 yard field goal no good,2.410,-0.610
1,8:58,1,10,DAL 25,0,0,Alfred Morris left tackle for 6 yards (tackle by Joey Bosa),0.610,0.870
1,8:25,2,4,DAL 31,0,0,Alfred Morris middle for 3 yards (tackle by Adrian Phillips),0.870,0.560
1,7:49,3,1,DAL 34,0,0,Rod Smith right guard for 3 yards (tackle by Jahleel Addae),0.560,1.400
1,7:14,1,10,DAL 37,0,0,Alfred Morris right end for 6 yards (tackle by Adrian Phillips and Tenny Palepoi),1.400,1.670
1,6:32,2,4,DAL 43,0,0,Dak Prescott pass complete short middle to Jason Witten for 3 yards (tackle by Rayshawn Jenkins),1.670,1.360
1,5:51,3,1,DAL 46,0,0,Terrance Williams for 6 yards,1.360,2.390
1,5:19,1,10,LAC 48,0,0,Dak Prescott pass incomplete,2.390,1.850
1,5:11,2,10,LAC 48,0,0,Alfred Morris middle for 1 yard (tackle by Joey Bosa),1.850,1.290
1,4:34,3,9,LAC 47,0,0,Dak Prescott sacked by Corey Liuget for -4 yards,1.290,-0.130
1,3:56,4,13,DAL 49,0,0,Chris Jones punts 44 yards,-0.130,0.380
1,3:46,1,10,LAC 7,0,0,Melvin Gordon left tackle for 1 yard (tackle by Jeff Heath and Tyrone Crawford),-0.380,-0.710
1,3:13,2,9,LAC 8,0,0,Philip Rivers pass complete short middle to Keenan Allen for 11 yards (tackle by Justin Durant),-0.710,0.150
1,2:36,1,10,LAC 19,0,0,"Penalty on Jeff Cumberland: False Start, 5 yards (no play)",0.150,-0.390
1,2:20,1,15,LAC 14,0,0,Melvin Gordon middle for 1 yard (tackle by Justin Durant and Orlando Scandrick),-0.390,-1.000
1,1:36,2,14,LAC 15,0,0,Philip Rivers pass complete deep left to Keenan Allen for 32 yards (tackle by Byron Jones),-1.000,2.060
1,0:55,1,10,LAC 47,0,0,"Philip Rivers pass complete short right to Hunter Henry for 27 yards (tackle by Xavier Woods). Penalty on Byron Jones: Unnecessary Roughness, 13 yards",2.060,4.710
1,0:34,1,10,DAL 13,0,0,Austin Ekeler middle for 1 yard (tackle by Byron Jones),4.710,4.220
Quarter,Time,Down,ToGo,Location,LAC,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,DAL 12,0,0,Philip Rivers for no gain. Spencer Pulley fumbles,4.220,2.150
2,14:17,3,20,DAL 23,0,0,Philip Rivers pass complete short middle to Keenan Allen for 7 yards (tackle by Byron Jones),2.150,2.380
2,13:36,4,13,DAL 16,0,0,Philip Rivers pass complete short left to Austin Ekeler for 12 yards (tackle by Jourdan Lewis),2.380,0.380
2,13:28,1,10,DAL 4,0,0,Rod Smith left tackle for 4 yards (tackle by Jahleel Addae),-0.380,-0.490
2,12:49,2,6,DAL 8,0,0,Rod Smith right guard for 4 yards (tackle by Darius Philon and Denzel Perryman),-0.490,-0.480
2,12:12,3,2,DAL 12,0,0,"Dak Prescott pass incomplete short left intended for Terrance Williams (defended by Casey Hayward). Penalty on Casey Hayward: Illegal Use of Hands, 5 yards (no play)",-0.480,-0.060
2,12:07,1,10,DAL 17,0,0,Rod Smith right end for 9 yards (tackle by Tre Boston),-0.060,0.750
2,11:36,2,1,DAL 26,0,0,Dak Prescott pass complete short left to Terrance Williams for 2 yards (tackle by Jahleel Addae),0.750,0.810
2,10:56,1,10,DAL 28,0,0,Rod Smith middle for 6 yards (tackle by Brandon Mebane),0.810,1.070
2,10:19,2,4,DAL 34,0,0,Dak Prescott sacked by Tenny Palepoi for -7 yards,1.070,-0.560
2,9:38,3,11,DAL 27,0,0,Dak Prescott pass complete short middle to Brice Butler for 5 yards (tackle by Jahleel Addae),-0.560,-1.240
2,9:02,4,6,DAL 32,0,0,"Chris Jones punts 38 yards, out of bounds",-1.240,-0.940
2,8:55,1,10,LAC 30,0,0,Philip Rivers pass complete short left to Melvin Gordon for 3 yards (tackle by Damien Wilson),0.940,0.800
2,8:21,2,7,LAC 33,0,0,Austin Ekeler left guard for 5 yards (tackle by Jaylon Smith),0.800,0.760
2,7:39,3,2,LAC 38,0,0,Austin Ekeler left guard for 3 yards (tackle by Jaylon Smith),0.760,1.660
2,7:08,1,10,LAC 41,0,0,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by Jourdan Lewis),1.660,2.390
2,6:27,1,10,DAL 48,0,0,Philip Rivers pass incomplete deep middle intended for Antonio Gates,2.390,1.850
2,6:22,2,10,DAL 48,0,0,Philip Rivers pass complete short middle to Hunter Henry for 7 yards (tackle by Anthony Hitchens),1.850,2.080
2,5:39,3,3,DAL 41,0,0,Philip Rivers pass complete short right to Keenan Allen for 2 yards (tackle by Orlando Scandrick),2.080,0.660
2,4:58,4,1,DAL 39,0,0,"Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Anthony Brown). Penalty on Anthony Brown: Defensive Pass Interference, 4 yards (no play)",0.660,3.250
2,4:51,1,10,DAL 35,0,0,Melvin Gordon left tackle for 1 yard (tackle by Anthony Hitchens),3.250,2.840
2,4:16,2,9,DAL 34,0,0,Philip Rivers pass complete short right to Travis Benjamin for 5 yards (tackle by Anthony Brown),2.840,2.810
