Unnamed: 0,LAC,DAL
First Downs,25,14
Rush-Yds-TDs,33-81-0,20-79-1
Cmp-Att-Yd-TD-INT,27-33-434-3-0,20-27-179-0-2
Sacked-Yards,0-0,2-11
Net Pass Yards,434,168
Total Yards,515,247
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,5-56,7-60
Third Down Conv.,9-14,6-11
Fourth Down Conv.,0-1,0-0
Time of Possession,36:05,23:55
