Quarter,Time,Tm,Detail,LAC,DAL
2.0,1:56,Chargers,Nick Novak 22 yard field goal,3,0
3.0,8:59,Chargers,Hunter Henry 3 yard pass from Philip Rivers (Nick Novak kick failed),9,0
,1:46,Chargers,Tyrell Williams 27 yard pass from Philip Rivers (Drew Kaser kick),16,0
4.0,12:48,Cowboys,Rod Smith 2 yard rush (pass failed),16,6
,9:58,Chargers,Keenan Allen 42 yard pass from Philip Rivers (Drew Kaser kick failed),22,6
,7:41,Chargers,Desmond King 90 yard interception return (Drew Kaser kick failed),28,6
