Quarter,Time,Tm,Detail,SEA,ARI
1.0,14:48,Cardinals,Zach Allen 16 yard fumble return (Matt Prater kick),0,7
,12:26,Seahawks,Tyler Lockett 43 yard pass from Russell Wilson (Jason Myers kick),7,7
2.0,11:44,Cardinals,Matt Prater 41 yard field goal,7,10
,7:41,Seahawks,Tyler Lockett 5 yard pass from Russell Wilson (Jason Myers kick),14,10
,1:21,Seahawks,Jason Myers 38 yard field goal,17,10
3.0,11:02,Cardinals,James Conner 20 yard pass from Kyler Murray (Matt Prater kick),17,17
,9:25,Cardinals,James Conner 1 yard rush (Matt Prater kick),17,24
,1:57,Seahawks,Freddie Swain 25 yard pass from Russell Wilson (Jason Myers kick),24,24
4.0,13:15,Seahawks,Russell Wilson 4 yard rush (Jason Myers kick),31,24
,6:14,Cardinals,Matt Prater 30 yard field goal,31,27
,4:34,Seahawks,Rashaad Penny 62 yard rush (Jason Myers kick),38,27
,1:13,Cardinals,Matt Prater 36 yard field goal,38,30
