Unnamed: 0,SEA,ARI
First Downs,19,20
Rush-Yds-TDs,30-202-2,28-118-1
Cmp-Att-Yd-TD-INT,15-26-238-3-1,28-39-240-1-0
Sacked-Yards,1-9,5-53
Net Pass Yards,229,187
Total Yards,431,305
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,4-30,6-46
Third Down Conv.,8-12,9-18
Fourth Down Conv.,0-0,1-2
Time of Possession,24:11,35:49
