Unnamed: 0,DAL,CLE
First Downs,29,13
Rush-Yds-TDs,42-168-2,13-45-0
Cmp-Att-Yd-TD-INT,22-28-255-3-0,19-27-203-1-0
Sacked-Yards,0-0,4-26
Net Pass Yards,255,177
Total Yards,423,222
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,4-38,5-33
Third Down Conv.,8-12,1-9
Fourth Down Conv.,2-2,1-1
Time of Possession,39:39,20:21
