Unnamed: 0,HOU,NOR
First Downs,22,25
Rush-Yds-TDs,23-180-1,21-148-1
Cmp-Att-Yd-TD-INT,20-30-268-3-1,32-43-370-2-1
Sacked-Yards,6-34,1-8
Net Pass Yards,234,362
Total Yards,414,510
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,8-69,7-48
Third Down Conv.,7-13,7-11
Fourth Down Conv.,1-1,0-0
Time of Possession,29:47,30:13
