Quarter,Time,Tm,Detail,HOU,NOR
2.0,14:13,Texans,Deshaun Watson 21 yard rush (Ka'imi Fairbairn kick),7,0
,9:22,Saints,Wil Lutz 32 yard field goal,7,3
,1:47,Texans,DeAndre Hopkins 2 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),14,3
3.0,12:51,Saints,Latavius Murray 30 yard rush (Wil Lutz kick),14,10
,8:20,Texans,DeAndre Hopkins 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,10
,2:39,Saints,Taysom Hill 9 yard pass from Drew Brees (Wil Lutz kick),21,17
4.0,14:55,Saints,Tre'Quan Smith 14 yard pass from Drew Brees (Wil Lutz kick),21,24
,0:50,Saints,Wil Lutz 47 yard field goal,21,27
,0:37,Texans,Kenny Stills 37 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),28,27
,0:00,Saints,Wil Lutz 58 yard field goal,28,30
