Quarter,Time,Down,ToGo,Location,HOU,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,HOU 25,0,0,Carlos Hyde right guard for 9 yards (tackle by Demario Davis),0.610,1.280
1,14:33,2,1,HOU 34,0,0,Carlos Hyde left guard for 4 yards (tackle by Vonn Bell and P.J. Williams),1.280,1.470
1,14:00,1,10,HOU 38,0,0,"Penalty on Darren Fells: False Start, 5 yards (no play)",1.470,1.140
1,13:37,1,15,HOU 33,0,0,Deshaun Watson pass incomplete short middle intended for Duke Johnson,1.140,0.250
1,13:33,2,15,HOU 33,0,0,Deshaun Watson pass incomplete short middle intended for DeAndre Hopkins (defended by Marcus Williams),0.250,-0.430
1,13:31,3,15,HOU 33,0,0,Deshaun Watson sacked by Cameron Jordan for -6 yards,-0.430,-1.570
1,12:50,4,21,HOU 27,0,0,"Trevor Daniel punts 54 yards, returned by Deonte Harris for 5 yards (tackle by A.J. Moore). Penalty on Justin Hardee: Illegal Block Above the Waist, 10 yards",-1.570,0.280
1,12:39,1,10,NOR 14,0,0,Drew Brees pass complete short right to Alvin Kamara for 9 yards (tackle by Johnathan Joseph),-0.280,0.550
1,11:59,2,1,NOR 23,0,0,Drew Brees pass complete deep middle to Michael Thomas for 24 yards (tackle by Justin Reid),0.550,2.060
1,11:23,1,10,NOR 47,0,0,Drew Brees pass complete short right to Latavius Murray for 3 yards (tackle by Angelo Blackson),2.060,1.920
1,10:38,2,7,NOR 50,0,0,Drew Brees pass complete short right to Latavius Murray for 1 yard (tackle by Benardrick McKinney),1.920,1.360
1,9:58,3,6,HOU 49,0,0,Drew Brees pass complete short right to Ted Ginn for 4 yards (tackle by Johnathan Joseph),1.360,0.270
1,9:15,4,2,HOU 45,0,0,"Thomas Morstead punts 35 yards, fair catch by DeAndre Carter at HOU-10",0.270,0.380
1,9:08,1,10,HOU 10,0,0,Duke Johnson left guard for 11 yards (tackle by Marcus Williams),-0.380,0.340
1,8:35,1,10,HOU 21,0,0,Deshaun Watson pass incomplete short left intended for Jordan Akins,0.340,-0.200
1,8:31,2,10,HOU 21,0,0,Deshaun Watson sacked by and Shy Tuttle for -4 yards,-0.200,-1.590
1,7:47,3,14,HOU 17,0,0,Deshaun Watson pass complete short middle to Duke Johnson for 6 yards (tackle by Demario Davis),-1.590,-1.830
1,7:06,4,8,HOU 23,0,0,"Trevor Daniel punts 41 yards, returned by Deonte Harris for 15 yards (tackle by Zach Cunningham and Jon Weeks)",-1.830,-2.320
1,6:57,1,10,HOU 49,0,0,Alvin Kamara left tackle for 7 yards (tackle by Bradley Roby),2.320,2.730
1,6:26,2,3,HOU 42,0,0,Drew Brees pass incomplete deep left intended for Jared Cook,2.730,2.020
1,6:22,3,3,HOU 42,0,0,Drew Brees pass complete short left to Michael Thomas for 14 yards (tackle by Bradley Roby),2.020,3.710
1,5:48,1,10,HOU 28,0,0,Alvin Kamara left end for 1 yard (tackle by Zach Cunningham and Bradley Roby),3.710,3.300
1,4:59,2,9,HOU 27,0,0,Drew Brees pass complete short middle to Michael Thomas for 5 yards (tackle by Bradley Roby),3.300,3.270
1,4:16,3,4,HOU 22,0,0,Drew Brees pass complete short right to Jared Cook for 6 yards (tackle by Jahleel Addae),3.270,4.510
1,3:39,1,10,HOU 16,0,0,Latavius Murray left guard for 5 yards (tackle by Zach Cunningham),4.510,4.760
1,3:04,2,5,HOU 11,0,0,Drew Brees pass short right intended for Latavius Murray is intercepted by Whitney Mercilus at HOU-4 and returned for 2 yards,4.760,0.380
1,2:55,1,10,HOU 6,0,0,Deshaun Watson pass complete deep middle to Will Fuller for 54 yards (tackle by Eli Apple),-0.380,2.920
1,2:17,1,10,NOR 40,0,0,Carlos Hyde right end for 7 yards (tackle by Vonn Bell),2.920,3.320
1,1:39,2,3,NOR 33,0,0,"Carlos Hyde right guard for no gain (tackle by Cameron Jordan). Penalty on Seantrel Henderson: Offensive Holding, 10 yards (no play)",3.320,1.970
1,1:12,2,13,NOR 43,0,0,Deshaun Watson pass complete short left to DeAndre Hopkins for 13 yards (tackle by Mitchell Loewen),1.970,3.580
1,0:35,1,10,NOR 30,0,0,Duke Johnson left tackle for 1 yard (tackle by Cameron Jordan),3.580,3.170
Quarter,Time,Down,ToGo,Location,HOU,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NOR 29,0,0,Deshaun Watson pass incomplete deep right intended for DeAndre Hopkins,3.170,2.480
2,14:57,3,9,NOR 29,0,0,Deshaun Watson pass complete short left to DeAndre Hopkins for 8 yards (tackle by Marshon Lattimore),2.480,2.210
2,14:19,,,,,,Timeout #1 by Houston Texans,,
2,14:19,4,1,NOR 21,6,0,"Deshaun Watson left end for 21 yards, touchdown",2.210,7.000
2,14:13,,,NOR 15,7,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,14:13,,,HOU 35,7,0,"Ka'imi Fairbairn kicks off 65 yards, returned by Deonte Harris for 21 yards (tackle by Taiwan Jones and Cullen Gillaspia)",0.000,0.340
2,14:07,1,10,NOR 21,7,0,Drew Brees pass incomplete short right intended for Michael Thomas,0.340,-0.200
2,14:05,2,10,NOR 21,7,0,Drew Brees pass complete short right to Alvin Kamara for 6 yards (tackle by Johnathan Joseph),-0.200,-0.100
2,13:40,3,4,NOR 27,7,0,Drew Brees pass complete deep right to Jared Cook for 31 yards (tackle by Tashaun Gipson),-0.100,2.790
2,12:58,1,10,HOU 42,7,0,Drew Brees pass complete short left to Michael Thomas for 15 yards (tackle by Justin Reid),2.790,3.780
2,12:22,1,10,HOU 27,7,0,Alvin Kamara left guard for 5 yards (tackle by Benardrick McKinney),3.780,3.910
2,11:43,2,5,HOU 22,7,0,Alvin Kamara right guard for 2 yards (tackle by Whitney Mercilus),3.910,3.470
2,10:56,3,3,HOU 20,7,0,Drew Brees pass complete short left to Alvin Kamara for 5 yards,3.470,4.580
2,10:17,1,10,HOU 15,7,0,Alvin Kamara left tackle for 1 yard (tackle by Benardrick McKinney and Dylan Cole),4.580,4.110
2,9:40,2,9,HOU 14,7,0,Drew Brees pass incomplete short right,4.110,3.240
2,9:32,3,9,HOU 14,7,0,Drew Brees pass incomplete short right,3.240,2.510
2,9:27,4,9,HOU 14,7,3,Wil Lutz 32 yard field goal good,2.510,3.000
2,9:22,,,NOR 35,7,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,9:22,1,10,HOU 25,7,3,Deshaun Watson pass complete short right to DeAndre Hopkins for 3 yards (tackle by Marshon Lattimore),0.610,0.470
2,8:57,2,7,HOU 28,7,3,Duke Johnson left tackle for 1 yard (tackle by Malcom Brown),0.470,-0.100
2,8:15,3,6,HOU 29,7,3,Deshaun Watson pass complete short middle to DeAndre Hopkins for 10 yards (tackle by Alex Anzalone),-0.100,1.530
2,7:43,1,10,HOU 39,7,3,Deshaun Watson pass incomplete deep right intended for DeAndre Hopkins,1.530,0.990
2,7:36,2,10,HOU 39,7,3,Deshaun Watson pass complete short left to Duke Johnson for 9 yards (tackle by Vonn Bell),0.990,1.490
2,7:00,3,1,HOU 48,7,3,Deshaun Watson pass complete short middle to Kenny Stills for 4 yards (tackle by Eli Apple),1.490,2.390
2,6:22,1,10,NOR 48,7,3,Deshaun Watson pass complete short left to Carlos Hyde for 2 yards (tackle by A.J. Klein),2.390,2.120
2,5:42,2,8,NOR 46,7,3,Carlos Hyde left tackle for 20 yards (tackle by Vonn Bell),2.120,3.840
2,5:08,1,10,NOR 26,7,3,Carlos Hyde left guard for 1 yard (tackle by Demario Davis and P.J. Williams),3.840,3.430
2,4:30,2,9,NOR 25,7,3,Deshaun Watson up the middle for 1 yard (tackle by Mitchell Loewen),3.430,2.870
2,3:44,3,8,NOR 24,7,3,"Deshaun Watson pass incomplete deep right intended for Will Fuller. Penalty on P.J. Williams: Defensive Holding, 5 yards (no play)",2.870,4.310
2,3:38,1,10,NOR 19,7,3,Duke Johnson left guard for 4 yards (tackle by A.J. Klein),4.310,4.350
2,3:01,2,6,NOR 15,7,3,"Carlos Hyde left end for 2 yards (tackle by Marcus Williams). Penalty on Jordan Akins: Offensive Holding, 10 yards (no play)",4.350,2.950
2,2:41,2,16,NOR 25,7,3,Deshaun Watson left guard for no gain (tackle by Cameron Jordan and Taylor Stallworth),2.950,2.280
2,2:36,,,,,,Timeout #1 by New Orleans Saints,,
2,2:36,3,16,NOR 25,7,3,"Deshaun Watson pass complete short left to Jordan Akins for 12 yards (tackle by Demario Davis). Penalty on Cameron Jordan: Defensive Offside, 5 yards (no play)",2.280,2.940
2,2:10,3,11,NOR 20,7,3,Deshaun Watson pass complete short left to Duke Johnson for 13 yards (tackle by Eli Apple),2.940,5.600
2,2:00,1,7,NOR 7,7,3,"Penalty on Laremy Tunsil: False Start, 5 yards (no play)",5.600,4.640
2,2:00,1,12,NOR 12,7,3,Carlos Hyde right end for 5 yards (tackle by Vonn Bell and Marcus Williams),4.640,4.760
2,1:56,,,,,,Timeout #2 by New Orleans Saints,,
2,1:56,2,7,NOR 7,7,3,Deshaun Watson pass complete short right to Duke Johnson for 5 yards (tackle by P.J. Williams),4.760,4.950
2,1:51,3,2,NOR 2,13,3,"Deshaun Watson pass complete short left to DeAndre Hopkins for 2 yards, touchdown",4.950,7.000
2,1:47,,,NOR 15,14,3,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,1:47,,,HOU 35,14,3,"Ka'imi Fairbairn kicks off 65 yards, touchback. Penalty on NOR: Illegal Formation (Declined)",0.000,0.610
2,1:47,1,10,NOR 25,14,3,Drew Brees pass complete short middle to Tre'Quan Smith for 12 yards (tackle by Aaron Colvin and Tashaun Gipson),0.610,1.400
2,1:27,1,10,NOR 37,14,3,Drew Brees pass incomplete short left intended for Michael Thomas,1.400,0.860
2,1:23,2,10,NOR 37,14,3,Drew Brees pass complete short left to Alvin Kamara for -7 yards (tackle by Benardrick McKinney),0.860,-0.760
2,0:48,3,17,NOR 30,14,3,Drew Brees pass complete deep left to Michael Thomas for 17 yards (tackle by Bradley Roby),-0.760,2.060
2,0:14,1,10,NOR 47,14,3,Drew Brees pass incomplete short left intended for Michael Thomas (defended by Carlos Watkins),2.060,1.520
2,0:09,2,10,NOR 47,14,3,Drew Brees pass complete short left to Michael Thomas for 15 yards (tackle by Bradley Roby),1.520,3.050
2,0:04,,,,,,Timeout #3 by New Orleans Saints,,
2,0:04,1,10,HOU 38,14,3,Wil Lutz 56 yard field goal no good,3.050,1.930
Quarter,Time,Down,ToGo,Location,HOU,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,14,3,"Ka'imi Fairbairn kicks off 63 yards, returned by Deonte Harris for 15 yards (tackle by Dylan Cole)",0.000,-0.060
3,14:57,1,10,NOR 17,14,3,Drew Brees pass complete short right to Ted Ginn for 11 yards (tackle by Johnathan Joseph),-0.060,0.810
3,14:22,1,10,NOR 28,14,3,Latavius Murray left tackle for 1 yard (tackle by Whitney Mercilus),0.810,0.400
3,13:47,2,9,NOR 29,14,3,Drew Brees pass complete short middle to Alvin Kamara for 41 yards (tackle by Justin Reid),0.400,3.580
3,13:05,1,10,HOU 30,14,3,Drew Brees pass incomplete short right intended for Taysom Hill,3.580,3.030
3,12:57,2,10,HOU 30,14,9,"Latavius Murray left guard for 30 yards, touchdown",3.030,7.000
3,12:51,,,HOU 15,14,10,Wil Lutz kicks extra point good,0.000,0.000
3,12:51,,,NOR 35,14,10,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,12:51,1,10,HOU 25,14,10,Carlos Hyde left end for 13 yards (tackle by Demario Davis),0.610,1.470
3,12:17,1,10,HOU 38,14,10,Deshaun Watson pass incomplete short left intended for DeAndre Hopkins,1.470,0.920
3,12:11,2,10,HOU 38,14,10,Duke Johnson left tackle for 2 yards (tackle by Cameron Jordan),0.920,0.500
3,11:26,3,8,HOU 40,14,10,Deshaun Watson pass complete short middle to Will Fuller for 15 yards (tackle by Alex Anzalone),0.500,2.590
3,10:46,1,10,NOR 45,14,10,Carlos Hyde left tackle for no gain (tackle by Trey Hendrickson),2.590,2.040
3,10:06,2,10,NOR 45,14,10,Deshaun Watson pass incomplete short left,2.040,1.360
3,9:59,3,10,NOR 45,14,10,Deshaun Watson right end for 18 yards (tackle by Alex Anzalone),1.360,3.780
3,9:21,1,10,NOR 27,14,10,Carlos Hyde left tackle for 6 yards (tackle by Marcus Davenport),3.780,4.040
3,8:40,2,4,NOR 21,14,10,"Deshaun Watson pass deep right is intercepted by Marshon Lattimore at NO-3 and returned for 40 yards. Penalty on Mitchell Loewen: Defensive Offside, 5 yards (no play)",4.040,4.510
3,8:24,1,10,NOR 16,20,10,"Deshaun Watson pass complete short middle to DeAndre Hopkins for 16 yards, touchdown",4.510,7.000
3,8:20,,,NOR 15,21,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,8:20,,,HOU 35,21,10,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,8:20,1,10,NOR 25,21,10,Drew Brees pass complete short middle to Alvin Kamara for 11 yards (tackle by Justin Reid),0.610,1.330
3,7:38,1,10,NOR 36,21,10,Drew Brees pass complete short left to Alvin Kamara for 7 yards (tackle by Bradley Roby),1.330,1.740
3,7:03,2,3,NOR 43,21,10,Latavius Murray right guard for 4 yards (tackle by D.J. Reader),1.740,2.060
3,6:28,1,10,NOR 47,21,10,Taysom Hill left end for 2 yards (tackle by Justin Reid),2.060,1.790
3,5:54,2,8,NOR 49,21,10,Drew Brees pass complete short right to Ted Ginn for 10 yards (tackle by Aaron Colvin),1.790,2.850
3,5:23,1,10,HOU 41,21,10,Drew Brees pass complete short left to Ted Ginn for 11 yards (tackle by Aaron Colvin),2.850,3.580
3,4:42,1,10,HOU 30,21,10,Drew Brees pass complete short left to Michael Thomas for 7 yards (tackle by Bradley Roby),3.580,3.980
3,4:10,2,3,HOU 23,21,10,Alvin Kamara right tackle for 8 yards (tackle by Carlos Watkins and Jacob Martin),3.980,4.580
3,3:28,1,10,HOU 15,21,10,Drew Brees pass incomplete short right intended for Alvin Kamara,4.580,3.950
3,3:22,2,10,HOU 15,21,10,Taysom Hill left end for 6 yards (tackle by Justin Reid),3.950,4.220
3,2:43,3,4,HOU 9,21,16,"Drew Brees pass complete short left to Taysom Hill for 9 yards, touchdown",4.220,7.000
3,2:39,,,HOU 15,21,17,"Wil Lutz kicks extra point good. Penalty on Angelo Blackson: Unnecessary Roughness, 15 yards",0.000,0.000
3,2:39,,,NOR 50,21,17,"Thomas Morstead kicks off 46 yards, returned by DeAndre Carter for 12 yards (tackle by Chauncey Gardner-Johnson)",0.000,-0.140
3,2:35,1,10,HOU 16,21,17,Deshaun Watson pass incomplete short left intended for Darren Fells,-0.140,-0.660
3,2:32,2,10,HOU 16,21,17,Duke Johnson left tackle for 2 yards (tackle by A.J. Klein),-0.660,-1.070
3,1:59,3,8,HOU 18,21,17,"Deshaun Watson pass deep right intended for Will Fuller is intercepted by Marcus Williams at NO-36 and returned for no gain. Penalty on DeAndre Hopkins: Unnecessary Roughness, 15 yards",-1.070,-2.320
3,1:48,1,10,HOU 49,21,17,Drew Brees pass complete short left to Michael Thomas for 9 yards (tackle by Justin Reid),2.320,3.000
3,1:07,2,1,HOU 40,21,17,"Alvin Kamara left end for 26 yards (tackle by Benardrick McKinney and Tashaun Gipson). Alvin Kamara fumbles (forced by Benardrick McKinney), recovered by Jared Cook at HOU-14 and returned for 2 yards (tackle by Zach Cunningham)",3.000,4.780
3,0:13,,,,,,Timeout #1 by New Orleans Saints,,
3,0:13,1,10,HOU 12,21,17,Drew Brees pass complete short left to Josh Hill for -2 yards (tackle by Justin Reid and Whitney Mercilus),4.780,3.790
Quarter,Time,Down,ToGo,Location,HOU,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,HOU 14,21,23,"Drew Brees pass complete short right to Tre'Quan Smith for 14 yards, touchdown",3.790,7.000
4,14:55,,,HOU 15,21,24,Wil Lutz kicks extra point good,0.000,0.000
4,14:55,,,NOR 35,21,24,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,14:55,1,10,HOU 25,21,24,Deshaun Watson pass complete short middle to Kenny Stills for -4 yards (tackle by Marshon Lattimore),0.610,-0.480
4,14:13,2,14,HOU 21,21,24,Deshaun Watson pass complete short right to Jordan Akins for 17 yards (tackle by Alex Anzalone). Penalty on Demario Davis: Defensive Holding (Declined),-0.480,1.470
4,13:43,1,10,HOU 38,21,24,Carlos Hyde right guard for 18 yards (tackle by Demario Davis),1.470,2.650
4,13:01,1,10,NOR 44,21,24,Deshaun Watson sacked by Alex Anzalone for -6 yards,2.650,1.300
4,12:15,2,16,HOU 50,21,24,Deshaun Watson pass complete short left to DeAndre Carter for -1 yards (tackle by Vonn Bell),1.300,0.500
4,11:33,3,17,HOU 49,21,24,Deshaun Watson sacked by Trey Hendrickson for -6 yards. Penalty on Seantrel Henderson: Offensive Holding (Declined),0.500,-0.520
4,11:03,4,23,HOU 43,21,24,"Trevor Daniel punts 53 yards, fair catch by Deonte Harris at NO-4 Penalty on HOU: Illegal Formation, 5 yards (no play)",-0.520,-0.850
4,10:55,4,28,HOU 38,21,24,Trevor Daniel punts 34 yards downed by Jon Weeks,-0.850,-0.810
4,10:47,1,10,NOR 28,21,24,"Drew Brees pass incomplete deep middle intended for Alvin Kamara. Penalty on Ryan Ramczyk: Offensive Holding, 10 yards (no play)",0.810,-0.040
4,10:41,1,20,NOR 18,21,24,Alvin Kamara right tackle for 28 yards (tackle by Johnathan Joseph),-0.040,1.990
4,9:56,1,10,NOR 46,21,24,Latavius Murray right tackle for -1 yards (tackle by Zach Cunningham and Carlos Watkins),1.990,1.320
4,9:17,2,11,NOR 45,21,24,Drew Brees sacked by Whitney Mercilus for -8 yards,1.320,-0.430
4,8:36,3,19,NOR 37,21,24,Alvin Kamara left guard for 6 yards (tackle by Whitney Mercilus),-0.430,-0.520
4,7:53,4,13,NOR 43,21,24,Thomas Morstead punts 53 yards out of bounds,-0.520,0.380
4,7:44,1,10,HOU 4,21,24,Duke Johnson left guard for 4 yards (tackle by Marcus Davenport),-0.380,-0.490
4,7:15,2,6,HOU 8,21,24,Deshaun Watson pass incomplete short left intended for DeAndre Hopkins,-0.490,-0.950
4,7:11,3,6,HOU 8,21,24,"Penalty on Duke Johnson: False Start, 4 yards (no play)",-0.950,-1.420
4,7:11,3,10,HOU 4,21,24,Deshaun Watson pass complete deep middle to DeAndre Hopkins for 21 yards (tackle by Vonn Bell),-1.420,0.610
4,6:34,1,10,HOU 25,21,24,Duke Johnson right end for 32 yards (tackle by A.J. Klein),0.610,2.720
4,5:47,1,10,NOR 43,21,24,Deshaun Watson sacked by P.J. Williams for -1 yards,2.720,2.040
4,5:06,2,11,NOR 44,21,24,Duke Johnson left guard for no gain (tackle by Cameron Jordan),2.040,1.360
4,4:25,3,11,NOR 44,21,24,Deshaun Watson sacked by Trey Hendrickson for -11 yards,1.360,-0.390
4,3:38,4,22,HOU 45,21,24,"Trevor Daniel punts 43 yards, returned by Deonte Harris for no gain. Penalty on Deonte Harris: Invalid Fair Catch Signal, 5 yards",-0.390,0.380
4,3:29,1,10,NOR 7,21,24,Alvin Kamara left end for 2 yards (tackle by Bradley Roby),-0.380,-0.630
4,2:53,2,8,NOR 9,21,24,Drew Brees pass complete short right to Michael Thomas for 6 yards (tackle by Angelo Blackson and Johnathan Joseph),-0.630,-0.480
4,2:05,3,2,NOR 15,21,24,Drew Brees pass complete deep left to Ted Ginn for 41 yards (tackle by Aaron Colvin),-0.480,2.650
