Unnamed: 0,MIN,DET
First Downs,28,17
Rush-Yds-TDs,41-136-2,15-53-0
Cmp-Att-Yd-TD-INT,21-30-282-2-0,20-35-250-2-1
Sacked-Yards,2-10,3-14
Net Pass Yards,272,236
Total Yards,408,289
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,9-74,8-54
Third Down Conv.,6-13,3-11
Fourth Down Conv.,0-0,0-1
Time of Possession,34:57,25:03
