Quarter,Time,Down,ToGo,Location,STL,DET,Detail,EPB,EPA
1,11:08,3,5,DET 39,0,3,Shaun Hill sacked by George Selvie for -5 yards,0.630,-1.110
1,10:52,4,10,DET 34,0,3,"Nick Harris punts 53 yards, returned by Danny Amendola for 24 yards (tackle by Ashlee Palmer)",-1.110,-1.400
1,10:38,1,10,STL 37,0,3,Steven Jackson right tackle for 2 yards (tackle by Louis Delmas and Kyle Vanden Bosch),1.400,1.130
1,9:59,2,8,STL 39,0,3,"Sam Bradford pass incomplete deep left intended for Mark Clayton. Penalty on Alphonso Smith: Illegal Contact, 5 yards (no play)",1.130,1.860
1,9:51,1,10,STL 44,0,3,Steven Jackson left tackle for 7 yards (tackle by Alphonso Smith and Julian Peterson),1.860,2.260
1,9:16,2,3,DET 49,0,3,Steven Jackson left end for 10 yards (tackle by Louis Delmas),2.260,2.980
1,8:45,1,10,DET 39,0,3,Sam Bradford pass incomplete short left intended for Darcy Johnson,2.980,2.440
1,8:38,2,10,DET 39,0,3,Sam Bradford pass complete short left to Brandon Gibson for 30 yards (tackle by Amari Spievey),2.440,5.140
1,8:01,1,9,DET 9,0,3,"Sam Bradford pass complete short left to Danny Amendola for 3 yards (tackle by Corey Williams). Alphonso Smith fumbles (forced by Mardy Gilyard), recovered by Jonathan Wade at DET-17 and returned for 10 yards (tackle by Mardy Gilyard)",5.140,-0.740
,,,,,,,"STL challenged the fumble ruling, and the play was upheld.",,
1,7:45,1,10,DET 27,0,3,Jahvid Best left end for 3 yards,0.740,0.600
1,7:10,2,7,DET 30,0,3,Shaun Hill pass complete short right to Brandon Pettigrew for 4 yards (tackle by James Laurinaitis),0.600,0.430
1,6:41,3,3,DET 34,0,3,Shaun Hill pass incomplete deep left intended for Calvin Johnson (defended by Ronald Bartell),0.430,-1.110
1,6:35,4,3,DET 34,0,3,"Nick Harris punts 50 yards, returned by Danny Amendola for 13 yards (tackle by Landon Johnson)",-1.110,-0.870
1,6:20,1,10,STL 29,0,3,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",0.870,0.540
1,6:20,1,15,STL 24,0,3,Kenneth Darby middle for 9 yards (tackle by Louis Delmas and Julian Peterson),0.540,0.870
1,5:45,2,6,STL 33,0,3,Sam Bradford pass complete short right to Danny Amendola for 12 yards (tackle by Ndamukong Suh),0.870,1.930
1,5:09,1,10,STL 45,0,3,Steven Jackson left end for 1 yard (tackle by Sammie Lee Hill and Cliff Avril),1.930,1.520
1,4:27,2,9,STL 46,0,3,Sam Bradford sacked by Julian Peterson for -2 yards,1.520,0.560
1,3:54,3,11,STL 44,0,3,Sam Bradford pass complete short left to Danny Amendola for 18 yards (tackle by Alphonso Smith),0.560,3.050
1,3:22,1,10,DET 38,0,3,Sam Bradford pass complete short right to Danny Amendola for 9 yards (tackle by Louis Delmas),3.050,3.720
1,2:41,2,1,DET 29,0,3,Steven Jackson left end for 4 yards (tackle by Spencer Havner and Alphonso Smith),3.720,3.910
1,2:12,1,10,DET 25,0,3,Steven Jackson middle for 13 yards (tackle by Amari Spievey),3.910,4.780
1,1:33,1,10,DET 12,0,3,Steven Jackson middle for no gain (tackle by Julian Peterson),4.780,4.100
1,0:50,2,10,DET 12,0,3,Sam Bradford pass complete short left to Kenneth Darby for 3 yards (tackle by Julian Peterson and Ndamukong Suh),4.100,3.700
1,0:05,3,7,DET 9,0,3,Sam Bradford pass incomplete short middle intended for Daniel Fells,3.700,2.830
1,0:01,4,7,DET 9,3,3,Josh Brown 28 yard field goal good,2.830,3.000
Quarter,Time,Down,ToGo,Location,STL,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,STL 30,3,9,"Josh Brown kicks off 75 yards, returned by Stefan Logan for 105 yards, touchdown",0.000,7.000
2,,,,STL 2,3,10,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,3,10,"Jason Hanson kicks off 65 yards, returned by Mardy Gilyard for 21 yards (tackle by Amari Spievey)",0.000,0.670
2,14:42,1,10,STL 26,3,10,Sam Bradford pass incomplete short right intended for Brandon Gibson,0.670,0.130
2,14:36,2,10,STL 26,3,10,Steven Jackson left tackle for 1 yard (tackle by Julian Peterson),0.130,-0.430
2,13:55,3,9,STL 27,3,10,"Sam Bradford pass incomplete short right intended for Brandon Gibson. Penalty on Andre Fluellen: Defensive Offside, 5 yards (no play)",-0.430,0.230
2,13:44,3,4,STL 32,3,10,Sam Bradford pass incomplete short middle intended for Danny Amendola,0.230,-1.240
2,13:38,4,4,STL 32,3,10,"Donnie Jones punts 56 yards, returned by Stefan Logan for 7 yards (tackle by Fendi Onobun)",-1.240,-0.150
2,13:30,1,10,DET 19,3,10,Jahvid Best right end for 9 yards (tackle by Na'il Diggs),0.150,0.880
2,12:55,2,1,DET 28,3,10,"Penalty on Kevin Smith: False Start, 5 yards (no play)",0.880,0.210
2,12:31,2,6,DET 23,3,10,Shaun Hill pass complete short right to Jerome Felton for 7 yards (tackle by Bradley Fletcher),0.210,0.940
2,12:03,1,10,DET 30,3,10,Shaun Hill pass complete short right to Nate Burleson for 13 yards (tackle by Bradley Fletcher),0.940,1.800
2,11:24,1,10,DET 43,3,10,Jahvid Best left tackle for -3 yards (tackle by Fred Robbins),1.800,0.850
2,10:44,2,13,DET 40,3,10,Shaun Hill pass complete short middle to Nate Burleson for 5 yards (tackle by Jerome Murphy),0.850,0.830
2,10:03,3,8,DET 45,3,10,Shaun Hill pass complete short left to Jahvid Best for 22 yards (tackle by O.J. Atogwe and Bradley Fletcher),0.830,3.380
2,9:32,1,10,STL 33,3,10,Shaun Hill pass incomplete deep middle intended for Calvin Johnson (defended by O.J. Atogwe),3.380,2.840
2,9:24,2,10,STL 33,3,10,"Penalty on DET: Delay of Game, 5 yards (no play)",2.840,2.160
2,9:24,2,15,STL 38,3,10,Shaun Hill pass complete short right to Brandon Pettigrew for 12 yards (tackle by James Laurinaitis and Ronald Bartell),2.160,3.070
2,8:40,3,3,STL 26,3,10,Shaun Hill pass complete short left to Nate Burleson for 12 yards (tackle by Jerome Murphy and James Butler),3.070,4.650
2,8:03,1,10,STL 14,3,10,Shaun Hill pass complete short right to Jahvid Best for 6 yards (tackle by James Hall),4.650,5.090
2,7:19,2,4,STL 8,3,10,Jahvid Best left end for 3 yards (tackle by O.J. Atogwe),5.090,4.960
2,6:51,3,1,STL 5,3,10,Jahvid Best left end for 4 yards (tackle by James Butler),4.960,6.970
2,6:19,1,1,STL 1,3,16,"Shaun Hill pass complete short right to Calvin Johnson for 1 yard, touchdown",6.970,7.000
2,,,,STL 2,3,17,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,3,17,"Jason Hanson kicks off 67 yards, returned by Mardy Gilyard for 19 yards (tackle by Zack Follett)",0.000,0.410
2,6:09,1,10,STL 22,3,17,Sam Bradford pass incomplete short left intended for Mardy Gilyard (defended by Corey Williams),0.410,-0.130
2,6:06,2,10,STL 22,3,17,Steven Jackson middle for 4 yards (tackle by Corey Williams),-0.130,-0.290
2,5:21,3,6,STL 26,3,17,Sam Bradford pass complete short right to Danny Amendola for 9 yards (tackle by Chris Houston),-0.290,1.270
2,4:55,1,10,STL 35,3,17,"Sam Bradford pass complete deep right to Mardy Gilyard for 17 yards (tackle by Spencer Havner and Zack Follett). Penalty on Spencer Havner: Face Mask (15 Yards), 15 yards",1.270,3.380
2,4:32,1,10,DET 33,3,17,Steven Jackson middle for 9 yards (tackle by C.C. Brown),3.380,4.050
2,3:49,2,1,DET 24,3,17,Steven Jackson middle for 3 yards (tackle by Spencer Havner),4.050,4.170
2,3:12,1,10,DET 21,3,17,"Penalty on Corey Williams: Encroachment, 5 yards (no play)",4.170,5.080
2,2:49,1,5,DET 16,3,17,Steven Jackson middle for 4 yards (tackle by Louis Delmas and Corey Williams),5.080,5.160
2,2:16,2,1,DET 12,3,17,Steven Jackson left tackle for -3 yards (tackle by Zack Follett and C.C. Brown),5.160,3.810
2,2:00,3,4,DET 15,3,17,"Sam Bradford pass incomplete short left intended for Danny Amendola. Penalty on Alphonso Smith: Defensive Pass Interfere, 3 yards (no play)",3.810,4.780
2,1:55,1,10,DET 12,3,17,Sam Bradford pass complete short left to Danny Amendola for 2 yards (tackle by Alphonso Smith),4.780,4.450
2,1:50,2,8,DET 10,3,17,Sam Bradford pass incomplete short middle intended for Daniel Fells (defended by Julian Peterson),4.450,3.480
2,1:47,3,8,DET 10,3,17,Sam Bradford pass incomplete short right intended for Mardy Gilyard (defended by Chris Houston),3.480,2.760
2,1:41,4,8,DET 10,6,17,Josh Brown 28 yard field goal good,2.760,3.000
2,,,,STL 30,6,17,"Josh Brown kicks off 77 yards, touchback",0.000,0.280
2,1:37,1,10,DET 20,6,17,Shaun Hill pass complete short right to Tony Scheffler for 10 yards (tackle by Ronald Bartell),0.280,0.940
2,1:32,1,10,DET 30,6,17,Shaun Hill pass incomplete short middle intended for Calvin Johnson,0.940,0.390
2,1:28,2,10,DET 30,6,17,Shaun Hill pass complete short right to Tony Scheffler for 15 yards (tackle by James Laurinaitis),0.390,1.930
2,1:01,1,10,DET 45,6,17,Shaun Hill pass complete short right to Tony Scheffler for 5 yards (tackle by Ronald Bartell),1.930,2.060
2,0:56,2,5,,6,17,Shaun Hill pass complete deep right to Calvin Johnson for 16 yards (tackle by O.J. Atogwe),2.060,3.310
2,0:52,1,10,STL 34,6,17,Kevin Smith right end for 8 yards (tackle by James Laurinaitis),3.310,3.850
2,0:46,,,,6,17,Timeout #1 by Detroit Lions,0.000,3.850
2,0:46,2,2,STL 26,6,17,Shaun Hill pass incomplete deep right intended for Calvin Johnson (defended by Ronald Bartell),3.850,3.140
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,0:41,3,2,STL 26,6,17,"Shaun Hill pass incomplete deep right intended for Calvin Johnson. Penalty on Ronald Bartell: Illegal Contact, 5 yards (no play)",3.140,4.170
2,0:37,1,10,STL 21,6,17,Shaun Hill left end for 1 yard (tackle by Bradley Fletcher),4.170,3.760
2,0:30,2,9,STL 20,6,17,Shaun Hill pass incomplete short middle intended for Tony Scheffler (defended by James Butler),3.760,3.070
2,0:26,3,9,STL 20,6,17,Shaun Hill pass complete short middle to Kevin Smith for 17 yards (tackle by Craig Dahl),3.070,6.510
2,0:21,,,,6,17,Timeout #2 by Detroit Lions,0.000,6.510
2,0:21,1,3,STL 3,6,17,Shaun Hill pass incomplete short right intended for Brandon Pettigrew,6.510,5.530
2,0:17,2,3,STL 3,6,23,"Shaun Hill pass complete short middle to Brandon Pettigrew for 3 yards, touchdown",5.530,7.000
2,,,,STL 2,6,24,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,6,24,"Jason Hanson kicks off 27 yards, returned by Larry Grant for 8 yards (tackle by John Wendling)",0.000,2.320
2,0:07,,,,6,24,Timeout #3 by Detroit Lions,0.000,2.320
2,0:06,1,10,DET 49,6,24,Sam Bradford pass complete short right to Daniel Fells for 27 yards (tackle by Julian Peterson),2.320,0.540
Quarter,Time,Down,ToGo,Location,STL,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,6,24,"Jason Hanson kicks off 69 yards, returned by Mardy Gilyard for 20 yards (tackle by Ashlee Palmer)",0.000,0.340
3,14:54,1,10,STL 21,6,24,Steven Jackson middle for -4 yards (tackle by Corey Williams),0.340,-0.860
3,14:19,2,14,STL 17,6,24,Sam Bradford pass complete short right to Daniel Fells for -6 yards (tackle by Corey Williams),-0.860,-2.590
3,13:37,3,20,STL 11,6,24,Kenneth Darby middle for 5 yards (tackle by Spencer Havner),-2.590,-2.390
3,12:59,4,15,STL 16,6,24,"Donnie Jones punts 42 yards, returned by Stefan Logan for 17 yards (tackle by Jerome Murphy)",-2.390,-2.850
3,12:47,1,10,STL 41,6,24,Shaun Hill middle for 8 yards (tackle by Eugene Sims),2.850,3.390
3,12:16,2,2,STL 33,6,24,Jahvid Best left end for 8 yards (tackle by Jermelle Cudjo),3.390,3.910
3,11:40,1,10,STL 25,6,24,Jahvid Best right end for -1 yards,3.910,3.230
3,11:02,2,11,STL 26,6,30,"Shaun Hill pass complete short left to Nate Burleson for 26 yards, touchdown. Penalty on Nate Burleson: Unsportsmanlike Conduct, 15 yards",3.230,7.000
3,,,,STL 2,6,31,Jason Hanson kicks extra point good,0.000,0.000
3,,,,DET 15,6,31,"Jason Hanson kicks off 66 yards, returned by Keith Toston for 20 yards (tackle by Nathan Vasher)",0.000,1.530
3,10:49,1,10,STL 39,6,31,Sam Bradford pass complete short middle to Danny Amendola for 8 yards (tackle by Spencer Havner and Julian Peterson),1.530,2.070
3,10:20,2,2,STL 47,6,31,Steven Jackson left tackle for 4 yards (tackle by Louis Delmas),2.070,2.320
3,9:47,1,10,DET 49,6,31,Sam Bradford pass complete short left to Danny Amendola for -1 yards (tackle by Jonathan Wade),2.320,1.650
3,9:09,2,11,,6,31,Steven Jackson middle for 8 yards (tackle by Corey Williams),1.650,2.020
3,8:31,3,3,DET 42,6,31,Sam Bradford pass complete short right to Brandon Gibson for 4 yards (tackle by Chris Houston),2.020,3.050
3,7:56,1,10,DET 38,6,31,"Penalty on Jason Smith: False Start, 5 yards (no play)",3.050,2.720
3,7:39,1,15,DET 43,6,31,Steven Jackson left tackle for 8 yards (tackle by Louis Delmas),2.720,2.910
3,7:15,2,7,DET 35,6,31,"Penalty on Kyle Vanden Bosch: Defensive Offside, 5 yards (no play)",2.910,3.590
3,6:59,2,2,DET 30,6,31,"Sam Bradford sacked by Alphonso Smith for 0 yards. Penalty on Rodger Saffold: Offensive Holding, 10 yards (no play)",3.590,2.240
3,6:32,2,12,DET 40,6,31,Steven Jackson left tackle for 2 yards (tackle by Sammie Lee Hill),2.240,1.820
3,5:57,3,10,DET 38,6,31,Sam Bradford pass incomplete short middle intended for Mardy Gilyard,1.820,0.720
3,5:52,4,10,DET 38,6,31,Sam Bradford pass incomplete short left intended for Danny Amendola (defended by Cliff Avril),0.720,-1.470
3,5:45,1,10,DET 38,6,31,Jahvid Best left end for 6 yards (tackle by James Laurinaitis and Gary Gibson),1.470,1.730
3,5:05,2,4,DET 44,6,31,"Jahvid Best left end for 19 yards (tackle by Jermelle Cudjo). Penalty on Jeff Backus: Offensive Holding, 10 yards (no play)",1.730,0.380
3,4:44,2,14,DET 34,6,31,Kevin Smith left tackle for 15 yards (tackle by O.J. Atogwe),0.380,2.190
3,4:01,1,10,DET 49,6,31,Kevin Smith left tackle for 1 yard (tackle by James Laurinaitis),2.190,1.780
3,3:25,2,9,,6,31,Shaun Hill pass incomplete deep right intended for Calvin Johnson,1.780,1.090
3,3:18,3,9,,6,31,Shaun Hill pass incomplete deep middle intended for Nate Burleson,1.090,-0.060
3,3:13,4,9,,6,31,Nick Harris punts 31 yards. Penalty on STL: Defensive 12 On-field (Declined),-0.060,-0.150
3,3:04,1,10,STL 19,6,31,Steven Jackson right tackle for 2 yards (tackle by C.C. Brown),0.150,-0.060
3,2:28,2,8,STL 21,6,31,Sam Bradford pass incomplete short right intended for Laurent Robinson,-0.060,-0.810
3,2:24,3,8,STL 21,6,31,Sam Bradford pass complete short left to Laurent Robinson for 11 yards (tackle by Jonathan Wade),-0.810,1.070
3,1:53,1,10,STL 32,6,31,Steven Jackson middle for 2 yards (tackle by Corey Williams),1.070,0.800
3,1:10,2,8,STL 34,6,31,Sam Bradford pass incomplete deep middle intended for Danny Amendola,0.800,0.100
3,1:05,3,8,STL 34,6,31,Sam Bradford pass incomplete deep right intended for Brandon Gibson (defended by Chris Houston),0.100,-1.110
3,0:58,4,8,STL 34,6,31,Donnie Jones punts 48 yards,-1.110,-0.040
3,0:41,1,10,DET 18,6,31,Jahvid Best left end for no gain (tackle by James Laurinaitis and Gary Gibson),0.040,-0.490
3,0:10,2,10,DET 18,6,31,Shaun Hill pass complete short right to Jahvid Best for 9 yards (tackle by Ronald Bartell),-0.490,-0.020
Quarter,Time,Down,ToGo,Location,STL,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,DET 27,6,31,"Penalty on Tony Scheffler: False Start, 5 yards (no play)",-0.020,-0.660
4,15:00,3,6,DET 22,6,31,Shaun Hill pass complete short right to Calvin Johnson for 8 yards (tackle by Ronald Bartell),-0.660,0.940
4,14:35,1,10,DET 30,6,31,Jahvid Best left end for -1 yards (tackle by O.J. Atogwe),0.940,0.260
4,13:49,2,11,DET 29,6,31,Jahvid Best right end for 7 yards (tackle by O.J. Atogwe),0.260,0.500
4,13:22,3,4,DET 36,6,31,Shaun Hill pass complete deep right to Calvin Johnson for 29 yards (tackle by Bradley Fletcher). Penalty on Bradley Fletcher: Defensive Pass Interfere (Declined),0.500,3.250
4,12:55,1,10,STL 35,6,31,Jahvid Best left end for 4 yards (tackle by Chris Long),3.250,3.240
4,12:11,2,6,STL 31,6,31,Jahvid Best right end for 1 yard (tackle by Fred Robbins),3.240,2.680
4,11:28,3,5,STL 30,6,31,Shaun Hill pass incomplete short middle intended for Kevin Smith,2.680,1.450
4,11:23,4,5,STL 30,6,34,Jason Hanson 48 yard field goal good,1.450,3.000
4,,,,DET 30,6,34,"Jason Hanson kicks off 66 yards, returned by Keith Toston for 20 yards (tackle by Zack Follett)",0.000,0.540
4,11:11,1,10,STL 24,6,34,"Penalty on Jacob Bell: False Start, 5 yards (no play)",0.540,0.130
4,11:11,1,15,STL 19,6,34,Sam Bradford pass incomplete deep middle intended for Brandon Gibson,0.130,-0.740
4,11:04,2,15,STL 19,6,34,Sam Bradford pass incomplete deep right intended for Mardy Gilyard,-0.740,-1.430
4,10:59,3,15,STL 19,6,34,Sam Bradford pass complete short left to Danny Amendola for 16 yards (tackle by Jonathan Wade),-1.430,1.270
4,10:20,1,10,STL 35,6,34,Sam Bradford pass complete short middle to Danny Amendola for 7 yards (tackle by Julian Peterson),1.270,1.670
4,9:58,2,3,STL 42,6,34,Sam Bradford pass complete short right to Danny Amendola for 8 yards (tackle by Chris Houston),1.670,2.260
4,9:34,1,10,,6,34,Sam Bradford pass incomplete short left intended for Steven Jackson is intercepted by Ndamukong Suh at 50 and returned for 20 yards. Penalty on Rodger Saffold: Offensive Holding (Declined),2.260,-3.580
4,9:21,1,10,STL 30,6,34,Jahvid Best pass incomplete short right intended for Tony Scheffler,3.580,3.030
4,9:14,2,10,STL 30,6,34,Jahvid Best left tackle for 2 yards (tackle by Jermelle Cudjo and Na'il Diggs),3.030,2.610
4,8:33,3,8,STL 28,6,34,Shaun Hill pass complete short middle to Jahvid Best for no gain,2.610,1.590
4,7:55,4,8,STL 28,6,37,Jason Hanson 47 yard field goal good,1.590,3.000
4,,,,DET 30,6,37,"Jason Hanson kicks off 65 yards, returned by Keith Toston for 18 yards (tackle by John Wendling)",0.000,0.480
4,7:44,1,10,STL 23,6,37,Sam Bradford pass complete short left to Steven Jackson for 12 yards (tackle by Louis Delmas),0.480,1.270
4,7:16,1,10,STL 35,6,37,Sam Bradford pass incomplete short left intended for Daniel Fells (defended by Julian Peterson),1.270,0.720
,,,,,,,"STL challenged the pass completion ruling, and the original play was overturned.",,
4,7:14,2,10,STL 35,6,43,"Sam Bradford pass incomplete short left intended for Danny Amendola is intercepted by Alphonso Smith at STL-42 and returned for 42 yards, touchdown",0.720,-7.000
4,,,,STL 2,6,44,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 30,6,44,"Jason Hanson kicks off 70 yards, returned by Keith Toston for 17 yards (tackle by Ashlee Palmer)",0.000,-0.060
4,7:01,1,10,STL 17,6,44,Steven Jackson middle for 7 yards (tackle by Ndamukong Suh),-0.060,0.480
4,6:38,2,3,STL 24,6,44,Steven Jackson left tackle for 3 yards (tackle by Julian Peterson),0.480,0.740
4,6:15,1,10,STL 27,6,44,Sam Bradford pass complete short left to Daniel Fells for 11 yards (tackle by Julian Peterson and Jonathan Wade),0.740,1.470
4,5:47,1,10,STL 38,6,44,Sam Bradford pass incomplete deep middle intended for Danny Amendola,1.470,0.920
4,5:43,2,10,STL 38,6,44,Steven Jackson right tackle for 17 yards (tackle by Landon Johnson),0.920,2.590
4,5:24,1,10,DET 45,6,44,Sam Bradford pass complete short right to Danny Amendola for 4 yards (tackle by Dante Wesley),2.590,2.580
4,5:00,2,6,DET 41,6,44,Sam Bradford pass incomplete short middle intended for Danny Amendola,2.580,1.880
4,4:55,3,6,DET 41,6,44,Steven Jackson left tackle for 9 yards (tackle by Landon Johnson),1.880,3.450
4,4:31,1,10,DET 32,6,44,Sam Bradford pass incomplete short middle intended for Danny Amendola,3.450,2.900
4,4:26,2,10,DET 32,6,44,Sam Bradford pass complete short left to Mardy Gilyard for 5 yards (tackle by Alphonso Smith),2.900,2.870
4,3:51,3,5,DET 27,6,44,Kenneth Darby middle for no gain (tackle by Landon Johnson),2.870,1.720
4,3:12,4,5,DET 27,6,44,Sam Bradford pass incomplete short right intended for Brandon Gibson,1.720,-0.740
4,3:08,1,10,DET 27,6,44,Kevin Smith left tackle for no gain (tackle by Jermelle Cudjo),0.740,0.200
4,2:34,2,10,DET 27,6,44,Drew Stanton pass complete short right to Tony Scheffler for 11 yards (tackle by Na'il Diggs),0.200,1.470
4,2:00,1,10,DET 38,6,44,Drew Stanton kneels for -1 yards,1.470,0.790
4,1:20,2,11,DET 37,6,44,Drew Stanton kneels for -1 yards,0.790,-0.030
4,0:37,3,12,DET 36,6,44,Drew Stanton kneels for -1 yards,-0.030,-1.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
