Unnamed: 0,JAX,MIN
First Downs,22,20
Rush-Yds-TDs,34-113-0,29-123-2
Cmp-Att-Yd-TD-INT,23-39-260-2-0,20-27-270-0-0
Sacked-Yards,2-18,2-4
Net Pass Yards,242,266
Total Yards,355,389
Fumbles-Lost,3-1,1-1
Turnovers,1,1
Penalties-Yards,4-25,5-47
Third Down Conv.,9-18,2-10
Fourth Down Conv.,1-2,0-0
Time of Possession,37:49,27:05
