Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Scobee kicks off 59 yards, returned by Matt Asiata for 18 yards (tackle by Julian Stanford)",0.000,0.540
1,14:55,1,10,MIN 24,0,0,Christian Ponder pass complete short right to Kyle Rudolph for 15 yards (tackle by Kyle Bosworth and Russell Allen),0.540,1.530
1,14:15,1,10,MIN 39,0,0,Adrian Peterson right guard for 4 yards (tackle by Aaron Ross),1.530,1.530
1,13:42,2,6,MIN 43,0,0,Percy Harvin left end for 4 yards (tackle by Paul Posluszny),1.530,1.360
1,13:04,3,2,MIN 47,0,0,Christian Ponder up the middle for 1 yard (tackle by Terrance Knighton),1.360,-0.190
1,12:24,4,1,MIN 48,0,0,"Chris Kluwe punts 37 yards, returned by Mike Thomas for 7 yards (tackle by Jamarca Sanford)",-0.190,-0.410
1,12:14,1,10,JAX 22,0,0,Rashad Jennings right tackle for 5 yards (tackle by Brian Robison),0.410,0.540
1,11:32,2,5,JAX 27,0,0,"Blaine Gabbert sacked by Jared Allen for -7 yards. Penalty on Jared Allen: Defensive Offside, 5 yards (no play)",0.540,1.070
1,11:20,1,10,JAX 32,0,0,Maurice Jones-Drew left guard for 3 yards (tackle by Letroy Guion),1.070,0.930
1,10:39,2,7,JAX 35,0,0,Blaine Gabbert pass incomplete short left intended for Greg Jones,0.930,0.230
1,10:35,3,7,JAX 35,0,0,Blaine Gabbert pass complete short right to Cecil Shorts for 8 yards (tackle by Chris Cook),0.230,1.800
1,9:56,1,10,JAX 43,0,0,Rashad Jennings right end for -4 yards (tackle by Erin Henderson),1.800,0.710
1,9:14,2,14,JAX 39,0,0,"Rashad Jennings up the middle for no gain (tackle by Chad Greenway). Penalty on Kevin Williams: Defensive Offside, 5 yards (no play)",0.710,1.390
1,8:46,2,9,JAX 44,0,0,Blaine Gabbert pass incomplete short right intended for Cecil Shorts (defended by Chris Cook),1.390,0.690
1,8:41,3,9,JAX 44,0,0,Blaine Gabbert pass complete short left to Justin Blackmon for 13 yards (tackle by Josh Robinson),0.690,2.720
1,8:01,1,10,MIN 43,0,0,Rashad Jennings right tackle for 3 yards (tackle by Kevin Williams and Chad Greenway),2.720,2.580
1,7:21,2,7,MIN 40,0,0,Mike Thomas right end for -1 yards (tackle by Brian Robison),2.580,1.750
1,6:36,3,8,MIN 41,0,0,Blaine Gabbert pass complete short middle to Marcedes Lewis for 18 yards (tackle by Josh Robinson),1.750,4.040
1,5:52,1,10,MIN 23,0,0,Blaine Gabbert pass incomplete short left intended for Laurent Robinson (defended by Chris Cook),4.040,3.500
1,5:47,2,10,MIN 23,0,0,"Penalty on Justin Blackmon: False Start, 5 yards (no play)",3.500,2.820
1,5:47,2,15,MIN 28,0,0,Blaine Gabbert pass complete short left to Marcedes Lewis for 13 yards (tackle by Mistral Raymond),2.820,4.050
1,5:00,3,2,MIN 15,0,0,Rashad Jennings left end for 10 yards (tackle by Harrison Smith),4.050,6.060
1,4:28,1,5,MIN 5,0,0,Blaine Gabbert pass incomplete short left intended for Justin Blackmon,6.060,5.150
1,4:23,2,5,MIN 5,0,0,Rashad Jennings right guard for 4 yards (tackle by Chad Greenway),5.150,5.170
1,3:39,3,1,MIN 1,0,0,Rashad Jennings up the middle for no gain (tackle by Jasper Brinkley),5.170,3.550
1,2:56,4,1,MIN 1,3,0,Josh Scobee 19 yard field goal good,3.550,3.000
1,2:52,,,JAX 35,3,0,"Josh Scobee kicks off 70 yards, returned by Percy Harvin for 28 yards (tackle by Brandon Marshall)",0.000,0.480
1,2:46,1,10,MIN 23,3,0,Toby Gerhart left tackle for no gain (tackle by Andre Branch),0.480,-0.070
1,2:07,2,10,MIN 23,3,0,Toby Gerhart up the middle for 4 yards (tackle by Paul Posluszny),-0.070,-0.230
1,1:30,3,6,MIN 27,3,0,Christian Ponder pass incomplete short middle intended for Percy Harvin (defended by Chris Prosinski),-0.230,-1.570
1,1:25,4,6,MIN 27,3,0,"Chris Kluwe punts 52 yards, muffed catch by Maurice Jones-Drew, ball out of bounds at JAX-21",-1.570,-0.340
1,1:16,1,10,JAX 21,3,0,Maurice Jones-Drew left tackle for 11 yards (tackle by Antoine Winfield),0.340,1.070
1,0:39,1,10,JAX 32,3,0,Maurice Jones-Drew left guard for 3 yards (tackle by Antoine Winfield),1.070,0.930
Quarter,Time,Down,ToGo,Location,JAX,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,JAX 35,3,0,Blaine Gabbert pass incomplete short right intended for Montell Owens,0.930,0.230
2,14:56,3,7,JAX 35,3,0,Blaine Gabbert pass incomplete short right intended for Montell Owens,0.230,-1.040
2,14:52,4,7,JAX 35,3,0,"Bryan Anger punts 56 yards, returned by Marcus Sherels for 15 yards (tackle by Montell Owens). Penalty on JAX: Illegal Substitution, 5 yards",-1.040,-0.870
2,14:38,1,10,MIN 29,3,0,Adrian Peterson up the middle for 9 yards (tackle by Dawan Landry),0.870,1.540
2,13:59,2,1,MIN 38,3,0,Adrian Peterson up the middle for -2 yards (tackle by Terrance Knighton),1.540,0.560
2,13:19,3,3,MIN 36,3,0,Adrian Peterson left end for -1 yards,0.560,-1.040
2,12:42,4,4,MIN 35,3,0,"Chris Kluwe punts 53 yards, returned by Mike Thomas for 9 yards. Mike Thomas fumbles, recovered by Julian Stanford at JAX-22 (tackle by Matt Asiata)",-1.040,-0.410
