Unnamed: 0,SEA,CAR
First Downs,17,13
Rush-Yds-TDs,35-98-0,19-82-0
Cmp-Att-Yd-TD-INT,19-25-221-1-2,12-29-141-0-0
Sacked-Yards,2-9,4-33
Net Pass Yards,212,108
Total Yards,310,190
Fumbles-Lost,1-1,3-2
Turnovers,3,2
Penalties-Yards,7-65,3-25
Third Down Conv.,7-14,2-11
Fourth Down Conv.,0-1,0-1
Time of Possession,35:37,24:23
