Quarter,Time,Tm,Detail,SEA,CAR
1.0,10:29,Seahawks,Stephen Hauschka 22 yard field goal,3,0
2.0,8:29,Seahawks,Stephen Hauschka 36 yard field goal,6,0
,0:02,Panthers,Justin Medlock 32 yard field goal,6,3
3.0,12:26,Panthers,Captain Munnerlyn 33 yard interception return (Justin Medlock kick),6,10
,0:35,Seahawks,Golden Tate 13 yard pass from Russell Wilson (Stephen Hauschka kick),13,10
4.0,10:27,Seahawks,Stephen Hauschka 44 yard field goal,16,10
,0:59,Panthers,"Safety, Jon Ryan ran out of the endzone for a Safety.",16,12
